Country,Year,Value,Series_Code
AUS,2002,3.0912800997751,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2003,4.21894147547516,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2004,3.15548121323168,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2005,2.77092617374751,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2006,3.78947119882653,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2007,3.62398503565634,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2008,1.95484826298521,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2009,2.21004795300734,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2010,2.39473494330616,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2011,3.95247138119183,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2012,2.65445302592405,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2013,2.60118978187332,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2014,2.16434780647853,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2015,2.75564065529868,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2016,2.29331030192918,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2017,2.87417039499501,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2018,2.19401703622718,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2019,-0.133531904304771,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2020,2.00694844335035,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2021,4.25304559238733,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2022,3.58382100798982,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2023,1.37340773365974,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2024,1.35039785076632,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUS,2025,1.98581408842301,A.AUS.B1GQ_R_GR.PC.NAAG_I
AUT,2002,1.48436877877085,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2003,1.14156509806083,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2004,2.56525526144894,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2005,2.32036513500399,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2006,3.26933615437249,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2007,3.77522447023948,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2008,1.45330580608418,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2009,-3.58626483259779,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2010,1.80898249539027,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2011,2.92746795992078,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2012,0.628246220372857,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2013,-0.250726440079771,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2014,0.755798904851364,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2015,1.30352326671129,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2016,2.117219630253,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2017,2.27224997423621,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2018,2.48422109586319,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2019,1.75497626702115,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2020,-6.31825516760371,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2021,4.92309176061612,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2022,5.33096379845654,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2023,-0.786244190690233,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2024,-0.659089746713982,A.AUT.B1GQ_R_GR.PC.NAAG_I
AUT,2025,0.849190974963907,A.AUT.B1GQ_R_GR.PC.NAAG_I
BEL,2002,1.70689430349601,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2003,1.03795518162204,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2004,3.5712067194232,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2005,2.32173792911834,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2006,2.55234087322462,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2007,3.67692462515804,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2008,0.446905130727231,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2009,-1.90644105515336,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2010,2.71031150254662,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2011,1.93115502411325,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2012,0.215803612089753,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2013,0.305494549070219,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2014,1.76554038149922,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2015,1.47416433731927,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2016,1.19350273007754,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2017,1.47446761556784,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2018,1.87796847383565,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2019,2.44289004481559,A.BEL.B1GQ_R_GR.PC.NAAG_I
BEL,2020,-4.7929839083518,A.BEL.B1GQ_R_GR.PC.NAAG_I
