country,series_code,url,status_code,status,rows,min_year,max_year,error
AUS,AUS.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,https://api.db.nomics.world/v22/series/OECD/DSD_PDB%40DF_PDB_LV/AUS.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,200,success,22,2002,2023,
AUT,AUT.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,https://api.db.nomics.world/v22/series/OECD/DSD_PDB%40DF_PDB_LV/AUT.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,200,success,23,2002,2024,
BEL,BEL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,https://api.db.nomics.world/v22/series/OECD/DSD_PDB%40DF_PDB_LV/BEL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,200,success,23,2002,2024,
BGR,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,https://api.db.nomics.world/v22/series/OECD/DSD_PDB%40DF_PDB_LV/BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,200,success,23,2002,2024,
CAN,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,https://api.db.nomics.world/v22/series/OECD/DSD_PDB%40DF_PDB_LV/CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,200,success,23,2002,2024,
CHE,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,https://api.db.nomics.world/v22/series/OECD/DSD_PDB%40DF_PDB_LV/CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,200,success,23,2002,2024,
CHL,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,https://api.db.nomics.world/v22/series/OECD/DSD_PDB%40DF_PDB_LV/CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,200,success,22,2002,2023,
COL,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,https://api.db.nomics.world/v22/series/OECD/DSD_PDB%40DF_PDB_LV/COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,200,success,23,2002,2024,
CRI,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,https://api.db.nomics.world/v22/series/OECD/DSD_PDB%40DF_PDB_LV/CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,200,success,22,2002,2023,
CZE,CZE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,https://api.db.nomics.world/v22/series/OECD/DSD_PDB%40DF_PDB_LV/CZE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,200,success,23,2002,2024,
