Country,Series_Code,Series_Name
AUS,AUS.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
AUT,AUT.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
BEL,BEL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
BGR,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
CAN,CAN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
CHE,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
CHL,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
COL,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
CRI,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
CZE,CZE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
DEU,DEU.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
DNK,DNK.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
EA20,EA20.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
ESP,ESP.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
EST,EST.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
EU27_2020,EU27_2020.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
FIN,FIN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
FRA,FRA.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
GBR,GBR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
GRC,GRC.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
HRV,HRV.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
HUN,HUN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
IRL,IRL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
ISL,ISL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
ISR,ISR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
ITA,ITA.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
JPN,JPN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
KOR,KOR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
LTU,LTU.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
LUX,LUX.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
LVA,LVA.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
MEX,MEX.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
NLD,NLD.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
NOR,NOR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
NZL,NZL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
OECD,OECD.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
POL,POL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
PRT,PRT.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
ROU,ROU.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
SVK,SVK.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
SVN,SVN.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
SWE,SWE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
TUR,TUR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
USA,USA.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z,
