dataset_label,column,unique_count_raw,sample_values_raw
OECD_Unemployment_Rate,STRUCTURE,1,DATAFLOW
OECD_Unemployment_Rate,STRUCTURE_ID,1,OECD.ELS.SAE:DSD_LFS@DF_LFS_INDIC(1.1)
OECD_Unemployment_Rate,STRUCTURE_NAME,1,Employment and unemployment by five-year age group and sex - indicators
OECD_Unemployment_Rate,ACTION,1,I
OECD_Unemployment_Rate,Reference area,59,Argentina; Australia; Austria; Belgium; Brazil; Bulgaria; Canada; Chile; China (People’s Republic of); Colombia; Costa Rica; Croatia; Cyprus; Czechia; Denmark; Estonia; European Union (19 countries) in OECD; European Union (22 countries) in OECD; European Union (27 countries); Finland; France; G7; Germany; Greece; Hungary; Iceland; India; Indonesia; Ireland; Israel; Italy; Japan; Korea; Latvia; Lithuania; Luxembourg; Malta; Mexico; Netherlands; New Zealand; North Macedonia; Norway; OECD; OECD average country; Peru; Poland; Portugal; Romania; Russia; Slovak Republic; Slovenia; South Africa; Spain; Sweden; Switzerland; Thailand; Türkiye; United Kingdom; United States
OECD_Unemployment_Rate,MEASURE,3,EMP_RATIO; LF_RATE; UNE_RATE
OECD_Unemployment_Rate,Measure,3,Employment to population ratio; Labour force participation rate; Unemployment rate
OECD_Unemployment_Rate,UNIT_MEASURE,2,PT_LF_SUB; PT_POP_SUB
OECD_Unemployment_Rate,Unit of measure,2,Percentage of labour force in the same subgroup; Percentage of population in the same subgroup
OECD_Unemployment_Rate,SEX,3,F; M; _T
OECD_Unemployment_Rate,Sex,3,Female; Male; Total
OECD_Unemployment_Rate,AGE,37,Y15T19; Y15T24; Y15T29; Y15T64; Y15T74; Y20T24; Y20T64; Y25T29; Y25T34; Y25T39; Y25T54; Y25T64; Y30T34; Y35T39; Y35T44; Y40T44; Y40T49; Y45T49; Y45T54; Y50T54; Y55T59; Y55T64; Y60T64; Y65T69; Y65T74; Y70T74; Y75T79; Y80T84; Y80T99; Y85T99; Y_GE65; Y_GE70; Y_GE75; Y_GE80; Y_GE85; _T; _U
OECD_Unemployment_Rate,Age,37,65 years or over; 70 years or over; 75 years or over; 80 years or over; 85 years or over; From 15 to 19 years; From 15 to 24 years; From 15 to 29 years; From 15 to 64 years; From 15 to 74 years; From 20 to 24 years; From 20 to 64 years; From 25 to 29 years; From 25 to 34 years; From 25 to 39 years; From 25 to 54 years; From 25 to 64 years; From 30 to 34 years; From 35 to 39 years; From 35 to 44 years; From 40 to 44 years; From 40 to 49 years; From 45 to 49 years; From 45 to 54 years; From 50 to 54 years; From 55 to 59 years; From 55 to 64 years; From 60 to 64 years; From 65 to 69 years; From 65 to 74 years; From 70 to 74 years; From 75 to 79 years; From 80 to 84 years; From 80 to 99 years; From 85 to 99 years; Total; Unknown
OECD_Unemployment_Rate,LABOUR_FORCE_STATUS,3,EMP; LF; UNE
OECD_Unemployment_Rate,Labour force status,3,Employment; Labour force; Unemployment
OECD_Unemployment_Rate,Time period,0,
OECD_Unemployment_Rate,Observation value,0,
OECD_Unemployment_Rate,Observation status,1,Normal value
OECD_Unemployment_Rate,UNIT_MULT,0,
OECD_Unemployment_Rate,Unit multiplier,0,
OECD_Unemployment_Rate,DECIMALS,1,1.0
OECD_Unemployment_Rate,Decimals,1,One
