Country,Year,Value,Country_Name,Indicator_Code,Indicator_Name
AFE,2023,22.5559165278294,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2022,-15.1947949493802,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2021,-15.6231822077422,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2020,-21.1770497566242,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2019,-20.2538516134308,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2018,-24.1880344780285,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2017,-26.2180905463239,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2016,-26.5308116082362,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2015,-29.0932128746545,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2014,-26.7678529638023,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2013,-30.9381740811701,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2012,-30.6939357165572,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2011,-34.4587420521863,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2010,-47.6306550618306,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2009,-41.8729717003225,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2008,-48.5908188685954,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2007,-51.481341557416,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2006,-48.6127651528268,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2005,-46.0776653717923,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2004,-37.8772386107313,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2003,-38.5168322687859,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFE,2002,-43.3554638687428,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2022,-60.8465886513954,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2021,-71.2969748944733,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2020,-93.7072976717298,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2019,-114.97798412685,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2018,-128.012127197655,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2017,-122.080649437011,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2016,-114.575324375496,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2015,-144.428389776344,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2014,-135.52155747166,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2013,-136.885091141494,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2012,-161.080126658059,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2011,-160.360116638306,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2010,-174.229230520199,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2009,-190.499830357127,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2008,-190.53180139221,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2007,-210.330197327463,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2006,-216.803408888279,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2005,-214.805959763554,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2004,-232.209498707588,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2003,-213.322416230615,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
AFW,2002,-194.638178890744,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2022,-150.383121563667,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2021,-145.156494225722,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2020,-149.302631545499,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2019,-158.313720421706,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2018,-161.58000274827,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2017,-155.761471186741,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2016,-166.709839520834,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2015,-158.688222538078,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2014,-157.46363693439,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2013,-174.149075179052,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2012,-184.982223811802,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2011,-181.507226366315,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2010,-177.255132368831,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2009,-180.178448496933,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2008,-196.292845743707,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2007,-202.636453892051,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2006,-216.736345655801,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2005,-231.852307982609,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2004,-255.748959103389,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2003,-236.281721695946,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
ARB,2002,-228.636925491539,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
CSS,2022,-69.2483346659952,Caribbean small states,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
CSS,2021,-61.466503886901,Caribbean small states,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
CSS,2020,-90.8839636209943,Caribbean small states,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
CSS,2019,-93.399232680041,Caribbean small states,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
CSS,2018,-93.4541464870694,Caribbean small states,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
CSS,2017,-83.8014303539696,Caribbean small states,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
CSS,2016,-81.9826726459832,Caribbean small states,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
CSS,2015,-86.5766431692115,Caribbean small states,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
CSS,2014,-93.896188321908,Caribbean small states,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
