Country,public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw,baseline_year,final5_available_count,complete_case_final5_baseline_inputs
AGO,0,0,0,0,1,2007,1,False
ALB,0,0,0,0,1,2007,1,False
ARB,0,0,0,0,1,2007,1,False
ARE,0,0,0,0,1,2007,1,False
ARG,0,0,1,0,1,2007,2,False
ARM,0,0,0,0,1,2007,1,False
AUS,1,1,0,1,1,2007,4,False
AUT,1,1,1,1,1,2007,5,True
AZE,0,0,0,0,1,2007,1,False
BEL,1,1,1,1,1,2007,5,True
BEN,0,0,0,0,1,2007,1,False
BGD,0,0,0,0,1,2007,1,False
BGR,1,1,1,0,1,2007,4,False
BHR,1,0,0,0,1,2007,2,False
BHS,1,0,0,0,0,2007,1,False
BIH,0,0,0,0,1,2007,1,False
BLR,1,0,0,0,1,2007,2,False
BLZ,1,0,0,0,0,2007,1,False
BOL,0,0,0,0,1,2007,1,False
BRA,0,1,0,1,1,2007,3,False
BRB,1,0,0,0,0,2007,1,False
BRN,0,0,0,0,1,2007,1,False
BTN,1,0,0,0,0,2007,1,False
BWA,1,0,0,0,0,2007,1,False
CAN,1,1,1,1,1,2007,5,True
CHE,1,1,0,1,1,2007,4,False
CHL,0,1,1,0,1,2007,3,False
CHN,0,0,1,0,1,2007,2,False
CIV,0,0,0,0,1,2007,1,False
CMR,0,0,0,0,1,2007,1,False
COD,0,0,0,0,1,2007,1,False
COG,0,0,0,0,1,2007,1,False
COL,0,1,1,0,1,2007,3,False
CRI,0,1,0,1,1,2007,3,False
CUB,0,0,0,0,1,2007,1,False
CUW,0,0,0,0,1,2007,1,False
CYP,1,1,0,0,0,2007,2,False
CZE,1,1,1,1,1,2007,5,True
DEU,1,1,1,1,1,2007,5,True
DNK,1,1,1,1,1,2007,5,True
DZA,0,0,0,0,1,2007,1,False
EAR,0,0,0,0,1,2007,1,False
ECU,0,0,0,0,1,2007,1,False
EGY,1,0,0,0,1,2007,2,False
ESP,1,1,1,1,1,2007,5,True
EST,1,1,1,1,1,2007,5,True
EUU,0,0,0,0,1,2007,1,False
FIN,1,1,1,1,1,2007,5,True
FRA,1,1,1,1,1,2007,5,True
GAB,0,0,0,0,1,2007,1,False
GBR,1,1,1,1,1,2007,5,True
GEO,1,0,0,0,1,2007,2,False
GHA,0,0,0,0,1,2007,1,False
GNQ,0,0,0,0,1,2007,1,False
GRC,1,1,1,1,1,2007,5,True
GTM,1,0,0,0,1,2007,2,False
HKG,0,0,0,0,1,2007,1,False
HND,0,0,0,0,1,2007,1,False
HRV,1,1,1,0,1,2007,4,False
HUN,1,1,1,1,1,2007,5,True
IDN,0,1,0,1,1,2007,3,False
IND,1,0,0,0,1,2007,2,False
IRL,1,1,1,1,1,2007,5,True
IRN,0,0,0,0,1,2007,1,False
IRQ,0,0,0,0,1,2007,1,False
ISL,1,1,1,1,0,2007,4,False
ISR,0,1,1,1,1,2007,4,False
ITA,1,1,1,1,1,2007,5,True
JAM,1,0,0,0,0,2007,1,False
JOR,1,0,0,0,1,2007,2,False
JPN,0,1,1,1,1,2007,4,False
KAZ,0,0,0,0,1,2007,1,False
KEN,0,0,0,0,1,2007,1,False
KGZ,0,0,0,0,1,2007,1,False
KNA,1,0,0,0,0,2007,1,False
KOR,0,1,1,1,1,2007,4,False
LAC,0,0,0,0,1,2007,1,False
LAO,0,0,0,0,1,2007,1,False
LBY,0,0,0,0,1,2007,1,False
LCA,1,0,0,0,0,2007,1,False
LDC,0,0,0,0,1,2007,1,False
LKA,1,0,0,0,1,2007,2,False
LTU,1,1,1,1,1,2007,5,True
LUX,1,1,1,1,1,2007,5,True
LVA,1,1,1,1,1,2007,5,True
MAR,1,0,0,0,1,2007,2,False
MDA,1,0,0,0,1,2007,2,False
MDV,1,0,0,0,0,2007,1,False
MEX,0,1,1,1,1,2007,4,False
MKD,0,1,0,0,1,2007,2,False
MLT,1,1,0,0,0,2007,2,False
MMR,0,0,0,0,1,2007,1,False
MNE,0,0,0,0,1,2007,1,False
MNG,0,0,0,0,1,2007,1,False
MOZ,0,0,0,0,1,2007,1,False
MUS,1,0,0,0,0,2007,1,False
MYS,1,0,0,0,1,2007,2,False
NAM,1,0,0,0,1,2007,2,False
NER,0,0,0,0,1,2007,1,False
NGA,0,0,0,0,1,2007,1,False
NIC,0,0,0,0,1,2007,1,False
NLD,1,1,1,1,1,2007,5,True
NOR,0,1,1,1,1,2007,4,False
NPL,1,0,0,0,1,2007,2,False
NZL,1,1,1,0,1,2007,4,False
OMN,0,0,0,0,1,2007,1,False
PAK,0,0,0,0,1,2007,1,False
PAN,0,0,0,0,1,2007,1,False
PER,1,1,0,0,1,2007,3,False
PHL,1,0,0,0,1,2007,2,False
POL,1,1,1,1,1,2007,5,True
PRK,0,0,0,0,1,2007,1,False
PRT,1,1,1,1,1,2007,5,True
PRY,0,0,0,0,1,2007,1,False
QAT,0,0,0,0,1,2007,1,False
ROU,1,1,1,0,1,2007,4,False
RUS,1,1,1,0,1,2007,4,False
RWA,0,0,0,0,1,2007,1,False
SAU,0,0,0,0,1,2007,1,False
SDN,0,0,0,0,1,2007,1,False
SEN,0,0,0,0,1,2007,1,False
SGP,1,0,1,0,1,2007,3,False
SLV,1,0,0,0,1,2007,2,False
SMR,1,0,0,0,0,2007,1,False
SRB,0,0,0,0,1,2007,1,False
SST,0,0,0,0,1,2007,1,False
SUR,0,0,0,0,1,2007,1,False
SVK,1,1,1,1,1,2007,5,True
SVN,1,1,1,1,1,2007,5,True
SWE,1,1,1,1,1,2007,5,True
SWZ,0,0,0,0,1,2007,1,False
SYR,0,0,0,0,1,2007,1,False
TCD,0,0,0,0,1,2007,1,False
THA,1,0,0,0,1,2007,2,False
TJK,0,0,0,0,1,2007,1,False
TKM,0,0,0,0,1,2007,1,False
TTO,1,0,0,0,1,2007,2,False
TUN,1,0,0,0,1,2007,2,False
TUR,0,1,1,1,1,2007,4,False
TWN,0,0,1,0,0,2007,1,False
UGA,0,0,0,0,1,2007,1,False
UKR,0,0,0,0,1,2007,1,False
URY,1,0,0,0,1,2007,2,False
USA,1,1,1,1,1,2007,5,True
UZB,0,0,0,0,1,2007,1,False
VCT,1,0,0,0,0,2007,1,False
VEN,0,0,0,0,1,2007,1,False
VNM,0,0,0,0,1,2007,1,False
YEM,0,0,0,0,1,2007,1,False
ZAF,0,1,1,0,1,2007,3,False
ZMB,0,0,0,0,1,2007,1,False
ZWE,0,0,0,0,1,2007,1,False
AGO,0,0,0,0,1,2019,1,False
ALB,1,0,0,0,1,2019,2,False
AND,1,0,0,0,0,2019,1,False
ARB,0,0,0,0,1,2019,1,False
ARE,0,0,0,0,1,2019,1,False
ARG,0,1,1,1,1,2019,4,False
ARM,1,0,0,0,1,2019,2,False
AUS,1,1,1,1,1,2019,5,True
AUT,1,1,1,1,1,2019,5,True
AZE,0,0,0,0,1,2019,1,False
BEL,1,1,1,1,1,2019,5,True
BEN,0,0,0,0,1,2019,1,False
BFA,1,0,0,0,0,2019,1,False
BGD,0,0,0,0,1,2019,1,False
BGR,1,1,1,1,1,2019,5,True
BHR,1,0,0,0,1,2019,2,False
BHS,1,0,0,0,0,2019,1,False
BIH,1,0,0,0,1,2019,2,False
BLR,1,0,0,0,1,2019,2,False
BOL,0,0,0,0,1,2019,1,False
BRA,1,1,0,1,1,2019,4,False
BRN,0,0,0,0,1,2019,1,False
BTN,1,0,0,0,0,2019,1,False
BWA,1,0,0,0,1,2019,2,False
CAN,1,1,1,1,1,2019,5,True
CHE,1,1,1,1,1,2019,5,True
CHL,0,1,1,0,1,2019,3,False
CHN,0,0,1,0,1,2019,2,False
CIV,0,0,0,0,1,2019,1,False
CMR,0,0,0,0,1,2019,1,False
COD,0,0,0,0,1,2019,1,False
COG,0,0,0,0,1,2019,1,False
COL,1,1,1,1,1,2019,5,True
CRI,0,1,0,1,1,2019,3,False
CUB,0,0,0,0,1,2019,1,False
CYP,1,1,0,0,0,2019,2,False
CZE,1,1,1,1,1,2019,5,True
DEU,1,1,1,1,1,2019,5,True
DNK,1,1,1,1,1,2019,5,True
DOM,0,0,0,0,1,2019,1,False
DZA,0,0,0,0,1,2019,1,False
EAR,0,0,0,0,1,2019,1,False
ECU,0,0,0,0,1,2019,1,False
EGY,0,0,0,0,1,2019,1,False
ESP,1,1,1,1,1,2019,5,True
EST,1,1,1,1,1,2019,5,True
ETH,1,0,0,0,1,2019,2,False
EUU,0,0,0,0,1,2019,1,False
FIN,1,1,1,1,1,2019,5,True
FRA,1,1,1,1,1,2019,5,True
FSM,1,0,0,0,0,2019,1,False
GAB,0,0,0,0,1,2019,1,False
GBR,1,1,1,1,1,2019,5,True
GEO,1,0,0,0,1,2019,2,False
GHA,0,0,0,0,1,2019,1,False
GNQ,0,0,0,0,1,2019,1,False
GRC,1,1,1,1,1,2019,5,True
GTM,0,0,0,0,1,2019,1,False
HKG,0,0,0,0,1,2019,1,False
HND,0,0,0,0,1,2019,1,False
HPC,0,0,0,0,1,2019,1,False
HRV,1,1,1,1,1,2019,5,True
HUN,1,1,1,1,1,2019,5,True
IDN,0,1,0,1,1,2019,3,False
IND,0,1,0,1,1,2019,3,False
