source_country_code,Country,country_standardization_status,row_count
AFE,,aggregate_or_region,22
AFW,,aggregate_or_region,21
CEB,,aggregate_or_region,22
CSS,,aggregate_or_region,23
EA,,aggregate_or_region,24
EA19,,aggregate_or_region,24
EA20,,aggregate_or_region,71
EA21,,aggregate_or_region,24
EAP,,aggregate_or_region,21
EAS,,aggregate_or_region,22
ECA,,aggregate_or_region,38
ECS,,aggregate_or_region,22
EMU,,aggregate_or_region,22
EU,,aggregate_or_region,24
EU19OECD,,aggregate_or_region,24
EU22OECD,,aggregate_or_region,24
EU25,,aggregate_or_region,9
EU27,,aggregate_or_region,24
EU27_2020,,aggregate_or_region,94
FCS,,aggregate_or_region,21
G20,,aggregate_or_region,28
G7,,aggregate_or_region,47
IBD,,aggregate_or_region,22
IBT,,aggregate_or_region,22
IDA,,aggregate_or_region,22
IDB,,aggregate_or_region,22
IDX,,aggregate_or_region,21
LCN,,aggregate_or_region,25
LMY,,aggregate_or_region,22
LTE,,aggregate_or_region,22
MEA,,aggregate_or_region,22
MIC,,aggregate_or_region,22
MNA,,aggregate_or_region,21
NAC,,aggregate_or_region,45
OECD,,aggregate_or_region,130
OECDE,,aggregate_or_region,24
OECD_REP,,aggregate_or_region,24
OED,,aggregate_or_region,22
PRE,,aggregate_or_region,22
PST,,aggregate_or_region,22
SAS,,aggregate_or_region,38
SSA,,aggregate_or_region,22
SSF,,aggregate_or_region,22
TEA,,aggregate_or_region,21
TEC,,aggregate_or_region,38
TLA,,aggregate_or_region,28
TMN,,aggregate_or_region,21
TSA,,aggregate_or_region,38
TSS,,aggregate_or_region,22
WLD,,aggregate_or_region,22
AGO,AGO,kept_iso3_like,21
ALB,ALB,kept_iso3_like,36
AND,AND,kept_iso3_like,7
ARB,ARB,kept_iso3_like,21
ARE,ARE,kept_iso3_like,22
ARG,ARG,kept_iso3_like,77
ARM,ARM,kept_iso3_like,27
AUS,AUS,kept_iso3_like,172
AUT,AUT,kept_iso3_like,161
AZE,AZE,kept_iso3_like,25
BEL,BEL,kept_iso3_like,163
BEN,BEN,kept_iso3_like,13
BFA,BFA,kept_iso3_like,6
BGD,BGD,kept_iso3_like,23
BGR,BGR,kept_iso3_like,122
BHR,BHR,kept_iso3_like,39
BHS,BHS,kept_iso3_like,19
BIH,BIH,kept_iso3_like,35
BLR,BLR,kept_iso3_like,37
BLZ,BLZ,kept_iso3_like,13
BOL,BOL,kept_iso3_like,21
BRA,BRA,kept_iso3_like,121
BRB,BRB,kept_iso3_like,12
BRN,BRN,kept_iso3_like,21
BTN,BTN,kept_iso3_like,19
BWA,BWA,kept_iso3_like,28
CAN,CAN,kept_iso3_like,187
CHE,CHE,kept_iso3_like,171
CHL,CHL,kept_iso3_like,137
CHN,CHN,kept_iso3_like,94
CIV,CIV,kept_iso3_like,21
CMR,CMR,kept_iso3_like,21
COD,COD,kept_iso3_like,22
COG,COG,kept_iso3_like,23
COL,COL,kept_iso3_like,168
CRI,CRI,kept_iso3_like,144
CUB,CUB,kept_iso3_like,17
CUW,CUW,kept_iso3_like,17
CYP,CYP,kept_iso3_like,28
CZE,CZE,kept_iso3_like,163
DEU,DEU,kept_iso3_like,163
DNK,DNK,kept_iso3_like,163
DOM,DOM,kept_iso3_like,11
DZA,DZA,kept_iso3_like,22
EAR,EAR,kept_iso3_like,22
ECU,ECU,kept_iso3_like,21
EGY,EGY,kept_iso3_like,23
ERI,ERI,kept_iso3_like,1
ESP,ESP,kept_iso3_like,186
EST,EST,kept_iso3_like,163
ETH,ETH,kept_iso3_like,19
EUU,EUU,kept_iso3_like,22
FIN,FIN,kept_iso3_like,162
FRA,FRA,kept_iso3_like,163
FSM,FSM,kept_iso3_like,13
GAB,GAB,kept_iso3_like,21
GEO,GEO,kept_iso3_like,45
GHA,GHA,kept_iso3_like,21
GNQ,GNQ,kept_iso3_like,21
GRC,GRC,kept_iso3_like,162
GTM,GTM,kept_iso3_like,33
HKG,HKG,kept_iso3_like,21
HND,HND,kept_iso3_like,22
HPC,HPC,kept_iso3_like,14
HRV,HRV,kept_iso3_like,120
HUN,HUN,kept_iso3_like,186
IDN,IDN,kept_iso3_like,110
IND,IND,kept_iso3_like,106
IRL,IRL,kept_iso3_like,163
IRN,IRN,kept_iso3_like,21
IRQ,IRQ,kept_iso3_like,25
ISL,ISL,kept_iso3_like,159
ISR,ISR,kept_iso3_like,161
ITA,ITA,kept_iso3_like,163
JAM,JAM,kept_iso3_like,36
JOR,JOR,kept_iso3_like,40
JPN,JPN,kept_iso3_like,157
KAZ,KAZ,kept_iso3_like,36
KEN,KEN,kept_iso3_like,22
KGZ,KGZ,kept_iso3_like,32
KHM,KHM,kept_iso3_like,5
KNA,KNA,kept_iso3_like,13
KWT,KWT,kept_iso3_like,17
LAC,LAC,kept_iso3_like,28
LAO,LAO,kept_iso3_like,21
LBN,LBN,kept_iso3_like,7
LBY,LBY,kept_iso3_like,21
LCA,LCA,kept_iso3_like,9
LDC,LDC,kept_iso3_like,21
LKA,LKA,kept_iso3_like,30
LSO,LSO,kept_iso3_like,13
LTU,LTU,kept_iso3_like,160
LUX,LUX,kept_iso3_like,159
LVA,LVA,kept_iso3_like,163
MAR,MAR,kept_iso3_like,30
MDA,MDA,kept_iso3_like,44
MDG,MDG,kept_iso3_like,5
MDV,MDV,kept_iso3_like,10
MEX,MEX,kept_iso3_like,159
MHL,MHL,kept_iso3_like,12
MKD,MKD,kept_iso3_like,42
MLT,MLT,kept_iso3_like,39
MMR,MMR,kept_iso3_like,21
MNE,MNE,kept_iso3_like,19
MNG,MNG,kept_iso3_like,26
MOZ,MOZ,kept_iso3_like,30
MUS,MUS,kept_iso3_like,14
MWI,MWI,kept_iso3_like,12
MYS,MYS,kept_iso3_like,44
NAM,NAM,kept_iso3_like,29
NER,NER,kept_iso3_like,18
NGA,NGA,kept_iso3_like,21
NIC,NIC,kept_iso3_like,21
NLD,NLD,kept_iso3_like,163
NOR,NOR,kept_iso3_like,160
NPL,NPL,kept_iso3_like,32
NZL,NZL,kept_iso3_like,161
OMN,OMN,kept_iso3_like,21
OSS,OSS,kept_iso3_like,2
PAK,PAK,kept_iso3_like,21
PAN,PAN,kept_iso3_like,21
PER,PER,kept_iso3_like,62
PHL,PHL,kept_iso3_like,34
PLW,PLW,kept_iso3_like,12
PNG,PNG,kept_iso3_like,11
POL,POL,kept_iso3_like,163
PRK,PRK,kept_iso3_like,21
PRT,PRT,kept_iso3_like,163
PRY,PRY,kept_iso3_like,22
QAT,QAT,kept_iso3_like,20
ROU,ROU,kept_iso3_like,98
RUS,RUS,kept_iso3_like,120
RWA,RWA,kept_iso3_like,20
SAU,SAU,kept_iso3_like,44
SDN,SDN,kept_iso3_like,21
SEN,SEN,kept_iso3_like,22
SGP,SGP,kept_iso3_like,67
SLB,SLB,kept_iso3_like,11
SLV,SLV,kept_iso3_like,44
SMR,SMR,kept_iso3_like,22
SOM,SOM,kept_iso3_like,3
SRB,SRB,kept_iso3_like,22
SSD,SSD,kept_iso3_like,11
SST,SST,kept_iso3_like,21
SUR,SUR,kept_iso3_like,22
SVK,SVK,kept_iso3_like,163
SVN,SVN,kept_iso3_like,163
SWE,SWE,kept_iso3_like,162
SWZ,SWZ,kept_iso3_like,32
SYC,SYC,kept_iso3_like,1
SYR,SYR,kept_iso3_like,21
TCD,TCD,kept_iso3_like,18
TGO,TGO,kept_iso3_like,2
THA,THA,kept_iso3_like,60
TJK,TJK,kept_iso3_like,21
TKM,TKM,kept_iso3_like,21
TON,TON,kept_iso3_like,8
TTO,TTO,kept_iso3_like,23
TUN,TUN,kept_iso3_like,32
TUR,TUR,kept_iso3_like,176
TWN,TWN,kept_iso3_like,23
TZA,TZA,kept_iso3_like,11
UGA,UGA,kept_iso3_like,28
UKR,UKR,kept_iso3_like,35
URY,URY,kept_iso3_like,44
UZB,UZB,kept_iso3_like,21
VCT,VCT,kept_iso3_like,8
VEN,VEN,kept_iso3_like,21
VNM,VNM,kept_iso3_like,21
VUT,VUT,kept_iso3_like,3
YEM,YEM,kept_iso3_like,21
ZAF,ZAF,kept_iso3_like,136
ZMB,ZMB,kept_iso3_like,33
ZWE,ZWE,kept_iso3_like,21
AT,AUT,manual_map,24
BE,BEL,manual_map,24
BG,BGR,manual_map,24
CY,CYP,manual_map,24
CZ,CZE,manual_map,24
DE,DEU,manual_map,24
DK,DNK,manual_map,24
EE,EST,manual_map,24
EL,GRC,manual_map,24
ES,ESP,manual_map,24
FI,FIN,manual_map,24
FR,FRA,manual_map,24
GBR,GBR,manual_map,185
HR,HRV,manual_map,24
HU,HUN,manual_map,24
IE,IRL,manual_map,24
IT,ITA,manual_map,24
KOR,KOR,manual_map,165
LT,LTU,manual_map,24
LU,LUX,manual_map,24
LV,LVA,manual_map,24
MT,MLT,manual_map,24
NL,NLD,manual_map,24
PL,POL,manual_map,24
PT,PRT,manual_map,24
RO,ROU,manual_map,24
SE,SWE,manual_map,24
SI,SVN,manual_map,24
SK,SVK,manual_map,24
USA,USA,manual_map,183
