source_country_code,Country,country_standardization_status,row_count
AFE,,aggregate_or_region,22
AFW,,aggregate_or_region,21
CEB,,aggregate_or_region,22
CSS,,aggregate_or_region,23
EA,,aggregate_or_region,24
EA19,,aggregate_or_region,24
EA20,,aggregate_or_region,71
EA21,,aggregate_or_region,24
EAP,,aggregate_or_region,21
EAS,,aggregate_or_region,22
ECA,,aggregate_or_region,38
ECS,,aggregate_or_region,22
EMU,,aggregate_or_region,22
EU,,aggregate_or_region,24
EU19OECD,,aggregate_or_region,24
EU22OECD,,aggregate_or_region,24
EU25,,aggregate_or_region,9
EU27,,aggregate_or_region,24
EU27_2020,,aggregate_or_region,94
FCS,,aggregate_or_region,21
G20,,aggregate_or_region,28
G7,,aggregate_or_region,47
IBD,,aggregate_or_region,22
IBT,,aggregate_or_region,22
IDA,,aggregate_or_region,22
IDB,,aggregate_or_region,22
IDX,,aggregate_or_region,21
LCN,,aggregate_or_region,25
LMY,,aggregate_or_region,22
LTE,,aggregate_or_region,22
MEA,,aggregate_or_region,22
MIC,,aggregate_or_region,22
MNA,,aggregate_or_region,21
NAC,,aggregate_or_region,45
OECD,,aggregate_or_region,130
OECDE,,aggregate_or_region,24
OECD_REP,,aggregate_or_region,24
OED,,aggregate_or_region,22
PRE,,aggregate_or_region,22
PST,,aggregate_or_region,22
SAS,,aggregate_or_region,38
SSA,,aggregate_or_region,22
SSF,,aggregate_or_region,22
TEA,,aggregate_or_region,21
TEC,,aggregate_or_region,38
TLA,,aggregate_or_region,28
TMN,,aggregate_or_region,21
TSA,,aggregate_or_region,38
TSS,,aggregate_or_region,22
WLD,,aggregate_or_region,22
