Country,energy_import_dependency_raw,gdp_growth,inflation_cpi,productivity_gdp_per_hour,public_debt_gdp_canonical,public_debt_gdp_eurostat,public_debt_gdp_worldbank,rd_gdp,tertiary_education_25_64,unemployment_rate,final5_ordering_variables_present,complete_any_year_final5_ordering,validation_variables_present,complete_any_year_validation_variables,broader_core_variables_present
AUS,1,1,1,1,1,0,1,1,1,1,5,True,5,True,8
AUT,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
BEL,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
BGR,1,0,1,1,1,1,0,1,1,1,5,True,4,False,7
CAN,1,1,1,1,1,0,1,1,1,1,5,True,5,True,8
CHE,1,1,1,1,1,0,1,1,1,1,5,True,5,True,8
COL,1,1,1,1,1,0,1,1,1,1,5,True,5,True,8
CZE,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
DEU,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
DNK,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
ESP,1,1,1,1,1,1,1,1,1,1,5,True,5,True,8
EST,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
FIN,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
FRA,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
GBR,1,1,1,1,1,0,1,1,1,1,5,True,5,True,8
GRC,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
HRV,1,0,1,1,1,1,0,1,1,1,5,True,4,False,7
HUN,1,1,1,1,1,1,1,1,1,1,5,True,5,True,8
IRL,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
ISL,1,1,1,1,1,0,1,1,1,1,5,True,5,True,8
ITA,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
KOR,1,1,1,1,1,0,1,1,1,1,5,True,5,True,8
LTU,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
LUX,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
LVA,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
MEX,1,1,1,1,1,0,1,1,1,1,5,True,5,True,8
NLD,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
NZL,1,1,1,1,1,0,1,1,1,1,5,True,5,True,8
POL,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
PRT,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
ROU,1,0,0,1,1,1,0,1,1,1,5,True,3,False,6
SVK,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
SVN,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
SWE,1,1,1,1,1,1,0,1,1,1,5,True,5,True,8
TUR,1,1,1,1,1,0,1,1,1,1,5,True,5,True,8
USA,1,1,1,1,1,0,1,1,1,1,5,True,5,True,8
ZAF,1,1,1,0,1,0,1,1,1,1,5,True,4,False,7
ARG,1,0,1,0,0,0,0,1,1,1,4,False,2,False,5
BRA,1,1,1,0,1,0,1,0,1,1,4,False,4,False,6
CHL,1,1,1,1,0,0,0,1,1,1,4,False,4,False,7
CHN,1,1,1,0,0,0,0,1,1,1,4,False,3,False,6
CRI,1,1,1,1,0,0,0,1,1,1,4,False,4,False,7
IDN,1,1,1,0,1,0,1,0,1,1,4,False,4,False,6
IND,1,1,1,0,1,0,1,0,1,1,4,False,4,False,6
ISR,1,1,1,1,0,0,0,1,1,1,4,False,4,False,7
JPN,1,1,1,1,0,0,0,1,1,1,4,False,4,False,7
NOR,1,1,1,1,0,0,0,1,1,1,4,False,4,False,7
PER,1,0,0,0,1,0,1,0,1,1,4,False,2,False,4
RUS,1,1,1,0,1,0,1,1,0,1,4,False,4,False,6
CYP,1,0,0,0,1,1,0,0,0,1,3,False,2,False,3
MLT,1,0,0,0,1,1,0,0,0,1,3,False,2,False,3
SGP,1,0,0,0,1,0,1,1,0,0,3,False,1,False,3
THA,1,0,0,0,1,0,1,0,0,1,3,False,2,False,3
ALB,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
ARE,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
ARM,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
AZE,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
BGD,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
BHR,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
BIH,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
BLR,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
BWA,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
COD,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
COG,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
EGY,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
ETH,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
GEO,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
