Country,complete_final5_2007,complete_final5_2019,coverage_decision_recommendation,reason
AGO,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
ALB,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
AND,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
ARB,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
ARE,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
ARG,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
ARM,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
AZE,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
BEN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
BFA,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
BGD,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
BHR,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
BHS,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
BIH,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
BLR,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
BLZ,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
BOL,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
BRA,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
BRB,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
BRN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
BTN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
BWA,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
CHL,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
CHN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
CIV,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
CMR,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
COD,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
COG,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
CRI,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
CUB,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
CUW,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
CYP,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
DOM,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
DZA,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
EAR,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
ECU,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
EGY,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
ETH,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
EUU,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
FSM,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
GAB,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
GEO,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
GHA,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
GNQ,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
GTM,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
HKG,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
HND,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
HPC,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
IDN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
IND,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
IRN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
IRQ,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
ISL,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
ISR,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
JAM,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
JOR,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
JPN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
KAZ,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
KEN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
KGZ,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
KNA,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
KWT,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
LAC,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
LAO,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
LBN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
LBY,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
LCA,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
LDC,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
LKA,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
LSO,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
MAR,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
MDA,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
MDV,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
MEX,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
MHL,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
MKD,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
MLT,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
MMR,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
MNE,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
MNG,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
MOZ,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
MUS,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
MWI,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
MYS,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
NAM,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
NER,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
NGA,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
NIC,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
NOR,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
NPL,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
OMN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
PAK,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
PAN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
PER,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
PHL,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
PLW,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
PNG,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
PRK,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
PRY,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
QAT,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
RUS,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
