shock_id,baseline_year,raw_variable,score_column,concept,direction,min_value_complete_cases,max_value_complete_cases,scoring_note,is_final_ordering_variable
2007,2007,public_debt_gdp_canonical,debt_capacity_score_0_100,Debt capacity,lower_is_better,3.9,104.6,Min-max direction-aligned within complete-case baseline cross-section.,True
2007,2007,unemployment_rate,employment_strength_score_0_100,Employment strength,lower_is_better,3.376,11.017,Min-max direction-aligned within complete-case baseline cross-section.,True
2007,2007,rd_gdp,rd_intensity_score_0_100,R&D intensity,higher_is_better,0.447335405,3.337273481,Min-max direction-aligned within complete-case baseline cross-section.,True
2007,2007,tertiary_education_25_64,human_capital_tertiary_score_0_100,Human capital,higher_is_better,13.578119,48.181564,Min-max direction-aligned within complete-case baseline cross-section.,True
2007,2007,energy_import_dependency_raw,energy_security_score_0_100,Energy security,lower_is_better,-54.5900488468931,106.64376884536,Min-max direction-aligned within complete-case baseline cross-section.,True
2019,2019,public_debt_gdp_canonical,debt_capacity_score_0_100,Debt capacity,lower_is_better,9.0,183.2,Min-max direction-aligned within complete-case baseline cross-section.,True
2019,2019,unemployment_rate,employment_strength_score_0_100,Employment strength,lower_is_better,2.014,28.446,Min-max direction-aligned within complete-case baseline cross-section.,True
2019,2019,rd_gdp,rd_intensity_score_0_100,R&D intensity,higher_is_better,0.322012015,4.363781528,Min-max direction-aligned within complete-case baseline cross-section.,True
2019,2019,tertiary_education_25_64,human_capital_tertiary_score_0_100,Human capital,higher_is_better,15.798151,59.02025604248047,Min-max direction-aligned within complete-case baseline cross-section.,True
2019,2019,energy_import_dependency_raw,energy_security_score_0_100,Energy security,lower_is_better,-230.540248121,109.514776599087,Min-max direction-aligned within complete-case baseline cross-section.,True
