sensitivity_area,shock_id,headline_metric,value,secondary_value,interpretation,risk_level
discretization,2007,profile_uniqueness_ratio_at_5_levels,1.0,25.0,Five-level profiles preserve most country-level structural differentiation.,low
discretization,2019,profile_uniqueness_ratio_at_5_levels,0.9714285714285714,34.0,Five-level profiles preserve most country-level structural differentiation.,low
variable_set,2007,sensitivity_drop_energy_security_frontier_countries,6.0,0.4066666666666667,Alternative variable set used as sensitivity only; compare directionally with main set.,moderate
variable_set,2019,sensitivity_drop_energy_security_frontier_countries,4.0,0.3885918003565062,Alternative variable set used as sensitivity only; compare directionally with main set.,moderate
epsilon_tolerance,2007,valid_epsilon_values,3.0,5.0,Tolerance is diagnostic only because higher epsilon values can create invalid partial orders.,high
epsilon_tolerance,2019,valid_epsilon_values,2.0,5.0,Tolerance is diagnostic only because higher epsilon values can create invalid partial orders.,high
epsilon_margin,2007,valid_epsilon_margin_values,5.0,5.0,Margin rule remains a valid conservative robustness check.,low
epsilon_margin,2019,valid_epsilon_margin_values,5.0,5.0,Margin rule remains a valid conservative robustness check.,low
recovery_validation,2007,frontier_mean_minus_nonfrontier_recovery,-0.8235294117647056,0.0698417073797189,Frontier countries recovered faster on average.,interpretive_only
recovery_validation,2019,frontier_mean_minus_nonfrontier_recovery,-0.263157894736842,0.3094944510389975,Frontier countries recovered faster on average.,interpretive_only
