target_country,shock_id,target_profile,dominated_profile,dominated_countries,dominated_layer
CAN,2007,3-3-4-5-5,2-2-4-3-3,FRA,3
CAN,2007,3-3-4-5-5,1-2-4-4-1,BEL,3
CAN,2007,3-3-4-5-5,2-1-4-2-3,DEU,4
CAN,2007,3-3-4-5-5,3-1-1-2-4,POL,3
CAN,2007,3-3-4-5-5,2-2-2-1-3,HUN,4
CAN,2007,3-3-4-5-5,1-3-2-1-2,ITA,3
CAN,2007,3-3-4-5-5,1-1-1-2-2,GRC,5
CAN,2007,3-3-4-5-5,1-2-2-1-1,PRT,5
DEU,2007,2-1-4-2-3,1-1-1-2-2,GRC,5
FRA,2007,2-2-4-3-3,2-1-4-2-3,DEU,4
FRA,2007,2-2-4-3-3,2-2-2-1-3,HUN,4
FRA,2007,2-2-4-3-3,1-1-1-2-2,GRC,5
FRA,2007,2-2-4-3-3,1-2-2-1-1,PRT,5
ITA,2007,1-3-2-1-2,1-2-2-1-1,PRT,5
USA,2007,2-4-5-5-4,2-4-5-3-2,AUT,2
USA,2007,2-4-5-5-4,2-2-4-3-3,FRA,3
USA,2007,2-4-5-5-4,1-2-4-4-1,BEL,3
USA,2007,2-4-5-5-4,2-1-4-2-3,DEU,4
USA,2007,2-4-5-5-4,2-2-2-1-3,HUN,4
USA,2007,2-4-5-5-4,1-3-2-1-2,ITA,3
USA,2007,2-4-5-5-4,1-1-1-2-2,GRC,5
USA,2007,2-4-5-5-4,1-2-2-1-1,PRT,5
CAN,2019,3-3-3-5-5,3-1-1-1-5,ZAF,3
CAN,2019,3-3-3-5-5,3-2-1-2-3,SVK,4
CAN,2019,3-3-3-5-5,2-1-1-1-5,COL,4
CAN,2019,3-3-3-5-5,2-2-2-1-3,HRV,3
CAN,2019,3-3-3-5-5,1-2-3-2-1,PRT,3
CAN,2019,3-3-3-5-5,2-1-2-3-1,ESP,3
CAN,2019,3-3-3-5-5,1-1-2-2-1,GRC,4
CAN,2019,3-3-3-5-5,1-1-3-1-1,ITA,4
DEU,2019,3-5-5-2-2,2-5-3-2-2,HUN,2
DEU,2019,3-5-5-2-2,1-2-3-2-1,PRT,3
DEU,2019,3-5-5-2-2,1-1-2-2-1,GRC,4
DEU,2019,3-5-5-2-2,1-1-3-1-1,ITA,4
FRA,2019,1-1-4-3-3,1-1-2-2-1,GRC,4
FRA,2019,1-1-4-3-3,1-1-3-1-1,ITA,4
USA,2019,1-5-5-5-5,1-5-4-5-4,GBR,2
USA,2019,1-5-5-5-5,1-3-5-4-1,BEL,2
USA,2019,1-5-5-5-5,1-1-4-3-3,FRA,3
USA,2019,1-5-5-5-5,1-2-3-2-1,PRT,3
USA,2019,1-5-5-5-5,1-1-2-2-1,GRC,4
USA,2019,1-5-5-5-5,1-1-3-1-1,ITA,4
