target_country,shock_id,dimension,dimension_relation,comparisons,mean_target_minus_other,min_target_minus_other,max_target_minus_other
DEU,2007,Employment strength,target_weaker,7,-2.4285714285714284,-4,-1
DEU,2007,Human capital,target_weaker,7,-2.2857142857142856,-3,-1
DEU,2007,Energy security,target_weaker,5,-1.4,-2,-1
DEU,2007,Debt capacity,target_weaker,5,-1.2,-2,-1
DEU,2007,R&D intensity,target_weaker,4,-1.0,-1,-1
DEU,2007,Debt capacity,equal,2,0.0,0,0
DEU,2007,Energy security,equal,2,0.0,0,0
DEU,2007,R&D intensity,equal,3,0.0,0,0
FRA,2007,Employment strength,target_weaker,5,-2.0,-3,-1
FRA,2007,Human capital,target_weaker,6,-1.5,-2,-1
FRA,2007,Energy security,target_weaker,5,-1.4,-2,-1
FRA,2007,Debt capacity,target_weaker,5,-1.2,-2,-1
FRA,2007,R&D intensity,target_weaker,4,-1.0,-1,-1
FRA,2007,Debt capacity,equal,1,0.0,0,0
FRA,2007,Employment strength,equal,1,0.0,0,0
FRA,2007,Energy security,equal,1,0.0,0,0
FRA,2007,R&D intensity,equal,2,0.0,0,0
FRA,2019,Employment strength,target_weaker,7,-2.4285714285714284,-4,-1
FRA,2019,Debt capacity,target_weaker,5,-2.4,-4,-1
FRA,2019,Human capital,target_weaker,5,-1.4,-2,-1
FRA,2019,Energy security,target_weaker,5,-1.2,-2,-1
FRA,2019,R&D intensity,target_weaker,3,-1.0,-1,-1
FRA,2019,Debt capacity,equal,2,0.0,0,0
FRA,2019,Energy security,equal,2,0.0,0,0
FRA,2019,Human capital,equal,2,0.0,0,0
FRA,2019,R&D intensity,equal,4,0.0,0,0
ITA,2007,Human capital,target_weaker,9,-3.111111111111111,-4,-1
ITA,2007,Energy security,target_weaker,9,-2.5555555555555554,-3,-2
ITA,2007,Debt capacity,target_weaker,9,-2.4444444444444446,-4,-1
ITA,2007,R&D intensity,target_weaker,9,-2.111111111111111,-3,-1
ITA,2007,Employment strength,target_weaker,7,-1.4285714285714286,-2,-1
ITA,2007,Debt capacity,equal,1,0.0,0,0
ITA,2007,Employment strength,equal,3,0.0,0,0
ITA,2007,Energy security,equal,1,0.0,0,0
ITA,2007,Human capital,equal,1,0.0,0,0
ITA,2007,R&D intensity,equal,1,0.0,0,0
ITA,2019,Employment strength,target_weaker,18,-2.7222222222222223,-4,-1
ITA,2019,Human capital,target_weaker,18,-2.611111111111111,-4,-1
ITA,2019,Debt capacity,target_weaker,14,-2.5,-4,-1
ITA,2019,Energy security,target_weaker,16,-2.5,-4,-1
ITA,2019,R&D intensity,target_weaker,14,-1.5,-2,-1
ITA,2019,Debt capacity,equal,5,0.0,0,0
ITA,2019,Employment strength,equal,1,0.0,0,0
ITA,2019,Energy security,equal,3,0.0,0,0
ITA,2019,Human capital,equal,1,0.0,0,0
ITA,2019,R&D intensity,equal,5,0.0,0,0
