target_country,shock_id,comparison_type,target_profile,other_profile,other_countries,dimension,target_level,other_level,target_minus_other,dimension_relation
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-5-5-4-5,DNK,Debt capacity,3,4,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-5-5-4-5,DNK,Employment strength,3,5,-2,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-5-5-4-5,DNK,R&D intensity,4,5,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-5-5-4-5,DNK,Human capital,5,4,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-5-5-4-5,DNK,Energy security,5,5,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-2-5-5,EST,Debt capacity,3,5,-2,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-2-5-5,EST,Employment strength,3,5,-2,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-2-5-5,EST,R&D intensity,4,2,2,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-2-5-5,EST,Human capital,5,5,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-2-5-5,EST,Energy security,5,5,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,2-4-5-5-4,USA,Debt capacity,3,2,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,2-4-5-5-4,USA,Employment strength,3,4,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,2-4-5-5-4,USA,R&D intensity,4,5,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,2-4-5-5-4,USA,Human capital,5,5,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,2-4-5-5-4,USA,Energy security,5,4,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-5-4-4-4,NLD,Debt capacity,3,3,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-5-4-4-4,NLD,Employment strength,3,5,-2,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-5-4-4-4,NLD,R&D intensity,4,4,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-5-4-4-4,NLD,Human capital,5,4,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-5-4-4-4,NLD,Energy security,5,4,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-3-5-4-4,SWE,Debt capacity,3,3,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-3-5-4-4,SWE,Employment strength,3,3,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-3-5-4-4,SWE,R&D intensity,4,5,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-3-5-4-4,SWE,Human capital,5,4,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-3-5-4-4,SWE,Energy security,5,4,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,1-4-3-5-5,GBR,Debt capacity,3,1,2,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,1-4-3-5-5,GBR,Employment strength,3,4,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,1-4-3-5-5,GBR,R&D intensity,4,3,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,1-4-3-5-5,GBR,Human capital,5,5,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,1-4-3-5-5,GBR,Energy security,5,5,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-2-5-5-3,FIN,Debt capacity,3,3,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-2-5-5-3,FIN,Employment strength,3,2,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-2-5-5-3,FIN,R&D intensity,4,5,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-2-5-5-3,FIN,Human capital,5,5,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,3-2-5-5-3,FIN,Energy security,5,3,2,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-4-3-2-4,SVN,Debt capacity,3,5,-2,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-4-3-2-4,SVN,Employment strength,3,4,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-4-3-2-4,SVN,R&D intensity,4,3,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-4-3-2-4,SVN,Human capital,5,2,3,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-4-3-2-4,SVN,Energy security,5,4,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-1-3-3,LTU,Debt capacity,3,5,-2,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-1-3-3,LTU,Employment strength,3,5,-2,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-1-3-3,LTU,R&D intensity,4,1,3,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-1-3-3,LTU,Human capital,5,3,2,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-1-3-3,LTU,Energy security,5,3,2,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-3-3-1,LUX,Debt capacity,3,5,-2,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-3-3-1,LUX,Employment strength,3,5,-2,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-3-3-1,LUX,R&D intensity,4,3,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-3-3-1,LUX,Human capital,5,3,2,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-5-3-3-1,LUX,Energy security,5,1,4,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,2-4-5-3-2,AUT,Debt capacity,3,2,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,2-4-5-3-2,AUT,Employment strength,3,4,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,2-4-5-3-2,AUT,R&D intensity,4,5,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,2-4-5-3-2,AUT,Human capital,5,3,2,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,2-4-5-3-2,AUT,Energy security,5,2,3,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-3-3-1-5,CZE,Debt capacity,3,4,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-3-3-1-5,CZE,Employment strength,3,3,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-3-3-1-5,CZE,R&D intensity,4,3,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-3-3-1-5,CZE,Human capital,5,1,4,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-3-3-1-5,CZE,Energy security,5,5,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-4-2-4-1,IRL,Debt capacity,3,4,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-4-2-4-1,IRL,Employment strength,3,4,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-4-2-4-1,IRL,R&D intensity,4,2,2,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-4-2-4-1,IRL,Human capital,5,4,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-4-2-4-1,IRL,Energy security,5,1,4,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,2-2-4-3-3,FRA,Debt capacity,3,2,1,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,2-2-4-3-3,FRA,Employment strength,3,2,1,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,2-2-4-3-3,FRA,R&D intensity,4,4,0,equal
CAN,2007,target_vs_dominated,3-3-4-5-5,2-2-4-3-3,FRA,Human capital,5,3,2,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,2-2-4-3-3,FRA,Energy security,5,3,2,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-3-1-2-2,LVA,Debt capacity,3,5,-2,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-3-1-2-2,LVA,Employment strength,3,3,0,equal
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-3-1-2-2,LVA,R&D intensity,4,1,3,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-3-1-2-2,LVA,Human capital,5,2,3,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,5-3-1-2-2,LVA,Energy security,5,2,3,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-2-4-4-1,BEL,Debt capacity,3,1,2,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-2-4-4-1,BEL,Employment strength,3,2,1,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-2-4-4-1,BEL,R&D intensity,4,4,0,equal
CAN,2007,target_vs_dominated,3-3-4-5-5,1-2-4-4-1,BEL,Human capital,5,4,1,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-2-4-4-1,BEL,Energy security,5,1,4,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,2-1-4-2-3,DEU,Debt capacity,3,2,1,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,2-1-4-2-3,DEU,Employment strength,3,1,2,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,2-1-4-2-3,DEU,R&D intensity,4,4,0,equal
CAN,2007,target_vs_dominated,3-3-4-5-5,2-1-4-2-3,DEU,Human capital,5,2,3,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,2-1-4-2-3,DEU,Energy security,5,3,2,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-1-3-3-1,ESP,Debt capacity,3,4,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-1-3-3-1,ESP,Employment strength,3,1,2,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-1-3-3-1,ESP,R&D intensity,4,3,1,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-1-3-3-1,ESP,Human capital,5,3,2,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-1-3-3-1,ESP,Energy security,5,1,4,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,3-1-1-2-4,POL,Debt capacity,3,3,0,equal
CAN,2007,target_vs_dominated,3-3-4-5-5,3-1-1-2-4,POL,Employment strength,3,1,2,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,3-1-1-2-4,POL,R&D intensity,4,1,3,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,3-1-1-2-4,POL,Human capital,5,2,3,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,3-1-1-2-4,POL,Energy security,5,4,1,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,2-2-2-1-3,HUN,Debt capacity,3,2,1,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,2-2-2-1-3,HUN,Employment strength,3,2,1,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,2-2-2-1-3,HUN,R&D intensity,4,2,2,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,2-2-2-1-3,HUN,Human capital,5,1,4,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,2-2-2-1-3,HUN,Energy security,5,3,2,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-3-2-1-2,ITA,Debt capacity,3,1,2,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-3-2-1-2,ITA,Employment strength,3,3,0,equal
CAN,2007,target_vs_dominated,3-3-4-5-5,1-3-2-1-2,ITA,R&D intensity,4,2,2,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-3-2-1-2,ITA,Human capital,5,1,4,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-3-2-1-2,ITA,Energy security,5,2,3,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-1-1-1-2,SVK,Debt capacity,3,4,-1,target_weaker
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-1-1-1-2,SVK,Employment strength,3,1,2,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-1-1-1-2,SVK,R&D intensity,4,1,3,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-1-1-1-2,SVK,Human capital,5,1,4,target_stronger
CAN,2007,target_vs_incomparable,3-3-4-5-5,4-1-1-1-2,SVK,Energy security,5,2,3,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-1-1-2-2,GRC,Debt capacity,3,1,2,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-1-1-2-2,GRC,Employment strength,3,1,2,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-1-1-2-2,GRC,R&D intensity,4,1,3,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-1-1-2-2,GRC,Human capital,5,2,3,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-1-1-2-2,GRC,Energy security,5,2,3,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-2-2-1-1,PRT,Debt capacity,3,1,2,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-2-2-1-1,PRT,Employment strength,3,2,1,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-2-2-1-1,PRT,R&D intensity,4,2,2,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-2-2-1-1,PRT,Human capital,5,1,4,target_stronger
CAN,2007,target_vs_dominated,3-3-4-5-5,1-2-2-1-1,PRT,Energy security,5,1,4,target_stronger
DEU,2007,target_vs_dominator,2-1-4-2-3,4-5-5-4-5,DNK,Debt capacity,2,4,-2,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,4-5-5-4-5,DNK,Employment strength,1,5,-4,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,4-5-5-4-5,DNK,R&D intensity,4,5,-1,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,4-5-5-4-5,DNK,Human capital,2,4,-2,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,4-5-5-4-5,DNK,Energy security,3,5,-2,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-2-5-5,EST,Debt capacity,2,5,-3,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-2-5-5,EST,Employment strength,1,5,-4,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-2-5-5,EST,R&D intensity,4,2,2,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-2-5-5,EST,Human capital,2,5,-3,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-2-5-5,EST,Energy security,3,5,-2,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,2-4-5-5-4,USA,Debt capacity,2,2,0,equal
DEU,2007,target_vs_dominator,2-1-4-2-3,2-4-5-5-4,USA,Employment strength,1,4,-3,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,2-4-5-5-4,USA,R&D intensity,4,5,-1,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,2-4-5-5-4,USA,Human capital,2,5,-3,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,2-4-5-5-4,USA,Energy security,3,4,-1,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-3-4-5-5,CAN,Debt capacity,2,3,-1,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-3-4-5-5,CAN,Employment strength,1,3,-2,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-3-4-5-5,CAN,R&D intensity,4,4,0,equal
DEU,2007,target_vs_dominator,2-1-4-2-3,3-3-4-5-5,CAN,Human capital,2,5,-3,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-3-4-5-5,CAN,Energy security,3,5,-2,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-5-4-4-4,NLD,Debt capacity,2,3,-1,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-5-4-4-4,NLD,Employment strength,1,5,-4,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-5-4-4-4,NLD,R&D intensity,4,4,0,equal
