,AUS,AUT,BEL,BGR,CAN,CHE,COL,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ITA,KOR,LTU,LUX,LVA,NLD,NZL,POL,PRT,ROU,SVK,SVN,SWE,TUR,USA,ZAF
AUS,0.0,0.4,0.45,0.45,0.0,0.4,0.45,0.5,0.5,0.25,0.5,0.2,0.25,0.45,0.3,0.6,0.45,0.45,0.25,0.6,0.45,0.4,0.35,0.4,0.3,0.3,0.45,0.5,0.4,0.4,0.3,0.3,0.6,0.3,0.4
AUT,0.4,0.0,0.15,0.55,0.4,0.3,0.55,0.5,0.2,0.25,0.3,0.5,0.25,0.25,0.4,0.4,0.35,0.25,0.35,0.4,0.35,0.4,0.45,0.4,0.2,0.4,0.45,0.3,0.6,0.4,0.1,0.3,0.5,0.4,0.6
BEL,0.45,0.15,0.0,0.7,0.45,0.35,0.7,0.65,0.35,0.4,0.35,0.55,0.3,0.3,0.35,0.35,0.5,0.4,0.4,0.35,0.3,0.45,0.4,0.55,0.25,0.55,0.6,0.25,0.75,0.55,0.25,0.35,0.65,0.35,0.75
BGR,0.45,0.55,0.7,0.0,0.45,0.35,0.4,0.25,0.45,0.3,0.55,0.25,0.5,0.6,0.55,0.55,0.4,0.4,0.4,0.65,0.6,0.35,0.4,0.25,0.45,0.15,0.2,0.55,0.15,0.25,0.45,0.45,0.35,0.65,0.35
CAN,0.0,0.4,0.45,0.45,0.0,0.4,0.45,0.5,0.5,0.25,0.5,0.2,0.25,0.45,0.3,0.6,0.45,0.45,0.25,0.6,0.45,0.4,0.35,0.4,0.3,0.3,0.45,0.5,0.4,0.4,0.3,0.3,0.6,0.3,0.4
CHE,0.4,0.3,0.35,0.35,0.4,0.0,0.75,0.3,0.3,0.25,0.6,0.2,0.35,0.45,0.4,0.7,0.55,0.45,0.35,0.7,0.25,0.4,0.35,0.4,0.2,0.2,0.35,0.6,0.5,0.5,0.3,0.2,0.5,0.4,0.7
COL,0.45,0.55,0.7,0.4,0.45,0.75,0.0,0.55,0.65,0.5,0.35,0.55,0.4,0.4,0.65,0.35,0.2,0.5,0.6,0.35,0.9,0.45,0.7,0.35,0.65,0.55,0.5,0.45,0.25,0.25,0.45,0.55,0.35,0.65,0.05
CZE,0.5,0.5,0.65,0.25,0.5,0.3,0.55,0.0,0.3,0.25,0.7,0.3,0.45,0.55,0.4,0.7,0.45,0.35,0.55,0.6,0.45,0.6,0.55,0.5,0.4,0.2,0.25,0.6,0.3,0.5,0.4,0.4,0.4,0.5,0.5
DEU,0.5,0.2,0.35,0.45,0.5,0.3,0.65,0.3,0.0,0.35,0.5,0.5,0.45,0.45,0.4,0.5,0.45,0.15,0.35,0.5,0.25,0.5,0.55,0.5,0.2,0.4,0.25,0.4,0.5,0.4,0.3,0.4,0.5,0.4,0.6
DNK,0.25,0.25,0.4,0.3,0.25,0.25,0.5,0.25,0.35,0.0,0.45,0.25,0.2,0.3,0.35,0.55,0.4,0.4,0.4,0.55,0.4,0.35,0.4,0.25,0.25,0.15,0.3,0.45,0.35,0.35,0.15,0.15,0.45,0.45,0.45
ESP,0.5,0.3,0.35,0.55,0.5,0.6,0.35,0.7,0.5,0.45,0.0,0.6,0.35,0.25,0.6,0.1,0.25,0.35,0.35,0.2,0.55,0.3,0.35,0.3,0.4,0.5,0.45,0.2,0.6,0.3,0.3,0.5,0.3,0.7,0.4
EST,0.2,0.5,0.55,0.25,0.2,0.2,0.55,0.3,0.5,0.25,0.6,0.0,0.35,0.55,0.4,0.7,0.55,0.45,0.35,0.7,0.45,0.4,0.35,0.4,0.3,0.1,0.35,0.6,0.3,0.5,0.4,0.3,0.5,0.4,0.5
FIN,0.25,0.25,0.3,0.5,0.25,0.35,0.4,0.45,0.45,0.2,0.35,0.35,0.0,0.2,0.25,0.45,0.3,0.4,0.4,0.45,0.5,0.35,0.5,0.35,0.25,0.35,0.5,0.35,0.55,0.35,0.15,0.15,0.55,0.35,0.45
FRA,0.45,0.25,0.3,0.6,0.45,0.45,0.4,0.55,0.45,0.3,0.25,0.55,0.2,0.0,0.35,0.25,0.3,0.4,0.5,0.25,0.6,0.45,0.6,0.35,0.35,0.45,0.5,0.25,0.65,0.35,0.15,0.35,0.45,0.45,0.45
GBR,0.3,0.4,0.35,0.55,0.3,0.4,0.65,0.4,0.4,0.35,0.6,0.4,0.25,0.35,0.0,0.6,0.55,0.35,0.35,0.6,0.35,0.6,0.55,0.6,0.3,0.4,0.45,0.5,0.6,0.6,0.3,0.4,0.8,0.1,0.7
GRC,0.6,0.4,0.35,0.55,0.6,0.7,0.35,0.7,0.5,0.55,0.1,0.7,0.45,0.25,0.6,0.0,0.25,0.35,0.45,0.1,0.65,0.4,0.45,0.4,0.5,0.6,0.45,0.1,0.6,0.3,0.4,0.6,0.3,0.7,0.4
HRV,0.45,0.35,0.5,0.4,0.45,0.55,0.2,0.45,0.45,0.4,0.25,0.55,0.3,0.3,0.55,0.25,0.0,0.3,0.4,0.25,0.7,0.35,0.5,0.25,0.45,0.45,0.3,0.25,0.35,0.15,0.25,0.45,0.25,0.65,0.25
HUN,0.45,0.25,0.4,0.4,0.45,0.45,0.5,0.35,0.15,0.4,0.35,0.45,0.4,0.4,0.35,0.35,0.3,0.0,0.3,0.35,0.4,0.45,0.5,0.45,0.25,0.35,0.2,0.25,0.45,0.35,0.25,0.55,0.45,0.45,0.55
IRL,0.25,0.35,0.4,0.4,0.25,0.35,0.6,0.55,0.35,0.4,0.35,0.35,0.4,0.5,0.35,0.45,0.4,0.3,0.0,0.55,0.3,0.25,0.2,0.35,0.15,0.35,0.3,0.45,0.45,0.35,0.35,0.45,0.45,0.45,0.55
ITA,0.6,0.4,0.35,0.65,0.6,0.7,0.35,0.6,0.5,0.55,0.2,0.7,0.45,0.25,0.6,0.1,0.25,0.35,0.55,0.0,0.65,0.5,0.55,0.5,0.5,0.6,0.55,0.1,0.6,0.4,0.4,0.6,0.3,0.7,0.4
KOR,0.45,0.35,0.3,0.6,0.45,0.25,0.9,0.45,0.25,0.4,0.55,0.45,0.5,0.6,0.35,0.65,0.7,0.4,0.3,0.65,0.0,0.45,0.3,0.55,0.25,0.45,0.4,0.55,0.65,0.65,0.45,0.35,0.65,0.35,0.85
LTU,0.4,0.4,0.45,0.35,0.4,0.4,0.45,0.6,0.5,0.35,0.3,0.4,0.35,0.45,0.6,0.4,0.35,0.45,0.25,0.5,0.45,0.0,0.25,0.1,0.3,0.4,0.35,0.4,0.4,0.2,0.4,0.3,0.3,0.7,0.4
LUX,0.35,0.45,0.4,0.4,0.35,0.35,0.7,0.55,0.55,0.4,0.35,0.35,0.5,0.6,0.55,0.45,0.5,0.5,0.2,0.55,0.3,0.25,0.0,0.35,0.35,0.35,0.4,0.45,0.55,0.45,0.45,0.45,0.35,0.65,0.65
LVA,0.4,0.4,0.55,0.25,0.4,0.4,0.35,0.5,0.5,0.25,0.3,0.4,0.35,0.35,0.6,0.4,0.25,0.45,0.35,0.5,0.55,0.1,0.35,0.0,0.4,0.3,0.25,0.4,0.3,0.1,0.3,0.3,0.3,0.7,0.3
NLD,0.3,0.2,0.25,0.45,0.3,0.2,0.65,0.4,0.2,0.25,0.4,0.3,0.25,0.35,0.3,0.5,0.45,0.25,0.15,0.5,0.25,0.3,0.35,0.4,0.0,0.3,0.35,0.4,0.5,0.4,0.2,0.3,0.5,0.4,0.6
NZL,0.3,0.4,0.55,0.15,0.3,0.2,0.55,0.2,0.4,0.15,0.5,0.1,0.35,0.45,0.4,0.6,0.45,0.35,0.35,0.6,0.45,0.4,0.35,0.3,0.3,0.0,0.25,0.5,0.3,0.4,0.3,0.3,0.4,0.5,0.5
