neighbour_country,ordinal_manhattan_distance_0_1,rank,shock_id,Country,ordinal_similarity_0_1
USA,0.2,1,2007,AUT,0.8
FRA,0.2,2,2007,AUT,0.8
SWE,0.25,3,2007,AUT,0.75
NLD,0.3,4,2007,AUT,0.7
FIN,0.3,5,2007,AUT,0.7
FRA,0.2,1,2007,BEL,0.8
PRT,0.25,2,2007,BEL,0.75
AUT,0.3,3,2007,BEL,0.7
DEU,0.3,4,2007,BEL,0.7
ESP,0.3,5,2007,BEL,0.7
SWE,0.15,1,2007,CAN,0.85
USA,0.2,2,2007,CAN,0.8
NLD,0.2,3,2007,CAN,0.8
FIN,0.2,4,2007,CAN,0.8
GBR,0.2,5,2007,CAN,0.8
SVN,0.2,1,2007,CZE,0.8
HUN,0.3,2,2007,CZE,0.7
CAN,0.3,3,2007,CZE,0.7
LVA,0.35,4,2007,CZE,0.65
ITA,0.35,5,2007,CZE,0.65
FRA,0.1,1,2007,DEU,0.9
HUN,0.2,2,2007,DEU,0.8
POL,0.25,3,2007,DEU,0.75
GRC,0.25,4,2007,DEU,0.75
FIN,0.3,5,2007,DEU,0.7
NLD,0.15,1,2007,DNK,0.85
SWE,0.2,2,2007,DNK,0.8
USA,0.25,3,2007,DNK,0.75
CAN,0.25,4,2007,DNK,0.75
EST,0.25,5,2007,DNK,0.75
SVK,0.25,1,2007,ESP,0.75
LUX,0.25,2,2007,ESP,0.75
IRL,0.25,3,2007,ESP,0.75
BEL,0.3,4,2007,ESP,0.7
DEU,0.3,5,2007,ESP,0.7
DNK,0.25,1,2007,EST,0.75
LTU,0.25,2,2007,EST,0.75
SVN,0.3,3,2007,EST,0.7
CAN,0.3,4,2007,EST,0.7
NLD,0.3,5,2007,EST,0.7
SWE,0.15,1,2007,FIN,0.85
USA,0.2,2,2007,FIN,0.8
CAN,0.2,3,2007,FIN,0.8
FRA,0.2,4,2007,FIN,0.8
NLD,0.3,5,2007,FIN,0.7
DEU,0.1,1,2007,FRA,0.9
AUT,0.2,2,2007,FRA,0.8
FIN,0.2,3,2007,FRA,0.8
HUN,0.2,4,2007,FRA,0.8
BEL,0.2,5,2007,FRA,0.8
USA,0.2,1,2007,GBR,0.8
CAN,0.2,2,2007,GBR,0.8
NLD,0.3,3,2007,GBR,0.7
EST,0.3,4,2007,GBR,0.7
SWE,0.35,5,2007,GBR,0.65
SVK,0.2,1,2007,GRC,0.8
PRT,0.2,2,2007,GRC,0.8
POL,0.2,3,2007,GRC,0.8
ITA,0.2,4,2007,GRC,0.8
HUN,0.25,5,2007,GRC,0.75
PRT,0.15,1,2007,HUN,0.85
ITA,0.15,2,2007,HUN,0.85
DEU,0.2,3,2007,HUN,0.8
FRA,0.2,4,2007,HUN,0.8
GRC,0.25,5,2007,HUN,0.75
LUX,0.2,1,2007,IRL,0.8
ESP,0.25,2,2007,IRL,0.75
LVA,0.3,3,2007,IRL,0.7
LTU,0.3,4,2007,IRL,0.7
AUT,0.35,5,2007,IRL,0.65
PRT,0.1,1,2007,ITA,0.9
