Country,shock_id,baseline_year,profile_code,profile_digit_sum,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,main_variable_set,levels,layer,is_pareto_frontier,observed_dominance_score_normalized,observed_dominated_by_score_normalized,observed_incomparability_score_normalized,embedded_dominance_score_normalized,embedded_dominated_by_score_normalized,embedded_incomparability_score_normalized,observed_separation_score_normalized,embedded_separation_score_normalized,recovery_years,recovery_status,target_flag
AUT,2007,2007,2-4-5-3-2,16.0,2,4,5,3,2,38.530287984111226,80.60463290145269,68.73029725083978,33.275741765017905,22.62007222087811,baseline_5_variables,5,2,False,0.125,0.0833333333333333,0.7916666666666666,0.0765044814340589,0.0304097311139564,0.8930857874519846,0.0504451038575667,0.0264849074975657,2.0,recovered,False
BEL,2007,2007,1-2-4-4-1,12.0,1,2,4,4,1,16.981132075471695,46.577673079439855,48.53596129441771,53.51127611716117,9.613947055901342,baseline_5_variables,5,3,False,0.0416666666666666,0.25,0.7083333333333334,0.0099231754161331,0.1277208706786171,0.8623559539052497,0.0022255192878338,0.0011684518013631,1.0,recovered,False
CAN,2007,2007,3-3-4-5-5,20.0,3,3,4,5,5,64.98653033849067,63.66967674388169,50.39007991533172,100.0,100.0,baseline_5_variables,5,1,True,0.3333333333333333,0.0,0.6666666666666666,0.2877720870678617,0.0054417413572343,0.706786171574904,0.3060089020771513,0.1606621226874391,1.0,recovered,True
CZE,2007,2007,4-3-3-1-5,16.0,4,3,3,1,5,76.76266137040716,74.61065305588274,29.390389885987307,0.44663183102145,50.55619451737794,baseline_5_variables,5,2,False,0.1666666666666666,0.0416666666666666,0.7916666666666666,0.0572983354673495,0.0284891165172855,0.9142125480153648,0.0341246290801186,0.0179162609542356,5.0,recovered,False
DEU,2007,2007,2-1-4-2-3,12.0,2,1,4,2,3,40.61569016881827,31.14775552938096,68.23146618176881,30.98497562887163,28.58329615310983,baseline_5_variables,5,4,False,0.0416666666666666,0.2916666666666667,0.6666666666666666,0.0150448143405889,0.1533290653008963,0.8316261203585147,0.0029673590504451,0.0015579357351509,2.0,recovered,True
DNK,2007,2007,4-5-5-4-5,23.0,4,5,5,4,5,74.57795431976167,100.0,71.3466252831917,50.06824898503602,82.73514245549566,baseline_5_variables,5,1,True,0.625,0.0,0.375,0.6398847631241997,0.0009603072983354,0.3591549295774648,1.0,0.5250243427458617,7.0,recovered,False
ESP,2007,2007,4-1-3-3-1,12.0,4,1,3,3,1,68.42105263157895,36.44810888627143,27.36697161673024,45.36635297439316,12.778389311997874,baseline_5_variables,5,2,False,0.0,0.0833333333333333,0.9166666666666666,0.0112035851472471,0.1437259923175416,0.8450704225352113,0.0,0.0,8.0,recovered,False
EST,2007,2007,5-5-2-5-5,22.0,5,5,2,5,5,100.0,84.21672555948174,21.15455708470343,56.54896210478465,50.22277382461701,baseline_5_variables,5,1,True,0.375,0.0,0.625,0.3998079385403329,0.0009603072983354,0.5992317541613317,0.4885014836795252,0.256475170399221,8.0,recovered,False
FIN,2007,2007,3-2-5-5-3,18.0,3,2,5,5,3,68.12313803376365,54.83575448239758,100.0,65.82852372068734,32.23896352738612,baseline_5_variables,5,1,True,0.25,0.0,0.75,0.1437259923175416,0.0112035851472471,0.8450704225352113,0.1001483679525222,0.0525803310613437,8.0,recovered,False
FRA,2007,2007,2-2-4-3-3,14.0,2,2,4,3,3,38.82820258192651,39.562884439209526,54.70072352512234,37.76496819897556,33.909460313319514,baseline_5_variables,5,3,False,0.1666666666666666,0.25,0.5833333333333334,0.0457746478873239,0.0918693982074263,0.8623559539052497,0.0242952522255192,0.0127555988315481,2.0,recovered,True
