target_country,shock_id,target_profile,incomparable_profile,incomparable_countries,incomparable_layer
CAN,2007,3-3-4-5-5,4-5-5-4-5,DNK,1
CAN,2007,3-3-4-5-5,5-5-2-5-5,EST,1
CAN,2007,3-3-4-5-5,2-4-5-5-4,USA,1
CAN,2007,3-3-4-5-5,3-5-4-4-4,NLD,2
CAN,2007,3-3-4-5-5,3-3-5-4-4,SWE,2
CAN,2007,3-3-4-5-5,1-4-3-5-5,GBR,1
CAN,2007,3-3-4-5-5,3-2-5-5-3,FIN,1
CAN,2007,3-3-4-5-5,5-4-3-2-4,SVN,1
CAN,2007,3-3-4-5-5,5-5-1-3-3,LTU,2
CAN,2007,3-3-4-5-5,5-5-3-3-1,LUX,1
CAN,2007,3-3-4-5-5,2-4-5-3-2,AUT,2
CAN,2007,3-3-4-5-5,4-3-3-1-5,CZE,2
CAN,2007,3-3-4-5-5,4-4-2-4-1,IRL,2
CAN,2007,3-3-4-5-5,5-3-1-2-2,LVA,3
CAN,2007,3-3-4-5-5,4-1-3-3-1,ESP,2
CAN,2007,3-3-4-5-5,4-1-1-1-2,SVK,4
DEU,2007,2-1-4-2-3,5-5-2-5-5,EST,1
DEU,2007,2-1-4-2-3,1-4-3-5-5,GBR,1
DEU,2007,2-1-4-2-3,5-4-3-2-4,SVN,1
DEU,2007,2-1-4-2-3,5-5-1-3-3,LTU,2
DEU,2007,2-1-4-2-3,5-5-3-3-1,LUX,1
DEU,2007,2-1-4-2-3,2-4-5-3-2,AUT,2
DEU,2007,2-1-4-2-3,4-3-3-1-5,CZE,2
DEU,2007,2-1-4-2-3,4-4-2-4-1,IRL,2
DEU,2007,2-1-4-2-3,5-3-1-2-2,LVA,3
DEU,2007,2-1-4-2-3,1-2-4-4-1,BEL,3
DEU,2007,2-1-4-2-3,4-1-3-3-1,ESP,2
DEU,2007,2-1-4-2-3,3-1-1-2-4,POL,3
DEU,2007,2-1-4-2-3,2-2-2-1-3,HUN,4
DEU,2007,2-1-4-2-3,1-3-2-1-2,ITA,3
DEU,2007,2-1-4-2-3,4-1-1-1-2,SVK,4
DEU,2007,2-1-4-2-3,1-2-2-1-1,PRT,5
FRA,2007,2-2-4-3-3,5-5-2-5-5,EST,1
FRA,2007,2-2-4-3-3,1-4-3-5-5,GBR,1
FRA,2007,2-2-4-3-3,5-4-3-2-4,SVN,1
FRA,2007,2-2-4-3-3,5-5-1-3-3,LTU,2
FRA,2007,2-2-4-3-3,5-5-3-3-1,LUX,1
FRA,2007,2-2-4-3-3,2-4-5-3-2,AUT,2
FRA,2007,2-2-4-3-3,4-3-3-1-5,CZE,2
FRA,2007,2-2-4-3-3,4-4-2-4-1,IRL,2
FRA,2007,2-2-4-3-3,5-3-1-2-2,LVA,3
FRA,2007,2-2-4-3-3,1-2-4-4-1,BEL,3
FRA,2007,2-2-4-3-3,4-1-3-3-1,ESP,2
FRA,2007,2-2-4-3-3,3-1-1-2-4,POL,3
FRA,2007,2-2-4-3-3,1-3-2-1-2,ITA,3
FRA,2007,2-2-4-3-3,4-1-1-1-2,SVK,4
ITA,2007,1-3-2-1-2,3-2-5-5-3,FIN,1
ITA,2007,1-3-2-1-2,5-5-1-3-3,LTU,2
ITA,2007,1-3-2-1-2,5-5-3-3-1,LUX,1
ITA,2007,1-3-2-1-2,4-4-2-4-1,IRL,2
ITA,2007,1-3-2-1-2,2-2-4-3-3,FRA,3
ITA,2007,1-3-2-1-2,5-3-1-2-2,LVA,3
ITA,2007,1-3-2-1-2,1-2-4-4-1,BEL,3
ITA,2007,1-3-2-1-2,2-1-4-2-3,DEU,4
ITA,2007,1-3-2-1-2,4-1-3-3-1,ESP,2
ITA,2007,1-3-2-1-2,3-1-1-2-4,POL,3
ITA,2007,1-3-2-1-2,2-2-2-1-3,HUN,4
ITA,2007,1-3-2-1-2,4-1-1-1-2,SVK,4
ITA,2007,1-3-2-1-2,1-1-1-2-2,GRC,5
USA,2007,2-4-5-5-4,4-5-5-4-5,DNK,1
USA,2007,2-4-5-5-4,5-5-2-5-5,EST,1
USA,2007,2-4-5-5-4,3-3-4-5-5,CAN,1
USA,2007,2-4-5-5-4,3-5-4-4-4,NLD,2
USA,2007,2-4-5-5-4,3-3-5-4-4,SWE,2
USA,2007,2-4-5-5-4,1-4-3-5-5,GBR,1
USA,2007,2-4-5-5-4,3-2-5-5-3,FIN,1
USA,2007,2-4-5-5-4,5-4-3-2-4,SVN,1
USA,2007,2-4-5-5-4,5-5-1-3-3,LTU,2
USA,2007,2-4-5-5-4,5-5-3-3-1,LUX,1
USA,2007,2-4-5-5-4,4-3-3-1-5,CZE,2
USA,2007,2-4-5-5-4,4-4-2-4-1,IRL,2
USA,2007,2-4-5-5-4,5-3-1-2-2,LVA,3
USA,2007,2-4-5-5-4,4-1-3-3-1,ESP,2
USA,2007,2-4-5-5-4,3-1-1-2-4,POL,3
USA,2007,2-4-5-5-4,4-1-1-1-2,SVK,4
CAN,2019,3-3-3-5-5,1-5-5-5-5,USA,1
CAN,2019,3-3-3-5-5,5-4-3-4-5,EST,1
CAN,2019,3-3-3-5-5,5-4-5-4-3,CHE,1
CAN,2019,3-3-3-5-5,4-5-5-5-1,KOR,1
CAN,2019,3-3-3-5-5,1-5-4-5-4,GBR,2
CAN,2019,3-3-3-5-5,4-2-5-4-4,SWE,1
CAN,2019,3-3-3-5-5,5-4-3-3-4,NZL,2
CAN,2019,3-3-3-5-5,5-5-4-1-4,CZE,1
CAN,2019,3-3-3-5-5,4-3-4-3-4,DNK,1
CAN,2019,3-3-3-5-5,3-4-4-4-2,NLD,2
CAN,2019,3-3-3-5-5,3-5-5-2-2,DEU,1
CAN,2019,3-3-3-5-5,2-2-4-4-4,FIN,2
CAN,2019,3-3-3-5-5,3-4-2-5-2,IRL,1
CAN,2019,3-3-3-5-5,4-5-2-2-3,POL,1
CAN,2019,3-3-3-5-5,5-3-2-5-1,LUX,1
CAN,2019,3-3-3-5-5,5-4-1-2-4,BGR,3
CAN,2019,3-3-3-5-5,2-3-4-3-3,SVN,2
CAN,2019,3-3-3-5-5,2-3-5-3-2,AUT,2
CAN,2019,3-3-3-5-5,4-4-1-1-5,ROU,2
CAN,2019,3-3-3-5-5,1-3-5-4-1,BEL,2
CAN,2019,3-3-3-5-5,2-5-3-2-2,HUN,2
CAN,2019,3-3-3-5-5,4-2-1-3-3,LVA,3
CAN,2019,3-3-3-5-5,4-2-1-4-2,LTU,2
CAN,2019,3-3-3-5-5,1-1-4-3-3,FRA,3
CAN,2019,3-3-3-5-5,5-1-2-1-2,TUR,3
DEU,2019,3-5-5-2-2,1-5-5-5-5,USA,1
DEU,2019,3-5-5-2-2,5-4-3-4-5,EST,1
DEU,2019,3-5-5-2-2,5-4-5-4-3,CHE,1
DEU,2019,3-5-5-2-2,4-5-5-5-1,KOR,1
DEU,2019,3-5-5-2-2,1-5-4-5-4,GBR,2
DEU,2019,3-5-5-2-2,3-3-3-5-5,"AUS, CAN",1
DEU,2019,3-5-5-2-2,4-2-5-4-4,SWE,1
DEU,2019,3-5-5-2-2,5-4-3-3-4,NZL,2
DEU,2019,3-5-5-2-2,5-5-4-1-4,CZE,1
