Country,Year,energy_import_dependency_raw,gdp_growth,inflation_cpi,productivity_gdp_per_hour,public_debt_gdp_canonical,public_debt_gdp_eurostat,public_debt_gdp_worldbank,rd_gdp,tertiary_education_25_64,unemployment_rate,Recovery_2007,Recovery_2019,Recovery_2007_status,Recovery_2019_status,wgi_va_score,wgi_pv_score,wgi_ge_score,wgi_rq_score,wgi_rl_score,wgi_cc_score,wgi_six_dimension_mean_score,wgi_six_dimension_available_count,governance_context_score_0_100,governance_context_role,shock_id,shock_label,baseline_year,poset_temporal_design,final5_raw_variables_available,complete_case_final5_raw,gdp_growth_volatility_sd,gdp_growth_stability_score_0_100,years_available,window_start,window_end,sufficient_window_coverage,volatility_feature_role,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,final5_score_variables_available,complete_case_final5_scores
AGO,2007,-905.051352241387,,,,,,,,,,,,,,-1.2351851,-0.7470711,-1.41301869999999,-1.072509,-1.3309729,-1.2804167,-1.1798622499999982,6.0,23.921553042690377,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,627.4707971114155,1,False
ALB,2007,49.3498671390608,,,,,,,,,,,,,,0.0980996,-0.188559199999999,-0.5171955,-0.0069108999999999,-0.5254485,-0.6751999,-0.3025357333333331,6.0,44.69158204622526,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,35.53466792906686,1,False
ARB,2007,-202.636453892051,,,,,,,,,,,,,,,,,,,,,,,,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,191.8209387857664,1,False
ARE,2007,-239.143526278874,,,,,,,,,,,,,,-0.616451,1.0198691,0.9034445,0.7403079,0.0361401,0.7779631,0.4768789499999999,6.0,63.14362386997079,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,214.46325595554526,1,False
ARG,2007,-8.75840895532529,,,,,,,0.46006591,,,,,,,0.5040718,0.2041085,0.0008548999999999,-0.6471966,-0.4644969,-0.4042866,-0.1344908166666667,6.0,48.66991591253125,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,2,False,,,,,,,,,,0.4405113419461381,,71.57442492675659,2,False
ARM,2007,72.8092351995716,,,,,,,,,,,,,,-0.451021599999999,0.1764597,-0.3655469,0.2437483999999999,-0.3905878,-0.7056118,-0.2487599999999998,6.0,45.96468108039483,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,20.984762458684912,1,False
AUS,2007,-127.764290888944,3.62398503565634,2.327611,59.3923292763002,20.0582738191257,,20.0582738191257,,33.73671,4.381,0.0,0.0,no_negative_growth_in_shock_window,no_negative_growth_in_shock_window,1.5924950999999998,1.0920694,1.7472507,1.8241496,1.7300515,1.8662259,1.6420403666666663,6.0,90.72792225629355,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,4,False,0.5315881443971093,97.94551798603956,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,83.95404784595263,86.8472712995681,,58.25602335258816,145.38392943204914,4,False
AUT,2007,70.1725628388934,3.77522447023948,2.168556,76.8400778001229,65.8,65.8,,2.433598435,25.092672,4.858,2.0,2.0,recovered,recovered,1.6046687,1.3179972,1.7741679,1.8293257,1.9455459,1.9654354,1.739523466666667,6.0,93.03575950490116,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.0098134149258915,80.57680954963733,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,38.530287984111226,80.60463290145269,68.73029725083978,33.275741765017905,22.62007222087811,5,True
AZE,2007,-323.147547736931,,,,,,,,,,,,,,-0.9457875,-0.586898599999999,-0.809425499999999,-0.4496343,-0.715959,-1.16611739999999,-0.7789703833333315,6.0,33.41235896245665,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,266.5640017298564,1,False
BEL,2007,91.1428349762183,3.67692462515804,1.823056,84.6486740483391,87.5,87.5,,1.849994631,32.094864,7.458,1.0,1.0,recovered,recovered,1.5789576,0.8536941,1.5124984,1.4648803,1.3582734,1.3866548,1.3591597666666668,6.0,84.03094210703209,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.0325500971058534,79.75103385786294,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,16.981132075471695,46.577673079439855,48.53596129441771,53.51127611716117,9.613947055901342,5,True
