Country,shock_id,shock_label,baseline_year,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,main_variable_set,analysis_sample_role,poset_temporal_design
AUT,2007,Global Financial Crisis,2007,38.530287984111226,80.60463290145269,68.73029725083978,33.275741765017905,22.62007222087811,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
BEL,2007,Global Financial Crisis,2007,16.981132075471695,46.577673079439855,48.53596129441771,53.51127611716117,9.613947055901342,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
CAN,2007,Global Financial Crisis,2007,64.98653033849067,63.66967674388169,50.39007991533172,100.0,100.0,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
CZE,2007,Global Financial Crisis,2007,76.76266137040716,74.61065305588274,29.390389885987307,0.44663183102145,50.55619451737794,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
DEU,2007,Global Financial Crisis,2007,40.61569016881827,31.14775552938096,68.23146618176881,30.98497562887163,28.58329615310983,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
DNK,2007,Global Financial Crisis,2007,74.57795431976167,100.0,71.3466252831917,50.06824898503602,82.73514245549566,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
ESP,2007,Global Financial Crisis,2007,68.42105263157895,36.44810888627143,27.36697161673024,45.36635297439316,12.778389311997874,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
EST,2007,Global Financial Crisis,2007,100.0,84.21672555948174,21.15455708470343,56.54896210478465,50.22277382461701,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
FIN,2007,Global Financial Crisis,2007,68.12313803376365,54.83575448239758,100.0,65.82852372068734,32.23896352738612,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
FRA,2007,Global Financial Crisis,2007,38.82820258192651,39.562884439209526,54.70072352512234,37.76496819897556,33.909460313319514,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
GBR,2007,Global Financial Crisis,2007,11.148376159671502,76.66535793744274,40.26269042451276,63.455884233491766,52.607492487646,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
GRC,2007,Global Financial Crisis,2007,0.0,34.30179295903676,4.768047182198515,26.919380425850665,16.15119135769017,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
HUN,2007,Global Financial Crisis,2007,38.72889771598808,47.25821227588012,17.56243433777991,12.91964427241276,28.464013117361407,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
IRL,2007,Global Financial Crisis,2007,80.1390268123138,81.40295772804606,27.223684982515177,54.36450330306708,7.710476097086999,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
ITA,2007,Global Financial Crisis,2007,1.0923535253227352,64.67739824630283,23.421604726453666,0.0,13.003623416105148,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
LTU,2007,Global Financial Crisis,2007,88.08341608738827,88.56170658290799,12.241503786463827,44.36931062788691,28.2693532576944,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
LUX,2007,Global Financial Crisis,2007,95.8291956305859,90.9828556471666,38.90454762117885,37.37941988145978,0.0,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
LVA,2007,Global Financial Crisis,2007,95.03475670307844,64.97840596780526,4.648322921366291,24.864203549675477,25.27507708313845,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
NLD,2007,Global Financial Crisis,2007,61.37040714995036,89.80499934563537,41.98347549644867,49.78073136937666,36.96642739992762,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
POL,2007,Global Financial Crisis,2007,59.78152929493545,18.49234393404005,3.933981317598306,14.76847175187326,50.03416432123203,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
PRT,2007,Global Financial Crisis,2007,31.67825223435948,39.9947650831043,23.420400790622335,0.3293804995427485,12.917556290688706,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
SVK,2007,Global Financial Crisis,2007,73.68421052631578,0.0,0.0,2.486148416725561,23.24651428877013,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
SVN,2007,Global Financial Crisis,2007,81.1320754716981,81.12812459102211,34.0933110360528,24.99601701506888,34.359418366661046,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
SWE,2007,Global Financial Crisis,2007,64.84607745779543,63.7482004973171,96.69552068284526,51.2964706259738,42.38965728121482,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
USA,2007,Global Financial Crisis,2007,48.44663866194638,83.6932338699123,75.01278612171896,77.13898717309793,47.194218437799535,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
AUS,2019,COVID shock,2019,70.73261383439076,88.08641041162227,36.31892606143274,72.49028470317627,100.0,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
AUT,2019,COVID shock,2019,64.40872560275545,90.65148305084746,69.82192665670692,41.588964679838746,10.303772082724375,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
BEL,2019,COVID shock,2019,49.08151549942594,87.34866828087166,70.00715941122002,57.54448788543463,5.46515980316359,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
BGR,2019,COVID shock,2019,93.62801377726753,91.94158595641646,12.749112297042558,28.496841117990552,20.64124573945459,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
CAN,2019,COVID shock,2019,74.53368272594955,86.11153147699758,35.47368736362677,100.0,54.48646227604982,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
CHE,2019,COVID shock,2019,94.285729158055,91.00332929782084,68.37586413849523,66.20312909766103,15.912588479882489,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
COL,2019,COVID shock,2019,63.43060931281159,66.4497578692494,0.0,18.71941503554236,85.55347454172669,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
CZE,2019,COVID shock,2019,88.17451205510908,100.0,38.93005528739562,19.46745072163916,20.143056681479017,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
DEU,2019,COVID shock,2019,71.46957520091848,95.75514527845036,68.99058338263042,32.62676583229808,11.642461682241064,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
DNK,2019,COVID shock,2019,83.18025258323765,89.7510593220339,63.93351198500172,56.81279284261066,19.33427082234978,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
ESP,2019,COVID shock,2019,49.08151549942594,54.25998789346247,22.76382925945436,52.74810418787415,7.822474809952926,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
EST,2019,COVID shock,2019,100.0,90.9011803874092,31.395058301039747,59.15988352457292,30.70006381249264,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
FIN,2019,COVID shock,2019,67.68082663605051,82.47578692493947,61.68909567901926,69.72411216524709,19.14721488130329,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
FRA,2019,COVID shock,2019,48.79448909299655,75.67720944309927,46.38236732624888,51.146451516585664,17.587817154788816,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
GBR,2019,COVID shock,2019,13.907824411124569,92.97820823244552,57.55191953717922,73.57330806734069,21.460990190868166,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
GRC,2019,COVID shock,2019,0.0,42.12696731234868,23.265835619162388,37.23172433222257,6.474180945360969,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
HRV,2019,COVID shock,2019,64.46613088404133,82.85411622276028,18.685613976028822,21.706485550615252,15.208864633434748,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
HUN,2019,COVID shock,2019,67.85304247990815,94.72230629539952,28.27273965832401,23.56059240981288,11.675201685346895,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
IRL,2019,COVID shock,2019,73.13432835820896,91.01467917675544,20.166212481399363,72.89946653230325,10.028071361933492,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
ITA,2019,COVID shock,2019,28.300803673937995,70.22926755447942,28.046364181677674,9.016937042213849,8.024234487142774,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
KOR,2019,COVID shock,2019,83.5272770322768,93.34897094430993,100.0,79.20227153757206,6.280888671076726,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
LTU,2019,COVID shock,2019,84.73019517795638,83.97018765133171,16.453232398855995,63.28073788427946,8.94617543152759,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
LUX,2019,COVID shock,2019,92.3650975889782,86.55417675544793,21.279666077782107,82.93168499028502,0.0,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
LVA,2019,COVID shock,2019,83.40987370838117,83.77345641646488,8.367212675345845,46.06342513959475,17.966545280752904,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
NLD,2019,COVID shock,2019,77.7841561423651,90.88983050847456,44.98890555612938,57.877273620554725,9.192714183363854,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
NZL,2019,COVID shock,2019,86.35401056117124,92.06643462469734,28.25954467037914,53.832715868724144,22.840569260034176,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
POL,2019,COVID shock,2019,79.21928817451206,95.37681598062952,24.41487904805224,37.519264700462045,18.712590897678595,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
PRT,2019,COVID shock,2019,38.51894374282434,82.64981840193705,26.544367548649976,24.52017759818624,7.398281928082919,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
ROU,2019,COVID shock,2019,84.95981630309988,92.82309322033898,3.857956731537156,6.134073406177688,23.2781103467362,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
SVK,2019,COVID shock,2019,77.61194029850746,85.85805084745763,12.355061647969832,23.108830516661,11.77511808391389,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
SVN,2019,COVID shock,2019,67.27898966704937,90.83308111380146,42.932603292166014,40.45413332556315,16.66366192322806,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
SWE,2019,COVID shock,2019,84.50057405281287,82.01044188861985,76.31854943926389,65.18051809903986,22.78898045599404,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
TUR,2019,COVID shock,2019,85.95862545518266,55.67493946731234,24.05710619748545,14.235789751453732,10.9739338024312,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
USA,2019,COVID shock,2019,47.19874493174339,93.74243341404356,69.79533248807502,75.29026170293265,32.46930200745625,baseline_5_variables,main_poset_complete_case_sample,single_pre_shock_cross_section
