Country,Year,Value
AUS,2002,56.451117540579
AUS,2003,58.0215846031521
AUS,2004,58.2209049756107
AUS,2005,58.6695438287431
AUS,2006,59.1252169372207
AUS,2007,59.3923292763002
AUS,2008,59.9113673017542
AUS,2009,61.2341993655344
AUS,2010,61.0268314048541
AUS,2011,62.6219832084402
AUS,2012,63.8491837950429
AUS,2013,65.1315130763989
AUS,2014,65.9820941224408
AUS,2015,66.6276420106326
AUS,2016,67.1107700210519
AUS,2017,67.3316449827884
AUS,2018,67.3922145978436
AUS,2019,68.4392838733405
AUS,2020,69.7132000303643
AUS,2021,70.7547998324159
AUS,2022,68.1022481020544
AUS,2023,68.165761842534
AUT,2002,69.6851215184024
AUT,2003,70.3462559248839
AUT,2004,71.4937550137757
AUT,2005,73.1975453469749
AUT,2006,75.0015413270462
AUT,2007,76.8400778001229
AUT,2008,76.7530505808636
AUT,2009,76.4593648159336
AUT,2010,77.4342800385513
AUT,2011,77.9865395807036
AUT,2012,78.5899306990941
AUT,2013,78.4572858142604
AUT,2014,78.3634440744509
AUT,2015,79.7046992996006
AUT,2016,79.697427942038
AUT,2017,80.6164664051292
AUT,2018,80.8468093907365
AUT,2019,80.7901806860852
AUT,2020,83.2201184302116
AUT,2021,82.9907512281334
AUT,2022,85.0801438104704
AUT,2023,83.3832357040562
AUT,2024,83.4260174235068
BEL,2002,78.2341747032393
BEL,2003,78.8936579045809
BEL,2004,81.4428473508001
BEL,2005,82.6831584844655
BEL,2006,83.1122661291929
BEL,2007,84.6486740483391
BEL,2008,84.1287406042398
BEL,2009,83.6028604940783
BEL,2010,84.5168207004235
BEL,2011,84.2198874944623
BEL,2012,84.3129963528319
BEL,2013,84.8198566036173
BEL,2014,86.1998927438204
BEL,2015,87.062315617981
BEL,2016,87.0072091004936
BEL,2017,86.871715662842
BEL,2018,87.049837262016
BEL,2019,87.7946961242099
BEL,2020,91.0410133985688
BEL,2021,89.4485591612436
BEL,2022,89.2520576983279
BEL,2023,89.4361262679845
BEL,2024,90.0581462047296
BGR,2002,20.3301917077021
BGR,2003,20.9168690970563
BGR,2004,21.4130283282116
BGR,2005,22.3894002483872
BGR,2006,23.2028536997674
BGR,2007,23.9790908206293
BGR,2008,24.2888223821686
BGR,2009,24.5715883610913
BGR,2010,25.9834371942373
BGR,2011,27.1442633223429
BGR,2012,28.034236418333
BGR,2013,27.9940364934973
BGR,2014,28.1717325540205
BGR,2015,29.0214524696042
BGR,2016,29.7669289554127
BGR,2017,30.051611745007
BGR,2018,30.8257484978244
BGR,2019,32.4384046426946
BGR,2020,32.7213797507618
BGR,2021,34.9914940531146
BGR,2022,36.0619840757478
BGR,2023,35.4677949729954
BGR,2024,36.8345584738057
CAN,2002,51.1504353621196
CAN,2003,51.2618053385428
CAN,2004,51.6913809440829
CAN,2005,52.8386988620925
CAN,2006,53.5059377141199
CAN,2007,53.5208456368105
CAN,2008,53.397530703595
CAN,2009,53.5791760538777
CAN,2010,53.8968500112124
CAN,2011,54.8291323136036
CAN,2012,54.7793939036119
CAN,2013,55.5341672124657
CAN,2014,57.1141057505269
CAN,2015,56.942548241607
CAN,2016,57.2555959951299
CAN,2017,58.0639955437371
CAN,2018,58.2228848546779
CAN,2019,58.4071909395756
CAN,2020,62.9137678298467
CAN,2021,60.3763781819842
CAN,2022,59.9536223235201
CAN,2023,58.861747516413
CAN,2024,58.5791510230702
CHE,2002,68.2138179543226
CHE,2003,67.8897662305109
CHE,2004,68.2841690126466
CHE,2005,69.8576155224638
CHE,2006,71.6083666668635
CHE,2007,72.9906252698268
CHE,2008,73.7015403622876
CHE,2009,72.0492657958401
CHE,2010,75.9949124337328
CHE,2011,75.562535195877
CHE,2012,75.8563162566395
CHE,2013,77.2590106793635
CHE,2014,78.0189370788107
CHE,2015,77.5034890979767
CHE,2016,78.0024501813063
CHE,2017,79.2477519890446
CHE,2018,81.0821390408905
CHE,2019,81.532669221585
CHE,2020,82.8798878631982
CHE,2021,85.0241188301183
CHE,2022,86.1071615224608
CHE,2023,85.1926863711241
CHE,2024,86.1819330427369
CHL,2002,22.2237856051216
CHL,2003,22.5472233885917
CHL,2004,23.4448187000174
CHL,2005,24.7443629557117
CHL,2006,25.7212518600635
CHL,2007,26.7655397390113
CHL,2008,27.3992147871773
CHL,2009,27.5699474951599
CHL,2010,26.2830663354996
CHL,2011,26.8512735539432
CHL,2012,28.1904062312639
CHL,2013,28.6072985742314
CHL,2014,29.1024106078335
CHL,2015,29.2416888233037
CHL,2016,29.6480460120872
CHL,2017,29.5668255588217
CHL,2018,30.1838941046526
CHL,2019,30.0463471785988
CHL,2020,34.0422206469781
CHL,2021,34.339237578135
CHL,2022,32.1704483907669
CHL,2023,31.7782800207876
COL,2002,11.7448421499918
COL,2003,11.7675888197585
COL,2004,12.4508441821041
COL,2005,12.6736372214658
COL,2006,13.4891062053789
COL,2007,14.0548099933746
COL,2008,14.0710429902643
COL,2009,13.7035508241171
COL,2010,13.7671648597739
COL,2011,14.2403583405245
COL,2012,14.4043008955106
COL,2013,14.9289398877448
COL,2014,15.3232829479372
COL,2015,15.4680942233427
COL,2016,15.7613275748437
COL,2017,15.9316718317433
COL,2018,16.165067739838
COL,2019,16.6736545604948
COL,2020,19.9319541361203
COL,2021,18.6637219113769
COL,2022,18.5840712808274
COL,2023,18.3335989479836
COL,2024,18.7288212937425
CRI,2002,16.0546034341917
CRI,2003,16.2808591079434
CRI,2004,16.6885389369657
CRI,2005,16.3981451493533
CRI,2006,17.0450030770111
CRI,2007,17.2769464706741
CRI,2008,17.82123733162
CRI,2009,18.3263950377354
CRI,2010,20.4673639154978
CRI,2011,21.4499388302775
CRI,2012,21.1509134656114
CRI,2013,22.2574659276679
CRI,2014,22.823358390264
CRI,2015,23.557258184406
CRI,2016,24.5901451176519
CRI,2017,25.1696380328806
CRI,2018,25.6352438352203
CRI,2019,26.3433205308806
CRI,2020,30.35580123461
CRI,2021,28.7568280336958
CRI,2022,27.4307440551618
CRI,2023,29.3119425892157
CZE,2002,35.4499422979012
CZE,2003,37.1829747148092
CZE,2004,38.7088461450626
CZE,2005,40.6368926852906
CZE,2006,43.0764071567815
CZE,2007,44.8732072090013
CZE,2008,44.6959382920229
CZE,2009,43.5761520357214
CZE,2010,44.7374497086952
CZE,2011,45.6080774101195
CZE,2012,45.7910675728372
CZE,2013,45.945454840297
CZE,2014,46.4492426353503
CZE,2015,48.6890166758697
CZE,2016,48.7809088359651
CZE,2017,50.5607595986224
CZE,2018,51.1720604082316
CZE,2019,53.0856036804544
CZE,2020,54.85641381913
CZE,2021,54.9053845476751
CZE,2022,54.0818816190185
CZE,2023,53.1614338516969
CZE,2024,52.8232361818237
DEU,2002,70.5199783158404
DEU,2003,71.1702034975086
DEU,2004,71.7913477777074
DEU,2005,73.0604665846134
DEU,2006,74.264903359263
DEU,2007,75.0604057866086
DEU,2008,75.046382983403
DEU,2009,72.8139713005139
DEU,2010,74.4869873782033
DEU,2011,76.3133338389968
DEU,2012,76.9148624524882
DEU,2013,77.2051385160038
DEU,2014,77.9440898816713
DEU,2015,78.4437700379091
DEU,2016,79.5624323774726
DEU,2017,81.0511996311229
DEU,2018,81.3208280265056
DEU,2019,81.8901407115718
DEU,2020,82.6259542577938
DEU,2021,83.7521803804331
DEU,2022,83.6709598675302
DEU,2023,83.1779919181735
DEU,2024,83.1580873313343
DNK,2002,73.4170472237912
DNK,2003,74.6668614481798
DNK,2004,77.1311324102769
DNK,2005,78.2044964598703
DNK,2006,79.1627638312253
DNK,2007,79.3694854773773
DNK,2008,78.2136508726997
DNK,2009,77.4412967630343
DNK,2010,80.2333180443548
DNK,2011,80.556196957966
DNK,2012,81.8914876599634
DNK,2013,82.85525134286
DNK,2014,84.0867118592429
DNK,2015,85.0187283469516
DNK,2016,85.9078362457792
DNK,2017,87.7142347138113
DNK,2018,89.468069493349
DNK,2019,90.2642407043586
DNK,2020,91.7783830065031
DNK,2021,92.2587678634909
DNK,2022,89.2765989314581
DNK,2023,89.5587079956288
DNK,2024,92.2470820586036
EA20,2002,62.71853335444
EA20,2003,63.080559361658
EA20,2004,63.8536673521098
EA20,2005,64.5008451137642
EA20,2006,65.4544342120332
EA20,2007,66.0326987565643
EA20,2008,65.8814506345616
EA20,2009,65.1722614677939
EA20,2010,66.7702805740292
EA20,2011,67.8467268073455
EA20,2012,68.2562948738329
EA20,2013,68.922613377687
EA20,2014,69.4527802521443
EA20,2015,70.2925782165076
EA20,2016,70.4326335506093
EA20,2017,71.4791784201096
EA20,2018,71.5155817279308
EA20,2019,71.8946351845631
EA20,2020,73.4297972326397
EA20,2021,73.556076043256
EA20,2022,73.4934102131376
EA20,2023,72.8504125624472
EA20,2024,72.7538321229498
ESP,2002,52.4110525406263
ESP,2003,52.5644564241351
ESP,2004,52.7344631443557
ESP,2005,52.8983615927123
ESP,2006,53.1905310764949
ESP,2007,53.7219167698663
ESP,2008,53.7708641153144
ESP,2009,55.0321999467339
ESP,2010,56.3627458531604
ESP,2011,57.2137506616043
ESP,2012,58.3857564468901
ESP,2013,59.2337315407823
ESP,2014,59.5157616475133
ESP,2015,60.1308381598439
ESP,2016,60.3428623901554
ESP,2017,60.7889607067206
ESP,2018,60.7456462198214
ESP,2019,60.88589554129
ESP,2020,60.913473864257
ESP,2021,60.6022886491663
ESP,2022,61.4246012128835
ESP,2023,61.8019539764233
ESP,2024,62.5363468061526
EST,2002,29.1912478297151
EST,2003,30.6625968330346
EST,2004,32.7446357382239
EST,2005,34.6837744569582
EST,2006,36.4312306925496
EST,2007,39.1653791153899
EST,2008,37.8144350361081
EST,2009,38.6104996496722
EST,2010,40.6684459645236
EST,2011,40.1266760364998
EST,2012,41.654440135286
EST,2013,42.3093467641576
EST,2014,43.5326880582614
EST,2015,43.2763773878414
EST,2016,44.400456825263
EST,2017,45.6374701427476
EST,2018,48.5684335453578
EST,2019,50.1238018913469
EST,2020,51.7788325482853
EST,2021,55.8080589657408
EST,2022,54.1811230009519
EST,2023,50.7823546654973
EST,2024,50.3816040464248
EU27_2020,2002,55.908026732259
EU27_2020,2003,56.4681133981114
EU27_2020,2004,57.3836031172
EU27_2020,2005,58.0803340296
EU27_2020,2006,59.0771763316994
EU27_2020,2007,59.6156387360287
EU27_2020,2008,59.4560526601273
EU27_2020,2009,58.7914260078643
EU27_2020,2010,60.4743852158101
EU27_2020,2011,61.6184717555358
EU27_2020,2012,61.9398551836094
EU27_2020,2013,62.4880449121409
EU27_2020,2014,62.9406089093185
EU27_2020,2015,63.847642758089
EU27_2020,2016,64.0759590099349
EU27_2020,2017,65.1882419125307
EU27_2020,2018,65.6622580370044
EU27_2020,2019,66.1450337379735
EU27_2020,2020,67.0322366991931
EU27_2020,2021,67.3871257038032
EU27_2020,2022,67.6522087625855
EU27_2020,2023,67.2644144209665
EU27_2020,2024,67.5001978605865
FIN,2002,63.3023603151766
FIN,2003,64.6539458719465
FIN,2004,66.8110344805072
FIN,2005,68.0795805395334
FIN,2006,69.717719316302
FIN,2007,72.0064017905766
FIN,2008,71.1590941838436
FIN,2009,67.9772259621425
FIN,2010,70.4445497531765
FIN,2011,71.4018288881132
FIN,2012,70.4044339168739
FIN,2013,70.6273694463238
FIN,2014,70.8522068602494
FIN,2015,71.0007771256334
FIN,2016,72.4693813759575
FIN,2017,74.6930351493888
FIN,2018,73.7590794146724
FIN,2019,74.1339124753356
FIN,2020,74.39569181774
FIN,2021,74.7604486322434
FIN,2022,73.4732294969573
FIN,2023,72.8517170214356
FIN,2024,73.3685285288734
FRA,2002,74.1057760017225
FRA,2003,74.6150944110016
FRA,2004,75.4454120153666
FRA,2005,76.2765283653906
FRA,2006,78.2836826031069
FRA,2007,77.9775332888031
FRA,2008,77.5404286628739
FRA,2009,76.8026772933095
FRA,2010,77.8534697832554
FRA,2011,78.8479815938842
FRA,2012,79.0105745450878
FRA,2013,80.2699820853608
FRA,2014,81.0990179620127
FRA,2015,81.7501322196672
FRA,2016,81.6952728138634
FRA,2017,83.2731307157212
FRA,2018,83.3787228533362
FRA,2019,83.8136209431661
FRA,2020,83.9594026254361
FRA,2021,82.8181411079041
FRA,2022,81.5432453442698
FRA,2023,81.5401457564495
FRA,2024,81.5600371929794
GBR,2002,64.4064867221038
GBR,2003,66.1726074400639
GBR,2004,67.0615626675914
