Country,Year,Value
ARG,2016,7.561
ARG,2017,7.214
ARG,2018,9.132
ARG,2019,8.9
ARG,2020,10.961
ARG,2021,6.97
ARG,2022,6.284
ARG,2023,5.73
AUS,2002,6.375
AUS,2003,5.932
AUS,2004,5.399
AUS,2005,5.036
AUS,2006,4.785
AUS,2007,4.381
AUS,2008,4.241
AUS,2009,5.564
AUS,2010,5.213
AUS,2011,5.082
AUS,2012,5.224
AUS,2013,5.662
AUS,2014,6.077
AUS,2015,6.054
AUS,2016,5.713
AUS,2017,5.603
AUS,2018,5.306
AUS,2019,5.163
AUS,2020,6.436
AUS,2021,5.139
AUS,2022,3.72
AUS,2023,3.685
AUS,2024,4.012
AUS,2025,4.196
AUT,2002,3.985
AUT,2003,4.279
AUT,2004,5.487
AUT,2005,5.627
AUT,2006,5.243
AUT,2007,4.858
AUT,2008,4.128
AUT,2009,5.299
AUT,2010,4.818
AUT,2011,4.561
AUT,2012,4.863
AUT,2013,5.332
AUT,2014,5.618
AUT,2015,5.72
AUT,2016,6.01
AUT,2017,5.497
AUT,2018,4.846
AUT,2019,4.485
AUT,2020,5.36
AUT,2021,6.18
AUT,2022,4.741
AUT,2023,5.095
AUT,2024,5.16
AUT,2025,5.65
BEL,2002,7.514
BEL,2003,8.174
BEL,2004,8.392
BEL,2005,8.44
BEL,2006,8.246
BEL,2007,7.458
BEL,2008,6.976
BEL,2009,7.906
BEL,2010,8.291
BEL,2011,7.137
BEL,2012,7.54
BEL,2013,8.423
BEL,2014,8.521
BEL,2015,8.48
BEL,2016,7.828
BEL,2017,7.084
BEL,2018,5.947
BEL,2019,5.358
BEL,2020,5.553
BEL,2021,6.262
BEL,2022,5.556
BEL,2023,5.526
BEL,2024,5.699
BEL,2025,6.182
BGR,2002,18.178
BGR,2003,13.678
BGR,2004,12.04
BGR,2005,10.083
BGR,2006,8.951
BGR,2007,6.878
BGR,2008,5.609
BGR,2009,6.814
BGR,2010,10.277
BGR,2011,11.257
BGR,2012,12.268
BGR,2013,12.939
BGR,2014,11.421
BGR,2015,9.141
BGR,2016,7.572
BGR,2017,6.161
BGR,2018,5.209
BGR,2019,4.144
BGR,2020,5.033
BGR,2021,5.163
BGR,2022,4.145
BGR,2023,4.317
BGR,2024,4.16
BGR,2025,3.515
BRA,2002,9.117
BRA,2003,9.731
BRA,2004,8.878
BRA,2005,9.286
BRA,2006,8.378
BRA,2007,8.076
BRA,2008,7.075
BRA,2009,8.257
BRA,2011,6.688
BRA,2012,7.266
BRA,2013,7.174
BRA,2014,6.877
BRA,2015,8.729
BRA,2016,11.611
BRA,2017,12.583
BRA,2018,12.107
BRA,2019,11.743
BRA,2020,13.728
BRA,2021,13.977
BRA,2022,9.542
BRA,2023,7.712
BRA,2024,6.61
CAN,2002,7.656
CAN,2003,7.563
CAN,2004,7.176
CAN,2005,6.751
CAN,2006,6.473
CAN,2007,6.152
CAN,2008,6.271
CAN,2009,8.451
CAN,2010,8.169
CAN,2011,7.643
CAN,2012,7.42
CAN,2013,7.167
CAN,2014,7.037
CAN,2015,6.982
CAN,2016,7.06
CAN,2017,6.438
CAN,2018,5.834
CAN,2019,5.685
CAN,2020,9.651
CAN,2021,7.511
CAN,2022,5.268
CAN,2023,5.384
CAN,2024,6.344
CAN,2025,6.814
CHE,2002,2.924
CHE,2003,4.117
CHE,2004,4.316
CHE,2005,4.437
CHE,2006,3.995
CHE,2007,3.641
CHE,2008,3.35
CHE,2009,4.107
CHE,2010,4.806
CHE,2011,4.407
CHE,2012,4.489
CHE,2013,4.745
CHE,2014,4.824
CHE,2015,4.798
CHE,2016,4.916
CHE,2017,4.795
CHE,2018,4.711
CHE,2019,4.392
CHE,2020,4.814
CHE,2021,5.011
CHE,2022,4.12
CHE,2023,4.041
CHE,2024,4.341
CHE,2025,4.838
CHL,2002,10.166
CHL,2003,9.76
CHL,2004,10.151
CHL,2005,9.336
CHL,2006,9.023
CHL,2007,8.434
CHL,2008,9.278
CHL,2009,11.284
CHL,2010,8.282
CHL,2011,7.308
CHL,2012,6.595
CHL,2013,6.088
CHL,2014,6.497
CHL,2015,6.331
CHL,2016,6.689
CHL,2017,6.963
CHL,2018,7.376
CHL,2019,7.219
CHL,2020,10.52
CHL,2021,8.809
CHL,2022,7.882
CHL,2023,8.68
CHL,2024,8.471
CHL,2025,8.554
CHN,2010,2.876
COL,2002,15.633
COL,2003,14.189
COL,2004,13.717
COL,2005,11.87
COL,2007,11.281
COL,2008,11.387
COL,2009,12.2
COL,2010,11.985
COL,2011,11.051
COL,2012,10.626
COL,2013,9.901
COL,2014,9.397
COL,2015,9.19
COL,2016,9.539
COL,2017,9.669
COL,2018,9.961
COL,2019,10.882
COL,2020,16.528
COL,2021,13.794
COL,2022,11.209
COL,2023,10.157
COL,2024,10.157
COL,2025,8.893
CRI,2002,6.334
CRI,2003,6.558
CRI,2004,6.391
CRI,2005,6.571
CRI,2006,5.74
CRI,2007,4.49
CRI,2008,4.781
CRI,2009,7.707
CRI,2010,8.913
CRI,2011,10.303
CRI,2012,10.167
CRI,2013,9.376
CRI,2014,9.616
CRI,2015,9.608
CRI,2016,9.533
CRI,2017,9.067
CRI,2018,10.277
CRI,2019,11.754
CRI,2020,19.459
CRI,2021,16.423
CRI,2022,12.216
CRI,2023,8.911
CRI,2024,7.439
CRI,2025,6.737
CYP,2002,3.299
CYP,2003,4.135
CYP,2004,4.704
CYP,2005,5.304
CYP,2006,4.543
CYP,2007,3.922
CYP,2008,3.655
CYP,2009,5.341
CYP,2010,6.244
CYP,2011,7.835
CYP,2012,11.776
CYP,2013,15.855
CYP,2014,16.069
CYP,2015,14.894
CYP,2016,12.936
CYP,2017,11.031
CYP,2018,8.35
CYP,2019,7.108
CYP,2020,7.544
CYP,2021,7.125
CYP,2022,6.217
CYP,2023,5.798
CYP,2024,4.84
CYP,2025,4.337
CZE,2002,7.289
CZE,2003,7.778
CZE,2004,8.294
CZE,2005,7.926
CZE,2006,7.138
CZE,2007,5.316
CZE,2008,4.396
CZE,2009,6.66
CZE,2010,7.28
CZE,2011,6.724
CZE,2012,6.978
CZE,2013,6.951
CZE,2014,6.106
CZE,2015,5.046
CZE,2016,3.95
CZE,2017,2.89
CZE,2018,2.244
CZE,2019,2.014
CZE,2020,2.549
CZE,2021,2.803
CZE,2022,2.319
CZE,2023,2.577
CZE,2024,2.601
CZE,2025,2.789
DEU,2002,8.567
DEU,2003,9.267
DEU,2004,10.289
DEU,2005,11.148
DEU,2006,10.293
DEU,2007,8.637
DEU,2008,7.511
DEU,2009,7.726
DEU,2010,7.058
DEU,2011,5.819
DEU,2012,5.374
DEU,2013,5.231
DEU,2014,4.976
DEU,2015,4.624
DEU,2016,4.122
DEU,2017,3.745
DEU,2018,3.383
DEU,2019,3.136
DEU,2020,3.941
DEU,2021,3.58
DEU,2022,3.13
DEU,2023,3.063
DEU,2024,3.372
DEU,2025,3.824
DNK,2002,4.363
DNK,2003,5.306
DNK,2004,5.354
DNK,2005,4.58
DNK,2006,3.488
DNK,2007,3.376
DNK,2008,2.906
DNK,2009,6.294
DNK,2010,7.595
DNK,2011,7.67
DNK,2012,7.667
DNK,2013,7.238
DNK,2014,6.823
DNK,2015,6.079
DNK,2016,5.755
DNK,2017,5.708
DNK,2018,4.827
DNK,2019,4.723
DNK,2020,5.501
DNK,2021,4.765
DNK,2022,3.889
DNK,2023,4.631
DNK,2024,5.934
DNK,2025,6.057
ESP,2002,11.45
ESP,2003,11.483
ESP,2004,10.962
ESP,2005,9.146
ESP,2006,8.452
ESP,2007,8.232
ESP,2008,11.255
ESP,2009,17.856
ESP,2010,19.86
ESP,2011,21.39
ESP,2012,24.787
ESP,2013,26.093
ESP,2014,24.441
ESP,2015,22.057
ESP,2016,19.634
ESP,2017,17.223
ESP,2018,15.254
ESP,2019,14.104
ESP,2020,15.531
ESP,2021,14.914
ESP,2022,13.032
ESP,2023,12.178
ESP,2024,11.343
ESP,2025,10.504
EST,2002,11.192
EST,2003,10.307
EST,2004,10.105
EST,2005,8.01
EST,2006,5.903
EST,2007,4.582
EST,2008,5.438
EST,2009,13.496
EST,2010,16.642
EST,2011,12.27
EST,2012,9.954
EST,2013,8.583
EST,2014,7.307
EST,2015,6.148
EST,2016,6.72
EST,2017,5.729
EST,2018,5.336
EST,2019,4.419
EST,2020,6.762
EST,2021,6.164
EST,2022,5.555
EST,2023,6.361
EST,2024,7.487
EST,2025,7.423
EU19OECD,2002,8.549
EU19OECD,2003,8.926
EU19OECD,2004,9.204
EU19OECD,2005,9.097
EU19OECD,2006,8.399
EU19OECD,2007,7.487
EU19OECD,2008,7.551
EU19OECD,2009,9.607
EU19OECD,2010,10.168
EU19OECD,2011,10.209
EU19OECD,2012,11.385
EU19OECD,2013,12.067
EU19OECD,2014,11.658
EU19OECD,2015,10.901
EU19OECD,2016,10.065
EU19OECD,2017,9.099
EU19OECD,2018,8.215
EU19OECD,2019,7.58
EU19OECD,2020,7.926
EU19OECD,2021,7.738
EU19OECD,2022,6.751
EU19OECD,2023,6.541
EU19OECD,2024,6.346
EU19OECD,2025,6.371
EU22OECD,2002,9.388
EU22OECD,2003,9.69
EU22OECD,2004,9.892
EU22OECD,2005,9.717
EU22OECD,2006,8.729
EU22OECD,2007,7.525
EU22OECD,2008,7.339
EU22OECD,2009,9.329
EU22OECD,2010,9.99
EU22OECD,2011,9.981
EU22OECD,2012,10.994
EU22OECD,2013,11.543
EU22OECD,2014,11.0
EU22OECD,2015,10.172
EU22OECD,2016,9.289
EU22OECD,2017,8.328
EU22OECD,2018,7.471
EU22OECD,2019,6.892
EU22OECD,2020,7.249
EU22OECD,2021,7.119
EU22OECD,2022,6.201
EU22OECD,2023,6.067
EU22OECD,2024,5.966
EU22OECD,2025,6.029
EU27,2002,9.569
EU27,2003,9.692
EU27,2004,9.894
EU27,2005,9.642
EU27,2006,8.694
EU27,2007,7.475
EU27,2008,7.239
EU27,2009,9.157
EU27,2010,9.863
EU27,2011,9.901
EU27,2012,10.871
EU27,2013,11.424
EU27,2014,10.882
EU27,2015,10.067
EU27,2016,9.153
EU27,2017,8.172
EU27,2018,7.301
EU27,2019,6.72
EU27,2020,7.122
EU27,2021,7.031
EU27,2022,6.15
EU27,2023,6.021
EU27,2024,5.906
EU27,2025,5.98
FIN,2002,8.98
FIN,2003,8.966
FIN,2004,8.785
FIN,2005,8.371
FIN,2006,7.638
FIN,2007,6.827
FIN,2008,6.344
FIN,2009,8.222
FIN,2010,8.395
FIN,2011,7.732
FIN,2012,7.61
FIN,2013,8.12
FIN,2014,8.531
FIN,2015,9.265
FIN,2016,8.757
FIN,2017,8.582
FIN,2018,7.309
FIN,2019,6.646
FIN,2020,7.698
FIN,2021,7.604
FIN,2022,6.715
FIN,2023,7.143
FIN,2024,8.322
FIN,2025,9.605
FRA,2002,7.919
FRA,2003,8.527
FRA,2004,8.867
FRA,2005,8.867
FRA,2006,8.816
FRA,2007,7.994
FRA,2008,7.419
FRA,2009,9.105
FRA,2010,9.25
FRA,2011,9.198
FRA,2012,9.77
FRA,2013,10.295
FRA,2014,10.28
FRA,2015,10.351
FRA,2016,10.052
FRA,2017,9.401
FRA,2018,9.056
FRA,2019,8.443
FRA,2020,8.009
FRA,2021,7.86
FRA,2022,7.307
FRA,2023,7.335
FRA,2024,7.387
FRA,2025,7.66
G7,2002,6.435
G7,2003,6.572
G7,2004,6.358
G7,2005,6.197
G7,2006,5.806
G7,2007,5.429
G7,2008,5.861
G7,2009,8.023
G7,2010,8.143
G7,2011,7.655
G7,2012,7.364
G7,2013,7.101
G7,2014,6.404
G7,2015,5.804
G7,2016,5.461
G7,2017,4.985
G7,2018,4.55
G7,2019,4.278
G7,2020,6.485
G7,2021,5.202
G7,2022,4.054
G7,2023,4.039
G7,2024,4.218
G7,2025,4.46
GBR,2002,5.018
GBR,2003,4.802
GBR,2004,4.771
GBR,2005,4.902
GBR,2006,5.353
GBR,2007,5.159
GBR,2008,5.676
GBR,2009,7.638
GBR,2010,7.631
GBR,2011,8.006
GBR,2012,7.87
GBR,2013,7.508
GBR,2014,6.235
GBR,2015,5.252
GBR,2016,4.851
GBR,2017,4.374
GBR,2018,4.152
GBR,2019,3.87
GBR,2020,4.609
GBR,2021,4.42
GBR,2022,3.541
GBR,2023,3.669
GBR,2024,3.758
GBR,2025,4.404
GRC,2002,10.353
GRC,2003,9.792
GRC,2004,10.59
GRC,2005,9.994
GRC,2006,9.008
GRC,2007,8.396
GRC,2008,7.76
GRC,2009,9.614
GRC,2010,12.712
GRC,2011,17.863
GRC,2012,24.438
GRC,2013,27.466
GRC,2014,26.491
GRC,2015,24.896
GRC,2016,23.538
GRC,2017,21.486
GRC,2018,19.29
GRC,2019,17.311
GRC,2020,16.304
GRC,2021,14.713
GRC,2022,12.437
GRC,2023,11.064
GRC,2024,10.087
GRC,2025,8.86
HRV,2002,14.708
HRV,2003,14.105
HRV,2004,13.644
HRV,2005,12.598
HRV,2006,11.13
HRV,2007,9.909
HRV,2008,8.53
HRV,2009,9.036
HRV,2010,11.639
HRV,2011,13.493
HRV,2012,16.043
HRV,2013,17.228
HRV,2014,17.204
HRV,2015,16.146
HRV,2016,13.011
HRV,2017,11.073
HRV,2018,8.317
HRV,2019,6.546
HRV,2020,7.384
HRV,2021,7.478
HRV,2022,6.803
HRV,2023,6.116
HRV,2024,5.026
HRV,2025,4.847
HUN,2002,5.811
HUN,2003,5.868
HUN,2004,6.089
HUN,2005,7.228
HUN,2006,7.499
HUN,2007,7.406
HUN,2008,7.818
HUN,2009,9.679
HUN,2010,10.799
HUN,2011,10.653
HUN,2012,10.667
HUN,2013,9.848
HUN,2014,7.508
HUN,2015,6.625
HUN,2016,4.97
HUN,2017,4.04
HUN,2018,3.665
HUN,2019,3.409
HUN,2020,4.246
HUN,2021,4.026
HUN,2022,3.591
HUN,2023,4.106
HUN,2024,4.478
HUN,2025,4.43
IDN,2002,9.061
IDN,2003,9.673
IDN,2005,10.75
IDN,2006,10.362
IDN,2007,9.428
IDN,2008,8.424
IDN,2009,8.007
IDN,2010,7.273
IDN,2011,7.213
IDN,2012,6.249
IDN,2013,6.021
IDN,2014,5.822
IDN,2015,5.99
IDN,2016,5.553
IDN,2017,5.41
IDN,2018,5.344
IDN,2019,5.275
IND,2005,4.397
IND,2006,4.377
IND,2008,4.118
IND,2010,3.539
IND,2012,3.621
IND,2018,8.736
IND,2019,8.702
IND,2020,8.768
IND,2021,7.263
IND,2022,5.655
IND,2023,4.982
IND,2024,4.883
IND,2025,5.258
IRL,2002,4.759
IRL,2003,4.907
IRL,2004,4.802
IRL,2005,5.008
IRL,2006,4.892
IRL,2007,4.797
IRL,2008,6.602
IRL,2009,12.555
IRL,2010,14.447
IRL,2011,15.332
IRL,2012,15.416
IRL,2013,13.708
IRL,2014,11.829
IRL,2015,9.866
IRL,2016,8.285
IRL,2017,6.578
IRL,2018,5.43
IRL,2019,4.389
IRL,2020,4.825
IRL,2021,5.363
IRL,2022,3.342
IRL,2023,3.182
IRL,2024,3.11
IRL,2025,3.616
ISL,2002,3.251
ISL,2003,3.522
ISL,2004,3.401
ISL,2005,2.866
ISL,2006,3.219
ISL,2007,2.482
ISL,2008,3.329
ISL,2009,7.943
ISL,2010,8.275
ISL,2011,7.645
ISL,2012,6.551
ISL,2013,5.788
ISL,2014,5.352
ISL,2015,4.454
ISL,2016,3.312
ISL,2017,3.226
ISL,2018,3.033
ISL,2019,3.883
ISL,2020,6.376
ISL,2021,5.937
ISL,2022,3.732
ISL,2023,3.363
ISL,2024,3.512
ISL,2025,4.209
ISR,2002,12.785
ISR,2003,13.386
ISR,2004,12.913
ISR,2005,11.262
ISR,2006,10.649
ISR,2007,9.343
ISR,2008,7.687
ISR,2009,9.482
ISR,2010,8.457
ISR,2011,7.131
ISR,2012,6.855
ISR,2013,6.206
ISR,2014,5.887
ISR,2015,5.247
ISR,2016,4.795
ISR,2017,4.212
ISR,2018,3.995
ISR,2019,3.8
ISR,2020,4.326
ISR,2021,4.953
ISR,2022,3.756
ISR,2023,3.42
ISR,2024,2.969
ISR,2025,2.94
ITA,2002,8.985
ITA,2003,8.651
ITA,2004,7.998
ITA,2005,7.73
ITA,2006,6.777
ITA,2007,6.075
ITA,2008,6.723
ITA,2009,7.748
ITA,2010,8.362
ITA,2011,8.359
ITA,2012,10.654
ITA,2013,12.148
ITA,2014,12.683
ITA,2015,11.896
ITA,2016,11.688
ITA,2017,11.211
ITA,2018,10.538
ITA,2019,9.883
ITA,2020,9.192
ITA,2021,9.497
ITA,2022,8.069
ITA,2023,7.626
ITA,2024,6.499
ITA,2025,6.132
JPN,2002,5.38
JPN,2003,5.224
JPN,2004,4.683
JPN,2005,4.407
JPN,2006,4.101
JPN,2007,3.882
JPN,2008,3.985
JPN,2009,5.035
JPN,2010,5.024
JPN,2011,4.521
JPN,2012,4.348
JPN,2013,4.058
JPN,2014,3.612
JPN,2015,3.349
JPN,2016,3.128
JPN,2017,2.813
JPN,2018,2.445
JPN,2019,2.354
JPN,2020,2.781
JPN,2021,2.828
JPN,2022,2.579
JPN,2023,2.599
JPN,2024,2.515
