shock_id,baseline_year,epsilon_margin,countries,relations,hasse_edges,reciprocal_pairs,cycle_detected,is_valid_partial_order,frontier_countries,frontier_country_list,total_country_pairs,comparable_country_pairs,incomparable_country_pairs,comparability_ratio,incomparability_ratio
2007,2007,0.0,25,58,49,0,False,True,12,"CAN, CZE, DNK, EST, FIN, GBR, IRL, LTU, LUX, SVN, SWE, USA",300,58,242,0.19333333333333333,0.8066666666666666
2007,2007,0.05,25,58,49,0,False,True,12,"CAN, CZE, DNK, EST, FIN, GBR, IRL, LTU, LUX, SVN, SWE, USA",300,58,242,0.19333333333333333,0.8066666666666666
2007,2007,0.1,25,58,49,0,False,True,12,"CAN, CZE, DNK, EST, FIN, GBR, IRL, LTU, LUX, SVN, SWE, USA",300,58,242,0.19333333333333333,0.8066666666666666
2007,2007,0.15,25,58,49,0,False,True,12,"CAN, CZE, DNK, EST, FIN, GBR, IRL, LTU, LUX, SVN, SWE, USA",300,58,242,0.19333333333333333,0.8066666666666666
2007,2007,0.2,25,58,49,0,False,True,12,"CAN, CZE, DNK, EST, FIN, GBR, IRL, LTU, LUX, SVN, SWE, USA",300,58,242,0.19333333333333333,0.8066666666666666
2019,2019,0.0,35,81,70,0,False,True,20,"AUS, AUT, BGR, CAN, CHE, CZE, DEU, DNK, EST, FIN, HUN, IRL, KOR, LUX, NZL, POL, ROU, SVN, SWE, USA",595,81,514,0.1361344537815126,0.8638655462184874
2019,2019,0.05,35,81,70,0,False,True,20,"AUS, AUT, BGR, CAN, CHE, CZE, DEU, DNK, EST, FIN, HUN, IRL, KOR, LUX, NZL, POL, ROU, SVN, SWE, USA",595,81,514,0.1361344537815126,0.8638655462184874
2019,2019,0.1,35,81,70,0,False,True,20,"AUS, AUT, BGR, CAN, CHE, CZE, DEU, DNK, EST, FIN, HUN, IRL, KOR, LUX, NZL, POL, ROU, SVN, SWE, USA",595,81,514,0.1361344537815126,0.8638655462184874
2019,2019,0.15,35,80,69,0,False,True,20,"AUS, AUT, BGR, CAN, CHE, CZE, DEU, DNK, EST, FIN, HUN, IRL, KOR, LUX, NZL, POL, ROU, SVN, SWE, USA",595,80,515,0.13445378151260504,0.865546218487395
2019,2019,0.2,35,76,67,0,False,True,20,"AUS, AUT, BGR, CAN, CHE, CZE, DEU, DNK, EST, FIN, HUN, IRL, KOR, LUX, NZL, POL, ROU, SVN, SWE, USA",595,76,519,0.12773109243697478,0.8722689075630252
