Country,dominates_count,dominated_by_count,is_frontier,shock_id,baseline_year,epsilon,is_valid_partial_order
AUT,3,2,False,2007,2007,0.0,True
BEL,0,3,False,2007,2007,0.0,True
CAN,5,0,True,2007,2007,0.0,True
CZE,2,0,True,2007,2007,0.0,True
DEU,0,4,False,2007,2007,0.0,True
DNK,11,0,True,2007,2007,0.0,True
ESP,0,1,False,2007,2007,0.0,True
EST,5,0,True,2007,2007,0.0,True
FIN,5,0,True,2007,2007,0.0,True
FRA,1,3,False,2007,2007,0.0,True
GBR,2,0,True,2007,2007,0.0,True
GRC,0,11,False,2007,2007,0.0,True
HUN,0,8,False,2007,2007,0.0,True
IRL,0,0,True,2007,2007,0.0,True
ITA,0,7,False,2007,2007,0.0,True
LTU,2,0,True,2007,2007,0.0,True
LUX,0,0,True,2007,2007,0.0,True
LVA,1,1,False,2007,2007,0.0,True
NLD,4,1,False,2007,2007,0.0,True
POL,0,3,False,2007,2007,0.0,True
PRT,0,9,False,2007,2007,0.0,True
SVK,0,5,False,2007,2007,0.0,True
SVN,4,0,True,2007,2007,0.0,True
SWE,5,0,True,2007,2007,0.0,True
USA,8,0,True,2007,2007,0.0,True
AUT,3,2,False,2007,2007,0.05,True
BEL,0,5,False,2007,2007,0.05,True
CAN,8,0,True,2007,2007,0.05,True
CZE,3,1,False,2007,2007,0.05,True
DEU,1,4,False,2007,2007,0.05,True
DNK,13,0,True,2007,2007,0.05,True
ESP,2,4,False,2007,2007,0.05,True
EST,8,0,True,2007,2007,0.05,True
FIN,7,0,True,2007,2007,0.05,True
FRA,2,5,False,2007,2007,0.05,True
GBR,2,0,True,2007,2007,0.05,True
GRC,0,15,False,2007,2007,0.05,True
HUN,0,8,False,2007,2007,0.05,True
IRL,0,0,True,2007,2007,0.05,True
ITA,0,10,False,2007,2007,0.05,True
LTU,2,1,False,2007,2007,0.05,True
LUX,0,0,True,2007,2007,0.05,True
LVA,2,1,False,2007,2007,0.05,True
NLD,4,1,False,2007,2007,0.05,True
POL,0,3,False,2007,2007,0.05,True
PRT,0,12,False,2007,2007,0.05,True
SVK,0,6,False,2007,2007,0.05,True
SVN,5,0,True,2007,2007,0.05,True
SWE,8,0,True,2007,2007,0.05,True
USA,8,0,True,2007,2007,0.05,True
AUT,5,2,False,2007,2007,0.1,True
BEL,1,7,False,2007,2007,0.1,True
CAN,9,0,True,2007,2007,0.1,True
CZE,3,2,False,2007,2007,0.1,True
DEU,3,5,False,2007,2007,0.1,True
DNK,15,0,True,2007,2007,0.1,True
ESP,2,7,False,2007,2007,0.1,True
EST,11,0,True,2007,2007,0.1,True
FIN,9,0,True,2007,2007,0.1,True
FRA,3,6,False,2007,2007,0.1,True
GBR,3,1,False,2007,2007,0.1,True
GRC,0,17,False,2007,2007,0.1,True
HUN,1,11,False,2007,2007,0.1,True
IRL,4,2,False,2007,2007,0.1,True
ITA,0,12,False,2007,2007,0.1,True
LTU,4,1,False,2007,2007,0.1,True
LUX,0,0,True,2007,2007,0.1,True
LVA,2,2,False,2007,2007,0.1,True
NLD,6,1,False,2007,2007,0.1,True
POL,0,4,False,2007,2007,0.1,True
PRT,0,15,False,2007,2007,0.1,True
SVK,0,9,False,2007,2007,0.1,True
SVN,5,1,False,2007,2007,0.1,True
SWE,10,0,True,2007,2007,0.1,True
USA,9,0,True,2007,2007,0.1,True
AUT,6,2,False,2007,2007,0.15,False
BEL,2,7,False,2007,2007,0.15,False
CAN,11,0,True,2007,2007,0.15,False
CZE,5,4,False,2007,2007,0.15,False
DEU,3,6,False,2007,2007,0.15,False
DNK,17,0,True,2007,2007,0.15,False
ESP,3,8,False,2007,2007,0.15,False
EST,12,0,True,2007,2007,0.15,False
FIN,10,1,False,2007,2007,0.15,False
FRA,4,8,False,2007,2007,0.15,False
GBR,3,4,False,2007,2007,0.15,False
GRC,0,18,False,2007,2007,0.15,False
HUN,2,13,False,2007,2007,0.15,False
IRL,4,3,False,2007,2007,0.15,False
ITA,0,14,False,2007,2007,0.15,False
LTU,7,2,False,2007,2007,0.15,False
LUX,3,1,False,2007,2007,0.15,False
LVA,3,3,False,2007,2007,0.15,False
NLD,9,2,False,2007,2007,0.15,False
POL,1,7,False,2007,2007,0.15,False
PRT,0,18,False,2007,2007,0.15,False
SVK,0,12,False,2007,2007,0.15,False
SVN,7,2,False,2007,2007,0.15,False
SWE,13,1,False,2007,2007,0.15,False
USA,11,0,True,2007,2007,0.15,False
AUT,6,4,False,2007,2007,0.2,False
BEL,3,9,False,2007,2007,0.2,False
CAN,15,0,True,2007,2007,0.2,False
CZE,5,7,False,2007,2007,0.2,False
DEU,4,7,False,2007,2007,0.2,False
DNK,17,0,True,2007,2007,0.2,False
ESP,4,10,False,2007,2007,0.2,False
EST,14,0,True,2007,2007,0.2,False
FIN,12,1,False,2007,2007,0.2,False
FRA,5,8,False,2007,2007,0.2,False
GBR,3,6,False,2007,2007,0.2,False
GRC,0,20,False,2007,2007,0.2,False
HUN,3,16,False,2007,2007,0.2,False
IRL,7,7,False,2007,2007,0.2,False
ITA,0,17,False,2007,2007,0.2,False
LTU,8,3,False,2007,2007,0.2,False
LUX,6,3,False,2007,2007,0.2,False
LVA,5,4,False,2007,2007,0.2,False
NLD,13,2,False,2007,2007,0.2,False
POL,2,9,False,2007,2007,0.2,False
PRT,1,19,False,2007,2007,0.2,False
SVK,0,13,False,2007,2007,0.2,False
SVN,10,5,False,2007,2007,0.2,False
SWE,16,1,False,2007,2007,0.2,False
USA,12,0,True,2007,2007,0.2,False
AUS,7,0,True,2019,2019,0.0,True
AUT,3,0,True,2019,2019,0.0,True
BEL,0,1,False,2019,2019,0.0,True
BGR,1,0,True,2019,2019,0.0,True
CAN,6,0,True,2019,2019,0.0,True
CHE,9,0,True,2019,2019,0.0,True
COL,0,1,False,2019,2019,0.0,True
CZE,2,0,True,2019,2019,0.0,True
DEU,2,0,True,2019,2019,0.0,True
DNK,7,0,True,2019,2019,0.0,True
ESP,0,9,False,2019,2019,0.0,True
EST,8,0,True,2019,2019,0.0,True
FIN,4,0,True,2019,2019,0.0,True
