,1-5-5-5-5,5-4-3-4-5,5-4-5-4-3,4-5-5-5-1,1-5-4-5-4,3-3-3-5-5,4-2-5-4-4,5-4-3-3-4,5-5-4-1-4,4-3-4-3-4,3-4-4-4-2,3-5-5-2-2,2-2-4-4-4,3-4-2-5-2,4-5-2-2-3,5-3-2-5-1,5-4-1-2-4,2-3-4-3-3,2-3-5-3-2,4-4-1-1-5,1-3-5-4-1,2-5-3-2-2,4-2-1-3-3,4-2-1-4-2,1-1-4-3-3,3-1-1-1-5,3-2-1-2-3,5-1-2-1-2,2-1-1-1-5,2-2-2-1-3,1-2-3-2-1,2-1-2-3-1,1-1-2-2-1,1-1-3-1-1
1-5-5-5-5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,400.0,375.0
5-4-3-4-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,24.0,0.0,0.0,108.0,72.0,0.0,144.0,243.0,128.0,192.0,288.0,225.0,320.0,600.0,400.0
5-4-5-4-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,30.0,0.0,60.0,60.0,80.0,0.0,135.0,128.0,0.0,192.0,405.0,384.0,720.0,720.0
4-5-5-5-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,180.0,320.0,300.0
1-5-4-5-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,240.0,200.0
3-3-3-5-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,72.0,0.0,90.0,120.0,120.0,180.0,360.0,225.0
4-2-5-4-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,64.0,0.0,60.0,0.0,0.0,96.0,144.0,192.0,384.0,384.0
5-4-3-3-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,108.0,72.0,0.0,144.0,120.0,128.0,320.0,240.0
5-5-4-1-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,96.0,0.0,0.0,0.0,200.0
4-3-4-3-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16.0,0.0,24.0,0.0,64.0,0.0,0.0,108.0,128.0,108.0,288.0,288.0
