Country,Recovery_2007,Recovery_2019,Recovery_2007_status,Recovery_2019_status
AUS,0.0,0.0,no_negative_growth_in_shock_window,no_negative_growth_in_shock_window
AUT,2.0,2.0,recovered,recovered
BEL,1.0,1.0,recovered,recovered
BRA,1.0,1.0,recovered,recovered
CAN,1.0,1.0,recovered,recovered
CHE,1.0,1.0,recovered,recovered
CHL,1.0,1.0,recovered,recovered
CHN,0.0,0.0,no_negative_growth_in_shock_window,no_negative_growth_in_shock_window
COL,0.0,1.0,no_negative_growth_in_shock_window,recovered
CRI,1.0,1.0,recovered,recovered
CZE,5.0,2.0,recovered,recovered
DEU,2.0,2.0,recovered,recovered
DNK,7.0,1.0,recovered,recovered
ESP,8.0,2.0,recovered,recovered
EST,8.0,1.0,recovered,recovered
FIN,8.0,1.0,recovered,recovered
FRA,2.0,2.0,recovered,recovered
GBR,5.0,2.0,recovered,recovered
GRC,20.0,2.0,not_recovered_by_available_data,recovered
HUN,5.0,1.0,recovered,recovered
IDN,0.0,1.0,no_negative_growth_in_shock_window,recovered
IND,0.0,1.0,no_negative_growth_in_shock_window,recovered
IRL,6.0,0.0,recovered,no_negative_growth_in_shock_window
ISL,6.0,2.0,recovered,recovered
ISR,0.0,1.0,no_negative_growth_in_shock_window,recovered
ITA,15.0,2.0,recovered,recovered
JPN,5.0,2.0,recovered,recovered
KOR,0.0,1.0,no_negative_growth_in_shock_window,recovered
LTU,5.0,0.0,recovered,no_negative_growth_in_shock_window
LUX,2.0,1.0,recovered,recovered
LVA,10.0,1.0,recovered,recovered
MEX,2.0,2.0,recovered,recovered
NLD,6.0,1.0,recovered,recovered
NOR,2.0,1.0,recovered,recovered
NZL,1.0,0.0,recovered,no_negative_growth_in_shock_window
POL,0.0,1.0,no_negative_growth_in_shock_window,recovered
PRT,9.0,2.0,recovered,recovered
RUS,2.0,,recovered,no_shock_window_data
SVK,1.0,1.0,recovered,recovered
SVN,8.0,1.0,recovered,recovered
SWE,2.0,1.0,recovered,recovered
TUR,1.0,0.0,recovered,no_negative_growth_in_shock_window
USA,1.0,1.0,recovered,recovered
ZAF,1.0,2.0,recovered,recovered
