Country,min_year,max_year,country_year_rows,mean_available_dimensions,full_six_dimension_years
AFG,2002,2024,23,6.0,23
AGO,2002,2024,23,6.0,23
ALB,2002,2024,23,6.0,23
AND,2002,2024,23,6.0,23
ARE,2002,2024,23,6.0,23
ARG,2002,2024,23,6.0,23
ARM,2002,2024,23,6.0,23
ATG,2002,2024,23,6.0,23
AUS,2002,2024,23,6.0,23
AUT,2002,2024,23,6.0,23
AZE,2002,2024,23,6.0,23
BDI,2002,2024,23,6.0,23
BEL,2002,2024,23,6.0,23
BEN,2002,2024,23,6.0,23
BFA,2002,2024,23,6.0,23
BGD,2002,2024,23,6.0,23
BGR,2002,2024,23,6.0,23
BHR,2002,2024,23,6.0,23
BHS,2002,2024,23,6.0,23
BIH,2002,2024,23,6.0,23
BLR,2002,2024,23,6.0,23
BLZ,2002,2024,23,6.0,23
BOL,2002,2024,23,6.0,23
BRA,2002,2024,23,6.0,23
BRB,2002,2024,23,6.0,23
BRN,2002,2024,23,6.0,23
BTN,2002,2024,23,6.0,23
BWA,2002,2024,23,6.0,23
CAF,2002,2024,23,6.0,23
CAN,2002,2024,23,6.0,23
CHE,2002,2024,23,6.0,23
CHL,2002,2024,23,6.0,23
CHN,2002,2024,23,6.0,23
CIV,2002,2024,23,6.0,23
CMR,2002,2024,23,6.0,23
COD,2002,2024,23,6.0,23
COG,2002,2024,23,6.0,23
COL,2002,2024,23,6.0,23
COM,2002,2024,23,6.0,23
CPV,2002,2024,23,6.0,23
CRI,2002,2024,23,6.0,23
CUB,2002,2024,23,6.0,23
CYM,2002,2024,23,6.0,23
CYP,2002,2024,23,6.0,23
CZE,2002,2024,23,6.0,23
DEU,2002,2024,23,6.0,23
DJI,2002,2024,23,6.0,23
DMA,2002,2024,23,6.0,23
DNK,2002,2024,23,6.0,23
DOM,2002,2024,23,6.0,23
DZA,2002,2024,23,6.0,23
ECU,2002,2024,23,6.0,23
EGY,2002,2024,23,6.0,23
ERI,2002,2024,23,6.0,23
ESP,2002,2024,23,6.0,23
EST,2002,2024,23,6.0,23
ETH,2002,2024,23,6.0,23
FIN,2002,2024,23,6.0,23
FJI,2002,2024,23,6.0,23
FRA,2002,2024,23,6.0,23
GAB,2002,2024,23,6.0,23
GBR,2002,2024,23,6.0,23
GEO,2002,2024,23,6.0,23
GHA,2002,2024,23,6.0,23
GIN,2002,2024,23,6.0,23
GMB,2002,2024,23,6.0,23
GNB,2002,2024,23,6.0,23
GNQ,2002,2024,23,6.0,23
GRC,2002,2024,23,6.0,23
GRD,2002,2024,23,6.0,23
GTM,2002,2024,23,6.0,23
GUF,2002,2024,23,6.0,23
GUY,2002,2024,23,6.0,23
HKG,2002,2024,23,6.0,23
HND,2002,2024,23,6.0,23
HRV,2002,2024,23,6.0,23
HTI,2002,2024,23,6.0,23
HUN,2002,2024,23,6.0,23
IDN,2002,2024,23,6.0,23
IND,2002,2024,23,6.0,23
IRL,2002,2024,23,6.0,23
IRN,2002,2024,23,6.0,23
IRQ,2002,2024,23,6.0,23
ISL,2002,2024,23,6.0,23
ISR,2002,2024,23,6.0,23
ITA,2002,2024,23,6.0,23
JAM,2002,2024,23,6.0,23
JOR,2002,2024,23,6.0,23
JPN,2002,2024,23,6.0,23
KAZ,2002,2024,23,6.0,23
KEN,2002,2024,23,6.0,23
KGZ,2002,2024,23,6.0,23
KHM,2002,2024,23,6.0,23
KOR,2002,2024,23,6.0,23
KWT,2002,2024,23,6.0,23
LAO,2002,2024,23,6.0,23
LBN,2002,2024,23,6.0,23
LBR,2002,2024,23,6.0,23
LBY,2002,2024,23,6.0,23
LIE,2002,2024,23,6.0,23
LKA,2002,2024,23,6.0,23
LSO,2002,2024,23,6.0,23
LTU,2002,2024,23,6.0,23
LUX,2002,2024,23,6.0,23
LVA,2002,2024,23,6.0,23
MAC,2002,2024,23,6.0,23
MAR,2002,2024,23,6.0,23
MDA,2002,2024,23,6.0,23
MDG,2002,2024,23,6.0,23
MDV,2002,2024,23,6.0,23
MEX,2002,2024,23,6.0,23
MKD,2002,2024,23,6.0,23
MLI,2002,2024,23,6.0,23
MLT,2002,2024,23,6.0,23
MMR,2002,2024,23,6.0,23
MNG,2002,2024,23,6.0,23
MOZ,2002,2024,23,6.0,23
MRT,2002,2024,23,6.0,23
MUS,2002,2024,23,6.0,23
MWI,2002,2024,23,6.0,23
MYS,2002,2024,23,6.0,23
NAM,2002,2024,23,6.0,23
NER,2002,2024,23,6.0,23
NGA,2002,2024,23,6.0,23
NIC,2002,2024,23,6.0,23
NLD,2002,2024,23,6.0,23
NOR,2002,2024,23,6.0,23
NPL,2002,2024,23,6.0,23
NZL,2002,2024,23,6.0,23
OMN,2002,2024,23,6.0,23
PAK,2002,2024,23,6.0,23
PAN,2002,2024,23,6.0,23
PER,2002,2024,23,6.0,23
PHL,2002,2024,23,6.0,23
PNG,2002,2024,23,6.0,23
POL,2002,2024,23,6.0,23
PRI,2002,2024,23,6.0,23
PRK,2002,2024,23,6.0,23
PRT,2002,2024,23,6.0,23
PRY,2002,2024,23,6.0,23
PSE,2002,2024,23,6.0,23
