Year,countries,complete_six_dimension_countries,mean_available_dimensions
2002,202,186,5.732673267326732
2003,202,186,5.782178217821782
2004,209,202,5.909090909090909
2005,210,203,5.919047619047619
2006,210,204,5.933333333333334
2007,210,205,5.947619047619048
2008,210,207,5.966666666666667
2009,212,210,5.971698113207547
2010,213,210,5.948356807511737
2011,214,212,5.97196261682243
2012,214,212,5.97196261682243
2013,214,212,5.97196261682243
2014,214,212,5.97196261682243
2015,214,212,5.990654205607477
2016,212,212,6.0
2017,212,212,6.0
2018,214,205,5.929906542056075
2019,215,206,5.920930232558139
2020,215,206,5.920930232558139
2021,215,206,5.930232558139535
2022,215,208,5.9581395348837205
2023,215,208,5.9581395348837205
2024,215,208,5.9581395348837205
