Country,energy_import_dependency_raw,gdp_growth,inflation_cpi,productivity_gdp_per_hour,public_debt_gdp_canonical,public_debt_gdp_eurostat,public_debt_gdp_worldbank,rd_gdp,tertiary_education_25_64,unemployment_rate,final5_ordering_variable_count_present,complete_case_any_year_final5_ordering
AGO,1,0,0,0,0,0,0,0,0,0,1,False
ALB,1,0,0,0,1,0,1,0,0,0,2,False
AND,0,0,0,0,1,0,1,0,0,0,1,False
ARB,1,0,0,0,0,0,0,0,0,0,1,False
ARE,1,0,0,0,1,0,1,0,0,0,2,False
ARG,1,0,1,0,0,0,0,1,1,1,4,False
ARM,1,0,0,0,1,0,1,0,0,0,2,False
AUS,1,1,1,1,1,0,1,1,1,1,5,True
AUT,1,1,1,1,1,1,0,1,1,1,5,True
AZE,1,0,0,0,1,0,1,0,0,0,2,False
BEL,1,1,1,1,1,1,0,1,1,1,5,True
BEN,1,0,0,0,0,0,0,0,0,0,1,False
BFA,0,0,0,0,1,0,1,0,0,0,1,False
BGD,1,0,0,0,1,0,1,0,0,0,2,False
BGR,1,0,1,1,1,1,0,1,1,1,5,True
BHR,1,0,0,0,1,0,1,0,0,0,2,False
BHS,0,0,0,0,1,0,1,0,0,0,1,False
BIH,1,0,0,0,1,0,1,0,0,0,2,False
BLR,1,0,0,0,1,0,1,0,0,0,2,False
BLZ,0,0,0,0,1,0,1,0,0,0,1,False
BOL,1,0,0,0,0,0,0,0,0,0,1,False
BRA,1,1,1,0,1,0,1,0,1,1,4,False
BRB,0,0,0,0,1,0,1,0,0,0,1,False
BRN,1,0,0,0,0,0,0,0,0,0,1,False
BTN,0,0,0,0,1,0,1,0,0,0,1,False
BWA,1,0,0,0,1,0,1,0,0,0,2,False
CAN,1,1,1,1,1,0,1,1,1,1,5,True
CHE,1,1,1,1,1,0,1,1,1,1,5,True
CHL,1,1,1,1,0,0,0,1,1,1,4,False
CHN,1,1,1,0,0,0,0,1,1,1,4,False
CIV,1,0,0,0,0,0,0,0,0,0,1,False
CMR,1,0,0,0,0,0,0,0,0,0,1,False
COD,1,0,0,0,1,0,1,0,0,0,2,False
COG,1,0,0,0,1,0,1,0,0,0,2,False
COL,1,1,1,1,1,0,1,1,1,1,5,True
CRI,1,1,1,1,0,0,0,1,1,1,4,False
CUB,1,0,0,0,0,0,0,0,0,0,1,False
CUW,1,0,0,0,0,0,0,0,0,0,1,False
CYP,1,0,0,0,1,1,0,0,0,1,3,False
CZE,1,1,1,1,1,1,0,1,1,1,5,True
DEU,1,1,1,1,1,1,0,1,1,1,5,True
DNK,1,1,1,1,1,1,0,1,1,1,5,True
DOM,1,0,0,0,0,0,0,0,0,0,1,False
DZA,1,0,0,0,0,0,0,0,0,0,1,False
EAR,1,0,0,0,0,0,0,0,0,0,1,False
ECU,1,0,0,0,0,0,0,0,0,0,1,False
EGY,1,0,0,0,1,0,1,0,0,0,2,False
ERI,1,0,0,0,0,0,0,0,0,0,1,False
ESP,1,1,1,1,1,1,1,1,1,1,5,True
EST,1,1,1,1,1,1,0,1,1,1,5,True
ETH,1,0,0,0,1,0,1,0,0,0,2,False
EUU,1,0,0,0,0,0,0,0,0,0,1,False
FIN,1,1,1,1,1,1,0,1,1,1,5,True
FRA,1,1,1,1,1,1,0,1,1,1,5,True
FSM,0,0,0,0,1,0,1,0,0,0,1,False
GAB,1,0,0,0,0,0,0,0,0,0,1,False
GBR,1,1,1,1,1,0,1,1,1,1,5,True
GEO,1,0,0,0,1,0,1,0,0,0,2,False
GHA,1,0,0,0,0,0,0,0,0,0,1,False
GNQ,1,0,0,0,0,0,0,0,0,0,1,False
GRC,1,1,1,1,1,1,0,1,1,1,5,True
GTM,1,0,0,0,1,0,1,0,0,0,2,False
HKG,1,0,0,0,0,0,0,0,0,0,1,False
HND,1,0,0,0,0,0,0,0,0,0,1,False
HPC,1,0,0,0,0,0,0,0,0,0,1,False
HRV,1,0,1,1,1,1,0,1,1,1,5,True
HUN,1,1,1,1,1,1,1,1,1,1,5,True
IDN,1,1,1,0,1,0,1,0,1,1,4,False
IND,1,1,1,0,1,0,1,0,1,1,4,False
IRL,1,1,1,1,1,1,0,1,1,1,5,True
IRN,1,0,0,0,0,0,0,0,0,0,1,False
IRQ,1,0,0,0,1,0,1,0,0,0,2,False
ISL,1,1,1,1,1,0,1,1,1,1,5,True
ISR,1,1,1,1,0,0,0,1,1,1,4,False
ITA,1,1,1,1,1,1,0,1,1,1,5,True
JAM,1,0,0,0,1,0,1,0,0,0,2,False
JOR,1,0,0,0,1,0,1,0,0,0,2,False
JPN,1,1,1,1,0,0,0,1,1,1,4,False
KAZ,1,0,0,0,1,0,1,0,0,0,2,False
KEN,1,0,0,0,0,0,0,0,0,0,1,False
KGZ,1,0,0,0,1,0,1,0,0,0,2,False
KHM,1,0,0,0,1,0,1,0,0,0,2,False
KNA,0,0,0,0,1,0,1,0,0,0,1,False
KOR,1,1,1,1,1,0,1,1,1,1,5,True
KWT,1,0,0,0,0,0,0,0,0,0,1,False
LAC,1,0,0,0,1,0,1,0,0,0,2,False
LAO,1,0,0,0,0,0,0,0,0,0,1,False
LBN,1,0,0,0,0,0,0,0,0,0,1,False
LBY,1,0,0,0,0,0,0,0,0,0,1,False
LCA,0,0,0,0,1,0,1,0,0,0,1,False
LDC,1,0,0,0,0,0,0,0,0,0,1,False
LKA,1,0,0,0,1,0,1,0,0,0,2,False
LSO,0,0,0,0,1,0,1,0,0,0,1,False
LTU,1,1,1,1,1,1,0,1,1,1,5,True
LUX,1,1,1,1,1,1,0,1,1,1,5,True
LVA,1,1,1,1,1,1,0,1,1,1,5,True
MAR,1,0,0,0,1,0,1,0,0,0,2,False
MDA,1,0,0,0,1,0,1,0,0,0,2,False
MDG,1,0,0,0,0,0,0,0,0,0,1,False
MDV,0,0,0,0,1,0,1,0,0,0,1,False
MEX,1,1,1,1,1,0,1,1,1,1,5,True
MHL,0,0,0,0,1,0,1,0,0,0,1,False
MKD,1,0,0,0,0,0,0,0,0,1,2,False
MLT,1,0,0,0,1,1,0,0,0,1,3,False
MMR,1,0,0,0,0,0,0,0,0,0,1,False
MNE,1,0,0,0,0,0,0,0,0,0,1,False
MNG,1,0,0,0,1,0,1,0,0,0,2,False
MOZ,1,0,0,0,1,0,1,0,0,0,2,False
MUS,0,0,0,0,1,0,1,0,0,0,1,False
MWI,0,0,0,0,1,0,1,0,0,0,1,False
MYS,1,0,0,0,1,0,1,0,0,0,2,False
NAM,1,0,0,0,1,0,1,0,0,0,2,False
NER,1,0,0,0,0,0,0,0,0,0,1,False
NGA,1,0,0,0,0,0,0,0,0,0,1,False
NIC,1,0,0,0,0,0,0,0,0,0,1,False
NLD,1,1,1,1,1,1,0,1,1,1,5,True
NOR,1,1,1,1,0,0,0,1,1,1,4,False
NPL,1,0,0,0,1,0,1,0,0,0,2,False
NZL,1,1,1,1,1,0,1,1,1,1,5,True
OMN,1,0,0,0,0,0,0,0,0,0,1,False
OSS,1,0,0,0,0,0,0,0,0,0,1,False
PAK,1,0,0,0,0,0,0,0,0,0,1,False
PAN,1,0,0,0,0,0,0,0,0,0,1,False
PER,1,0,0,0,1,0,1,0,1,1,4,False
PHL,1,0,0,0,1,0,1,0,0,0,2,False
PLW,0,0,0,0,1,0,1,0,0,0,1,False
PNG,0,0,0,0,1,0,1,0,0,0,1,False
POL,1,1,1,1,1,1,0,1,1,1,5,True
PRK,1,0,0,0,0,0,0,0,0,0,1,False
PRT,1,1,1,1,1,1,0,1,1,1,5,True
PRY,1,0,0,0,0,0,0,0,0,0,1,False
QAT,1,0,0,0,0,0,0,0,0,0,1,False
ROU,1,0,0,1,1,1,0,1,1,1,5,True
RUS,1,1,1,0,1,0,1,1,0,1,4,False
RWA,1,0,0,0,0,0,0,0,0,0,1,False
SAU,1,0,1,0,0,0,0,0,0,0,1,False
SDN,1,0,0,0,0,0,0,0,0,0,1,False
SEN,1,0,0,0,0,0,0,0,0,0,1,False
SGP,1,0,0,0,1,0,1,1,0,0,3,False
SLB,0,0,0,0,1,0,1,0,0,0,1,False
SLV,1,0,0,0,1,0,1,0,0,0,2,False
SMR,0,0,0,0,1,0,1,0,0,0,1,False
SOM,0,0,0,0,1,0,1,0,0,0,1,False
SRB,1,0,0,0,0,0,0,0,0,0,1,False
SSD,1,0,0,0,0,0,0,0,0,0,1,False
SST,1,0,0,0,0,0,0,0,0,0,1,False
SUR,1,0,0,0,0,0,0,0,0,0,1,False
SVK,1,1,1,1,1,1,0,1,1,1,5,True
SVN,1,1,1,1,1,1,0,1,1,1,5,True
SWE,1,1,1,1,1,1,0,1,1,1,5,True
SWZ,1,0,0,0,1,0,1,0,0,0,2,False
SYC,0,0,0,0,1,0,1,0,0,0,1,False
SYR,1,0,0,0,0,0,0,0,0,0,1,False
TCD,1,0,0,0,0,0,0,0,0,0,1,False
TGO,1,0,0,0,0,0,0,0,0,0,1,False
THA,1,0,0,0,1,0,1,0,0,1,3,False
TJK,1,0,0,0,0,0,0,0,0,0,1,False
TKM,1,0,0,0,0,0,0,0,0,0,1,False
TON,0,0,0,0,1,0,1,0,0,0,1,False
TTO,1,0,0,0,1,0,1,0,0,0,2,False
TUN,1,0,0,0,1,0,1,0,0,0,2,False
TUR,1,1,1,1,1,0,1,1,1,1,5,True
TWN,0,0,0,0,0,0,0,1,0,0,1,False
TZA,1,0,0,0,0,0,0,0,0,0,1,False
UGA,1,0,0,0,1,0,1,0,0,0,2,False
UKR,1,0,0,0,1,0,1,0,0,0,2,False
URY,1,0,0,0,1,0,1,0,0,0,2,False
USA,1,1,1,1,1,0,1,1,1,1,5,True
UZB,1,0,0,0,0,0,0,0,0,0,1,False
VCT,0,0,0,0,1,0,1,0,0,0,1,False
VEN,1,0,0,0,0,0,0,0,0,0,1,False
VNM,1,0,0,0,0,0,0,0,0,0,1,False
VUT,0,0,0,0,1,0,1,0,0,0,1,False
YEM,1,0,0,0,0,0,0,0,0,0,1,False
ZAF,1,1,1,0,1,0,1,1,1,1,5,True
ZMB,1,0,0,0,1,0,1,0,0,0,2,False
ZWE,1,0,0,0,0,0,0,0,0,0,1,False
