Country,energy_import_dependency_raw,gdp_growth,inflation_cpi,productivity_gdp_per_hour,public_debt_gdp_canonical,public_debt_gdp_eurostat,public_debt_gdp_worldbank,rd_gdp,tertiary_education_25_64,unemployment_rate,final5_ordering_variable_total_years
AGO,21,0,0,0,0,0,0,0,0,0,21
ALB,22,0,0,0,14,0,14,0,0,0,36
AND,0,0,0,0,7,0,7,0,0,0,7
ARB,21,0,0,0,0,0,0,0,0,0,21
ARE,21,0,0,0,1,0,1,0,0,0,22
ARG,22,0,8,0,0,0,0,22,17,8,69
ARM,21,0,0,0,6,0,6,0,0,0,27
AUS,22,24,24,22,21,0,21,12,23,24,102
AUT,22,24,24,23,24,24,0,23,21,24,114
AZE,22,0,0,0,3,0,3,0,0,0,25
BEL,22,24,24,23,24,24,0,23,23,24,116
BEN,13,0,0,0,0,0,0,0,0,0,13
BFA,0,0,0,0,6,0,6,0,0,0,6
BGD,21,0,0,0,2,0,2,0,0,0,23
BGR,22,0,24,23,24,24,0,23,6,24,99
BHR,21,0,0,0,18,0,18,0,0,0,39
BHS,0,0,0,0,19,0,19,0,0,0,19
BIH,22,0,0,0,13,0,13,0,0,0,35
BLR,21,0,0,0,16,0,16,0,0,0,37
BLZ,0,0,0,0,13,0,13,0,0,0,13
BOL,21,0,0,0,0,0,0,0,0,0,21
BRA,22,22,24,0,15,0,15,0,16,22,75
BRB,0,0,0,0,12,0,12,0,0,0,12
BRN,21,0,0,0,0,0,0,0,0,0,21
BTN,0,0,0,0,19,0,19,0,0,0,19
BWA,13,0,0,0,15,0,15,0,0,0,28
CAN,22,24,24,23,23,0,23,24,23,24,116
CHE,22,24,24,23,23,0,23,8,23,24,100
CHL,22,24,22,22,0,0,0,16,7,24,69
CHN,22,22,24,0,0,0,0,23,2,1,48
CIV,21,0,0,0,0,0,0,0,0,0,21
CMR,21,0,0,0,0,0,0,0,0,0,21
COD,21,0,0,0,1,0,1,0,0,0,22
COG,21,0,0,0,2,0,2,0,0,0,23
COL,22,24,24,23,18,0,18,19,15,23,97
CRI,22,23,20,22,0,0,0,10,23,24,79
CUB,17,0,0,0,0,0,0,0,0,0,17
