Country,shock_id,baseline_year,profile_code,layer,is_pareto_frontier,observed_dominance_score_normalized,observed_incomparability_score_normalized,embedded_separation_score_normalized,recovery_years,recovery_status,shock_median_recovery_years,target_minus_shock_median_recovery,recovery_alignment_label
CAN,2007,2007,3-3-4-5-5,1,True,0.3333333333333333,0.6666666666666666,0.1606621226874391,1.0,recovered,5.0,-4.0,faster_than_shock_median
DEU,2007,2007,2-1-4-2-3,4,False,0.0416666666666666,0.6666666666666666,0.0015579357351509,2.0,recovered,5.0,-3.0,faster_than_shock_median
FRA,2007,2007,2-2-4-3-3,3,False,0.1666666666666666,0.5833333333333334,0.0127555988315481,2.0,recovered,5.0,-3.0,faster_than_shock_median
ITA,2007,2007,1-3-2-1-2,3,False,0.0416666666666666,0.5416666666666666,0.0003894839337877,15.0,recovered,5.0,10.0,slower_than_shock_median
USA,2007,2007,2-4-5-5-4,1,True,0.3333333333333333,0.6666666666666666,0.1484907497565725,1.0,recovered,5.0,-4.0,faster_than_shock_median
CAN,2019,2019,3-3-3-5-5,1,True,0.2424242424242424,0.7575757575757576,0.1008991008991009,1.0,recovered,1.0,0.0,equal_to_shock_median
DEU,2019,2019,3-5-5-2-2,1,True,0.1212121212121212,0.8787878787878788,0.0314685314685314,2.0,recovered,1.0,1.0,slower_than_shock_median
FRA,2019,2019,1-1-4-3-3,3,False,0.0606060606060606,0.7272727272727273,0.0029970029970029,2.0,recovered,1.0,1.0,slower_than_shock_median
ITA,2019,2019,1-1-3-1-1,4,False,0.0,0.4242424242424242,0.0,2.0,recovered,1.0,1.0,slower_than_shock_median
USA,2019,2019,1-5-5-5-5,1,True,0.1818181818181818,0.8181818181818182,0.0948218448218448,1.0,recovered,1.0,0.0,equal_to_shock_median
