shock_id,epsilon,baseline_epsilon,frontier_countries,frontier_country_list,baseline_frontier_countries,countries_shared_with_epsilon_0,jaccard_similarity_with_epsilon_0,countries_added_vs_epsilon_0,countries_removed_vs_epsilon_0
2007,0.0,0.0,12,"CAN, CZE, DNK, EST, FIN, GBR, IRL, LTU, LUX, SVN, SWE, USA",12,12,1.0,,
2007,0.05,0.0,10,"CAN, DNK, EST, FIN, GBR, IRL, LUX, SVN, SWE, USA",12,10,0.8333333333333334,,"CZE, LTU"
2007,0.1,0.0,7,"CAN, DNK, EST, FIN, LUX, SWE, USA",12,7,0.5833333333333334,,"CZE, GBR, IRL, LTU, SVN"
2007,0.15,0.0,4,"CAN, DNK, EST, USA",12,4,0.3333333333333333,,"CZE, FIN, GBR, IRL, LTU, LUX, SVN, SWE"
2007,0.2,0.0,4,"CAN, DNK, EST, USA",12,4,0.3333333333333333,,"CZE, FIN, GBR, IRL, LTU, LUX, SVN, SWE"
2019,0.0,0.0,20,"AUS, AUT, BGR, CAN, CHE, CZE, DEU, DNK, EST, FIN, HUN, IRL, KOR, LUX, NZL, POL, ROU, SVN, SWE, USA",20,20,1.0,,
2019,0.05,0.0,9,"AUS, CAN, CHE, CZE, EST, KOR, LUX, SWE, USA",20,9,0.45,,"AUT, BGR, DEU, DNK, FIN, HUN, IRL, NZL, POL, ROU, SVN"
2019,0.1,0.0,5,"AUS, CAN, EST, KOR, USA",20,5,0.25,,"AUT, BGR, CHE, CZE, DEU, DNK, FIN, HUN, IRL, LUX, NZL, POL, ROU, SVN, SWE"
2019,0.15,0.0,3,"AUS, CAN, KOR",20,3,0.15,,"AUT, BGR, CHE, CZE, DEU, DNK, EST, FIN, HUN, IRL, LUX, NZL, POL, ROU, SVN, SWE, USA"
2019,0.2,0.0,3,"AUS, CAN, KOR",20,3,0.15,,"AUT, BGR, CHE, CZE, DEU, DNK, EST, FIN, HUN, IRL, LUX, NZL, POL, ROU, SVN, SWE, USA"
