Country,Year,energy_import_dependency_raw,gdp_growth,inflation_cpi,productivity_gdp_per_hour,public_debt_gdp_canonical,public_debt_gdp_eurostat,public_debt_gdp_worldbank,rd_gdp,tertiary_education_25_64,unemployment_rate,Recovery_2007,Recovery_2019,Recovery_2007_status,Recovery_2019_status,wgi_va_score,wgi_pv_score,wgi_ge_score,wgi_rq_score,wgi_rl_score,wgi_cc_score,wgi_six_dimension_mean_score,wgi_six_dimension_available_count,governance_context_score_0_100,governance_context_role,shock_id,shock_label,baseline_year,poset_temporal_design,final5_raw_variables_available,complete_case_final5_raw,gdp_growth_volatility_sd,gdp_growth_stability_score_0_100,years_available,window_start,window_end,sufficient_window_coverage,volatility_feature_role,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,final5_score_variables_available,complete_case_final5_scores
AUT,2007,70.1725628388934,3.77522447023948,2.168556,76.8400778001229,65.8,65.8,,2.433598435,25.092672,4.858,2.0,2.0,recovered,recovered,1.6046687,1.3179972,1.7741679,1.8293257,1.9455459,1.9654354,1.739523466666667,6.0,93.03575950490116,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.0098134149258915,80.57680954963733,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,38.530287984111226,80.60463290145269,68.73029725083978,33.275741765017905,22.62007222087811,5,True
BEL,2007,91.1428349762183,3.67692462515804,1.823056,84.6486740483391,87.5,87.5,,1.849994631,32.094864,7.458,1.0,1.0,recovered,recovered,1.5789576,0.8536941,1.5124984,1.4648803,1.3582734,1.3866548,1.3591597666666668,6.0,84.03094210703209,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.0325500971058534,79.75103385786294,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,16.981132075471695,46.577673079439855,48.53596129441771,53.51127611716117,9.613947055901342,5,True
CAN,2007,-54.5900488468931,2.04990462170888,2.138384,53.5208456368105,39.1585639491399,,39.1585639491399,1.903577511,48.181564,6.152,1.0,1.0,recovered,recovered,1.5813123,1.0422531,1.820534,1.6474877,1.7329158,1.9344584,1.62649355,6.0,90.35986335582147,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,0.5834257445189897,96.06282332717258,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,64.98653033849067,63.66967674388169,50.39007991533172,100.0,100.0,5,True
CZE,2007,25.13008634507,5.48882595164516,2.853124,44.8732072090013,27.3,27.3,,1.296699473,13.732669,5.316,5.0,2.0,recovered,recovered,0.9560787,1.0971281,0.6145105,1.1204236,0.7260533,0.4278635999999999,0.8236762999999999,6.0,71.35378380588182,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.9613866934507995,46.0165304320248,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,76.76266137040716,74.61065305588274,29.390389885987307,0.44663183102145004,50.55619451737794,5,True
DEU,2007,60.5578292354181,2.88911741380249,2.298341,75.0604057866086,63.7,63.7,,2.419182526,24.299988,8.637,2.0,2.0,recovered,recovered,1.57531,1.0605417,1.7597094,1.5280349,1.7387655,1.6554474,1.55296815,6.0,88.61920618715561,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.730763070754355,54.392571406882254,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,40.61569016881827,31.14775552938096,68.23146618176881,30.98497562887163,28.58329615310983,5,True
DNK,2007,-26.7532599087598,0.987173815945138,1.693266,79.3694854773773,29.5,29.5,,2.509208695,30.903458,3.376,7.0,1.0,recovered,recovered,1.7382375,1.2633404,2.2040874,2.1560402,2.010769,2.3189895,1.9485773333333332,6.0,97.98494865110987,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.388859100661754,66.810213751923,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,74.57795431976167,100.0,71.3466252831917,50.06824898503602,82.73514245549566,5,True
ESP,2007,86.040683918047,3.53350013165971,2.786798,53.7219167698663,35.7,35.7,31.7331273426985,1.238223938,29.27644,8.232,8.0,2.0,recovered,recovered,1.3143608999999998,0.0389643999999999,1.1248022,1.2435889999999998,1.1737574,1.0458322,0.990217683333333,6.0,75.29652267950509,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,0.4750205981964045,100.0,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,68.42105263157895,36.44810888627143,27.36697161673024,45.36635297439316,12.778389311997874,5,True
EST,2007,25.6676732569844,7.57092119843527,6.601326,39.1653791153899,3.9,3.9,,1.058689005,33.146008,4.582,8.0,1.0,recovered,recovered,1.0412227,0.7383006,0.9948635,1.5488484,1.1225532,0.9936845,1.0732454833333331,6.0,77.26214184333904,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.2918542641989683,70.33334150211493,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,100.0,84.21672555948174,21.15455708470343,56.54896210478465,50.22277382461701,5,True
FIN,2007,54.6636571657423,5.31280178224827,2.510666,72.0064017905766,36.0,36.0,,3.337273481,36.357056,6.827,8.0,1.0,recovered,recovered,1.6854044,1.5017361,1.8931493,1.7544417,1.9411196,2.3313967,1.8512079666666663,6.0,95.67980395149873,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.3856453698886169,66.92693354117628,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,68.12313803376365,54.83575448239758,100.0,65.82852372068734,32.23896352738612,5,True
FRA,2007,51.9702514233555,2.53048188351065,1.487998,77.9775332888031,65.5,65.5,,2.028152442,26.646099,7.994,2.0,2.0,recovered,recovered,1.4100222999999998,0.6512555999999999,1.5196923999999998,1.3437547,1.3042062,1.4835556,1.2854144666666667,6.0,82.28507897537398,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,0.8356815805452749,86.90111996825789,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,38.82820258192651,39.562884439209526,54.70072352512234,37.76496819897556,33.909460313319514,5,True
