,country,Energy_Import_Dependency_scaled,Public_Debt_pct_GDP_scaled,R&D_Expenditure_pct_GDP_scaled,Tertiary_Education_Attainment_scaled,Gov_Score_scaled,Energy_Import_Dependency_level,Public_Debt_pct_GDP_level,R&D_Expenditure_pct_GDP_level,Tertiary_Education_Attainment_level,Gov_Score_level,profile_code
18,AUS,1.0,0.7073260619977038,0.2687281831971782,0.7083287339235297,0.8405450016506106,4,2,2,4,3,42243
42,AUT,0.25523700000000005,0.6440872560275546,0.5162198219931647,0.38069866874682645,0.8267739063453476,1,1,4,1,3,11413
66,BEL,0.090698,0.49081515499425943,0.5175722353199188,0.5498661878374433,0.8240749077158547,0,0,4,2,3,00423
90,CAN,1.0,0.7453369690011481,0.2624961163806495,1.0,0.8760161259666076,4,2,2,4,3,42243
114,CHE,0.44596800000000003,0.9428570608495982,0.5055284463695012,0.6416679545014118,0.8948190830607325,2,4,4,3,4,24434
138,CHL,0.30774100000000004,0.9762020665901263,0.004185170970630695,0.27216240945295234,0.6957654332102876,2,4,0,1,2,24012
162,COL,1.0,0.6343059701492537,0.00045689639417365757,0.13822514294965668,0.34541780458769744,4,1,0,0,0,41000
186,CRI,0.420362,0.8258605051664752,0.005702066999287243,0.16711434255423013,0.7364604903814411,2,3,0,0,2,23002
210,CZE,0.589827,0.8817451205510908,0.28802748688707347,0.14615575196057506,0.6283624941228254,3,4,2,0,1,34201
234,DEU,0.3007599999999999,0.7146957520091848,0.5100791344554708,0.2856760887109632,0.8542820843712174,1,2,4,1,3,12413
258,DNK,0.5623239999999999,0.8318025258323765,0.4727232852678326,0.5421072901258644,0.9433050228584577,3,3,3,2,4,33324
282,ESP,0.17085899999999996,0.49081515499425943,0.16861304530584645,0.4990126600287985,0.7000290107339716,0,0,1,2,2,00122
306,EST,0.948823,1.0,0.23235923022095506,0.5669931634372677,0.8107859908166021,4,4,2,3,2,44232
330,FIN,0.555963,0.6768082663605052,0.4561288082314454,0.6790004439963597,0.9593689665176115,3,1,3,3,4,31334
354,FRA,0.502935,0.4879448909299655,0.34307436445711564,0.4820304125241316,0.7112831747746667,2,0,3,2,2,20322
378,GBR,0.634644,0.13907807118254875,0.42557157738911117,0.7198113138122118,0.7751708132008842,3,0,3,4,2,30342
402,GRC,0.12501000000000004,0.0,0.17232304402653653,0.3345009701688413,0.5743545111691326,0,0,1,1,0,00110
426,HUN,0.30187299999999995,0.6785304247990815,0.20929510024306888,0.189552103340766,0.3643027920330522,1,1,2,0,0,11200
450,IRL,0.24586200000000005,0.7313432835820896,0.14942339675055283,0.7126656707411306,0.823404659724098,1,2,0,4,3,12043
474,ISL,0.795111,0.5406630309988519,0.3640915985891039,0.5567052035882757,0.8405690105338977,4,1,3,3,3,41333
498,ISR,0.2926560000000001,0.7054540757749713,1.0,0.7847721513708694,0.4953432770124946,1,1,4,4,0,11440
522,ITA,0.17772000000000004,0.28300803673937996,0.20763199736827673,0.035355356533982855,0.6303332232926182,0,0,1,0,1,00101
546,JPN,0.09441000000000002,0.7054540757749713,0.529762231116472,0.8444222037428158,0.6945549853445775,0,2,4,4,1,02441
570,LTU,0.209071,0.8473019517795637,0.12199133724436646,0.6106838770448977,0.692458209537529,0,4,0,3,1,04031
594,LUX,0.0,0.9236509758897818,0.15764753184567865,0.8190334616262043,0.8814541380310715,0,4,1,4,4,04144
618,LVA,0.515814,0.8340987370838117,0.062265840597986,0.4281375947171793,0.6371437431849785,2,3,0,2,1,23021
642,MEX,0.8170060000000001,0.8144236509758898,0.0,0.0,0.29482908676210196,4,3,0,0,0,43000
666,NLD,0.21745500000000006,0.777841561423651,0.3327850576603249,0.5533936285295871,0.9217270390044316,1,3,3,2,4,13324
690,NOR,1.0,0.7054540757749713,0.3319809200065793,0.6347234589524139,1.0,4,2,3,3,4,42334
714,NZL,0.681557,0.8635401836969001,0.20920372096423412,0.5105124110474145,0.9295899482808639,3,4,2,2,4,34224
738,POL,0.541183,0.7921928817451206,0.18080304110239961,0.3375500722413967,0.49430889429088765,3,3,1,1,0,33110
762,PRT,0.15643500000000002,0.3851894374282434,0.1965385529177404,0.19972722433590656,0.7415683803007114,0,0,1,1,2,00112
786,SVK,0.30527100000000007,0.7761194029850746,0.09172652009430342,0.18476381110775866,0.6240629032742113,2,2,0,0,0,22000
810,SVN,0.471508,0.6727898966704937,0.31757954566222557,0.36866661270025824,0.6777687744465453,2,1,2,1,1,21211
834,SWE,0.679803,0.8450057405281286,0.5641939433813988,0.6308256124574095,0.9214289287036204,3,3,4,3,4,33434
858,TUR,0.278026,0.8595861079219287,0.1781530420161924,0.09068809623682422,0.0,1,4,1,0,0,14100
882,USA,1.0,0.4719873708381171,0.5160187875797283,0.7380151645607503,0.6761481748246851,4,0,4,4,1,40441
