,epsilon_margin,is_valid_poset_dag,dominance_relations,comparability_ratio,num_pareto_profiles,pareto_profiles
0,0.0,True,95,0.151,17,"33434, 44232, 33324, 24434, 34224, 42334, 31334, 42243, 31333, 13324, 40441, 30342, 34201, 02442, 04144, 12143, 12440"
1,0.025,True,95,0.151,17,"33434, 44232, 33324, 24434, 34224, 42334, 31334, 42243, 31333, 13324, 40441, 30342, 34201, 02442, 04144, 12143, 12440"
2,0.05,True,95,0.151,17,"33434, 44232, 33324, 24434, 34224, 42334, 31334, 42243, 31333, 13324, 40441, 30342, 34201, 02442, 04144, 12143, 12440"
3,0.075,True,95,0.151,17,"33434, 44232, 33324, 24434, 34224, 42334, 31334, 42243, 31333, 13324, 40441, 30342, 34201, 02442, 04144, 12143, 12440"
4,0.1,True,95,0.151,17,"33434, 44232, 33324, 24434, 34224, 42334, 31334, 42243, 31333, 13324, 40441, 30342, 34201, 02442, 04144, 12143, 12440"
5,0.125,True,95,0.151,17,"33434, 44232, 33324, 24434, 34224, 42334, 31334, 42243, 31333, 13324, 40441, 30342, 34201, 02442, 04144, 12143, 12440"
6,0.15,True,95,0.151,17,"33434, 44232, 33324, 24434, 34224, 42334, 31334, 42243, 31333, 13324, 40441, 30342, 34201, 02442, 04144, 12143, 12440"
7,0.2,True,95,0.151,17,"33434, 44232, 33324, 24434, 34224, 42334, 31334, 42243, 31333, 13324, 40441, 30342, 34201, 02442, 04144, 12143, 12440"
8,0.25,True,93,0.148,17,"33434, 44232, 33324, 24434, 34224, 42334, 42243, 31333, 31334, 13324, 40441, 30342, 34201, 02442, 04144, 12143, 12440"
9,0.3,True,88,0.14,17,"33434, 44232, 24434, 33324, 34224, 42334, 42243, 31333, 31334, 13324, 40441, 30342, 34201, 02442, 04144, 12143, 12440"
10,0.4,True,74,0.117,20,"44232, 33434, 24434, 42334, 33324, 34224, 42243, 31333, 31334, 13324, 20322, 40441, 12413, 30342, 34201, 02442, 04031, 04144, 12143, 12440"
11,0.5,True,57,0.09,22,"44232, 33434, 42334, 42243, 24434, 34224, 31333, 33324, 31334, 40441, 11423, 13324, 30342, 34201, 02442, 04031, 04144, 12143, 12413, 12440, 20322, 23110"
12,0.75,True,23,0.037,30,"42243, 44232, 42334, 24434, 34224, 40441, 13324, 33324, 33434, 00423, 02442, 04031, 04144, 11210, 11423, 12143, 12413, 12440, 20322, 21211, 22001, 23002, 23021, 23110, 24012, 30342, 31333, 31334, 34201, 43000"
13,1.0,True,0,0.0,36,"00110, 00112, 00122, 00201, 00423, 02442, 04031, 04144, 11210, 11423, 12143, 12413, 12440, 13324, 14100, 20322, 21211, 22001, 23002, 23021, 23110, 24012, 24434, 30342, 31333, 31334, 33324, 33434, 34201, 34224, 40441, 41000, 42243, 42334, 43000, 44232"
