from_profile,to_profile
11413,00110
13324,00101
13324,00110
21211,00110
24434,00110
24434,11200
24434,14100
24434,00112
24434,00101
30342,00110
31334,00101
31334,00110
33324,11200
33324,00101
33324,00110
33434,00110
33434,00122
33434,23021
33434,00423
33434,23002
33434,11200
33434,00112
33434,00101
34201,14100
34224,00110
34224,00122
34224,14100
34224,00112
34224,00101
40441,00101
40441,00110
41333,00112
41333,00101
41333,00110
41333,00122
42243,00110
42243,00122
42243,11200
42243,41000
42243,00112
42243,00101
42334,00122
42334,21211
42334,11200
42334,41000
42334,00112
42334,00101
44232,24012
44232,00110
44232,00122
44232,22000
44232,23002
44232,11200
44232,43000
44232,14100
44232,00112
44232,00101
