,profile_a,profile_b,relationship
0,00110,00112,incomparable
1,00110,00122,incomparable
2,00110,00201,incomparable
3,00110,00423,incomparable
4,00110,02442,incomparable
5,00110,04031,incomparable
6,00110,04144,incomparable
7,00110,11210,incomparable
8,00110,11423,11423 dominates 00110
9,00110,12143,incomparable
10,00110,12413,incomparable
11,00110,12440,incomparable
12,00110,13324,13324 dominates 00110
13,00110,14100,incomparable
14,00110,20322,incomparable
15,00110,21211,21211 dominates 00110
16,00110,22001,incomparable
17,00110,23002,incomparable
18,00110,23021,incomparable
19,00110,23110,incomparable
20,00110,24012,incomparable
21,00110,24434,24434 dominates 00110
22,00110,30342,30342 dominates 00110
23,00110,31333,31333 dominates 00110
24,00110,31334,31334 dominates 00110
25,00110,33324,33324 dominates 00110
26,00110,33434,33434 dominates 00110
27,00110,34201,incomparable
28,00110,34224,34224 dominates 00110
29,00110,40441,40441 dominates 00110
30,00110,41000,incomparable
31,00110,42243,42243 dominates 00110
32,00110,42334,42334 dominates 00110
33,00110,43000,incomparable
34,00110,44232,44232 dominates 00110
35,00112,00122,incomparable
36,00112,00201,incomparable
37,00112,00423,incomparable
38,00112,02442,incomparable
39,00112,04031,incomparable
40,00112,04144,incomparable
41,00112,11210,incomparable
42,00112,11423,incomparable
43,00112,12143,incomparable
44,00112,12413,incomparable
45,00112,12440,incomparable
46,00112,13324,incomparable
47,00112,14100,incomparable
48,00112,20322,incomparable
49,00112,21211,incomparable
50,00112,22001,incomparable
51,00112,23002,incomparable
52,00112,23021,incomparable
53,00112,23110,incomparable
54,00112,24012,incomparable
55,00112,24434,24434 dominates 00112
56,00112,30342,incomparable
57,00112,31333,31333 dominates 00112
58,00112,31334,incomparable
59,00112,33324,incomparable
60,00112,33434,33434 dominates 00112
61,00112,34201,incomparable
62,00112,34224,34224 dominates 00112
63,00112,40441,incomparable
64,00112,41000,incomparable
65,00112,42243,42243 dominates 00112
66,00112,42334,42334 dominates 00112
67,00112,43000,incomparable
68,00112,44232,44232 dominates 00112
69,00122,00201,incomparable
70,00122,00423,incomparable
71,00122,02442,incomparable
72,00122,04031,incomparable
73,00122,04144,incomparable
74,00122,11210,incomparable
75,00122,11423,incomparable
76,00122,12143,incomparable
77,00122,12413,incomparable
78,00122,12440,incomparable
79,00122,13324,incomparable
80,00122,14100,incomparable
81,00122,20322,incomparable
82,00122,21211,incomparable
83,00122,22001,incomparable
84,00122,23002,incomparable
85,00122,23021,incomparable
86,00122,23110,incomparable
87,00122,24012,incomparable
88,00122,24434,incomparable
89,00122,30342,incomparable
90,00122,31333,31333 dominates 00122
91,00122,31334,incomparable
92,00122,33324,incomparable
93,00122,33434,33434 dominates 00122
94,00122,34201,incomparable
95,00122,34224,34224 dominates 00122
96,00122,40441,incomparable
97,00122,41000,incomparable
98,00122,42243,42243 dominates 00122
99,00122,42334,42334 dominates 00122
100,00122,43000,incomparable
101,00122,44232,44232 dominates 00122
102,00201,00423,incomparable
103,00201,02442,incomparable
104,00201,04031,incomparable
105,00201,04144,incomparable
106,00201,11210,incomparable
107,00201,11423,incomparable
108,00201,12143,incomparable
109,00201,12413,incomparable
110,00201,12440,incomparable
111,00201,13324,incomparable
112,00201,14100,incomparable
113,00201,20322,incomparable
114,00201,21211,incomparable
115,00201,22001,incomparable
116,00201,23002,incomparable
117,00201,23021,incomparable
118,00201,23110,incomparable
119,00201,24012,incomparable
120,00201,24434,24434 dominates 00201
121,00201,30342,incomparable
122,00201,31333,31333 dominates 00201
123,00201,31334,31334 dominates 00201
124,00201,33324,33324 dominates 00201
125,00201,33434,33434 dominates 00201
126,00201,34201,incomparable
127,00201,34224,34224 dominates 00201
128,00201,40441,40441 dominates 00201
129,00201,41000,incomparable
130,00201,42243,42243 dominates 00201
131,00201,42334,42334 dominates 00201
132,00201,43000,incomparable
133,00201,44232,44232 dominates 00201
134,00423,02442,incomparable
135,00423,04031,incomparable
136,00423,04144,incomparable
137,00423,11210,incomparable
138,00423,11423,incomparable
139,00423,12143,incomparable
140,00423,12413,incomparable
141,00423,12440,incomparable
142,00423,13324,incomparable
143,00423,14100,incomparable
144,00423,20322,incomparable
145,00423,21211,incomparable
146,00423,22001,incomparable
147,00423,23002,incomparable
148,00423,23021,incomparable
149,00423,23110,incomparable
150,00423,24012,incomparable
151,00423,24434,incomparable
152,00423,30342,incomparable
153,00423,31333,incomparable
154,00423,31334,incomparable
155,00423,33324,incomparable
156,00423,33434,33434 dominates 00423
157,00423,34201,incomparable
158,00423,34224,incomparable
159,00423,40441,incomparable
160,00423,41000,incomparable
161,00423,42243,incomparable
162,00423,42334,incomparable
163,00423,43000,incomparable
164,00423,44232,incomparable
165,02442,04031,incomparable
166,02442,04144,incomparable
167,02442,11210,incomparable
168,02442,11423,incomparable
169,02442,12143,incomparable
170,02442,12413,incomparable
171,02442,12440,incomparable
172,02442,13324,incomparable
173,02442,14100,incomparable
174,02442,20322,incomparable
175,02442,21211,incomparable
176,02442,22001,incomparable
177,02442,23002,incomparable
178,02442,23021,incomparable
179,02442,23110,incomparable
180,02442,24012,incomparable
181,02442,24434,incomparable
182,02442,30342,incomparable
183,02442,31333,incomparable
184,02442,31334,incomparable
185,02442,33324,incomparable
186,02442,33434,incomparable
187,02442,34201,incomparable
188,02442,34224,incomparable
189,02442,40441,incomparable
190,02442,41000,incomparable
191,02442,42243,incomparable
192,02442,42334,incomparable
193,02442,43000,incomparable
194,02442,44232,incomparable
195,04031,04144,incomparable
196,04031,11210,incomparable
197,04031,11423,incomparable
198,04031,12143,incomparable
199,04031,12413,incomparable
200,04031,12440,incomparable
201,04031,13324,incomparable
202,04031,14100,incomparable
203,04031,20322,incomparable
204,04031,21211,incomparable
205,04031,22001,incomparable
206,04031,23002,incomparable
207,04031,23021,incomparable
208,04031,23110,incomparable
209,04031,24012,incomparable
210,04031,24434,incomparable
211,04031,30342,incomparable
212,04031,31333,incomparable
213,04031,31334,incomparable
214,04031,33324,incomparable
215,04031,33434,incomparable
216,04031,34201,incomparable
217,04031,34224,incomparable
218,04031,40441,incomparable
219,04031,41000,incomparable
220,04031,42243,incomparable
221,04031,42334,incomparable
222,04031,43000,incomparable
223,04031,44232,incomparable
224,04144,11210,incomparable
225,04144,11423,incomparable
226,04144,12143,incomparable
227,04144,12413,incomparable
228,04144,12440,incomparable
229,04144,13324,incomparable
230,04144,14100,incomparable
231,04144,20322,incomparable
232,04144,21211,incomparable
233,04144,22001,incomparable
234,04144,23002,incomparable
235,04144,23021,incomparable
236,04144,23110,incomparable
237,04144,24012,incomparable
238,04144,24434,incomparable
239,04144,30342,incomparable
240,04144,31333,incomparable
241,04144,31334,incomparable
242,04144,33324,incomparable
243,04144,33434,incomparable
244,04144,34201,incomparable
245,04144,34224,incomparable
246,04144,40441,incomparable
247,04144,41000,incomparable
248,04144,42243,incomparable
249,04144,42334,incomparable
250,04144,43000,incomparable
251,04144,44232,incomparable
252,11210,11423,incomparable
253,11210,12143,incomparable
254,11210,12413,incomparable
255,11210,12440,incomparable
256,11210,13324,incomparable
257,11210,14100,incomparable
258,11210,20322,incomparable
259,11210,21211,incomparable
260,11210,22001,incomparable
261,11210,23002,incomparable
262,11210,23021,incomparable
263,11210,23110,incomparable
264,11210,24012,incomparable
265,11210,24434,24434 dominates 11210
266,11210,30342,incomparable
267,11210,31333,incomparable
268,11210,31334,incomparable
269,11210,33324,33324 dominates 11210
270,11210,33434,33434 dominates 11210
271,11210,34201,incomparable
272,11210,34224,incomparable
273,11210,40441,incomparable
274,11210,41000,incomparable
275,11210,42243,42243 dominates 11210
276,11210,42334,42334 dominates 11210
277,11210,43000,incomparable
278,11210,44232,44232 dominates 11210
279,11423,12143,incomparable
280,11423,12413,incomparable
281,11423,12440,incomparable
282,11423,13324,incomparable
283,11423,14100,incomparable
284,11423,20322,incomparable
285,11423,21211,incomparable
286,11423,22001,incomparable
287,11423,23002,incomparable
288,11423,23021,incomparable
289,11423,23110,incomparable
290,11423,24012,incomparable
291,11423,24434,incomparable
292,11423,30342,incomparable
293,11423,31333,incomparable
294,11423,31334,incomparable
295,11423,33324,incomparable
296,11423,33434,incomparable
297,11423,34201,incomparable
