,profile_code,Energy_Import_Dependency_scaled,Public_Debt_pct_GDP_scaled,R&D_Expenditure_pct_GDP_scaled,Tertiary_Education_Attainment_scaled,Gov_Score_scaled,Energy_Import_Dependency_level,Public_Debt_pct_GDP_level,R&D_Expenditure_pct_GDP_level,Tertiary_Education_Attainment_level,Gov_Score_level,num_countries
0,00110,0.12501000000000004,0.0,0.17232304402653653,0.3723164769874671,0.5743545111691326,0,0,1,1,0,1
1,00112,0.15643500000000002,0.3851894374282434,0.1965385529177404,0.24520095043970563,0.7415683803007114,0,0,1,1,2,1
2,00122,0.17085899999999996,0.49081515499425943,0.16861304530584645,0.5274801548282013,0.7000290107339716,0,0,1,2,2,1
3,00201,0.17772000000000004,0.28300803673937996,0.20763199736827673,0.09016914957857207,0.6303332232926182,0,0,2,0,1,1
4,00423,0.090698,0.49081515499425943,0.5175722353199188,0.5754440436721029,0.8240749077158547,0,0,4,2,3,1
5,02442,0.09441000000000002,0.706349598163031,0.529762231116472,0.8532625670663849,0.6945549853445775,0,2,4,4,2,1
6,04031,0.209071,0.8473019517795637,0.12199133724436646,0.6328059025359711,0.692458209537529,0,4,0,3,1,1
7,04144,0.0,0.9236509758897818,0.15764753184567865,0.8293164839283608,0.8814541380310715,0,4,1,4,4,1
8,11210,0.30187299999999995,0.6785304247990815,0.20929510024306888,0.2356040081347274,0.3643027920330522,1,1,2,1,0,1
9,11423,0.25523700000000005,0.6440872560275546,0.5162198219931647,0.415889093773787,0.8267739063453476,1,1,4,2,3,1
10,12143,0.24586200000000005,0.7313432835820896,0.14942339675055283,0.7289928069205338,0.823404659724098,1,2,1,4,3,1
11,12413,0.3007599999999999,0.7146957520091848,0.5100791344554708,0.3262659611633863,0.8542820843712174,1,2,4,1,3,1
12,12440,0.2926560000000001,0.706349598163031,1.0,0.7970019966637437,0.4953432770124946,1,2,4,4,0,1
13,13324,0.21745500000000006,0.777841561423651,0.3327850576603249,0.5787710453679945,0.9217270390044316,1,3,3,2,4,1
14,14100,0.278026,0.8595861079219287,0.1781530420161924,0.14235772903213867,0.0,1,4,1,0,0,1
15,20322,0.502935,0.4879448909299655,0.34307436445711564,0.5114628858847673,0.7112831747746667,2,0,3,2,2,1
16,21211,0.471508,0.6727898966704937,0.31757954566222557,0.4045407326344624,0.6777687744465453,2,1,2,1,1,1
17,22001,0.30527100000000007,0.7761194029850746,0.09172652009430342,0.23108779999120824,0.6240629032742113,2,2,0,0,1,1
18,23002,0.420362,0.8258605051664752,0.005702066999287243,0.2144412233556445,0.7364604903814411,2,3,0,0,2,1
19,23021,0.515814,0.8340987370838117,0.062265840597986,0.460632407957966,0.6371437431849785,2,3,0,2,1,1
20,23110,0.541183,0.7921928817451206,0.18080304110239961,0.37519232059525104,0.49430889429088765,2,3,1,1,0,1
21,24012,0.30774100000000004,0.9762020665901263,0.004185170970630695,0.31352016676653843,0.6957654332102876,2,4,0,1,2,1
22,24434,0.44596800000000003,0.9428570608495982,0.5055284463695012,0.6620293784892451,0.8948190830607325,2,4,4,3,4,1
23,30342,0.634644,0.13907807118254875,0.42557157738911117,0.7357324146674965,0.7751708132008842,3,0,3,4,2,1
24,31333,0.795111,0.5406630309988519,0.3640915985891039,0.5818944475164326,0.8405690105338977,3,1,3,3,3,1
25,31334,0.555963,0.6768082663605052,0.4561288082314454,0.6972405320426355,0.9593689665176115,3,1,3,3,4,1
26,33324,0.5623239999999999,0.8318025258323765,0.4727232852678326,0.5681260281198739,0.9433050228584577,3,3,3,2,4,1
27,33434,0.679803,0.8450057405281286,0.5641939433813988,0.6518031284921372,0.9214289287036204,3,3,4,3,4,1
28,34201,0.589827,0.8817451205510908,0.28802748688707347,0.1946735582028638,0.6283624941228254,3,4,2,0,1,1
29,34224,0.681557,0.8635401836969001,0.20920372096423412,0.5383264579925549,0.9295899482808639,3,4,2,2,4,1
30,40441,1.0,0.4719873708381171,0.5160187875797283,0.752901871959021,0.6761481748246851,4,0,4,4,1,1
31,41000,1.0,0.6575970149253731,0.027048266535080502,0.09359679423258009,0.41731840781089,4,1,0,0,0,2
32,42243,1.0,0.7263315154994259,0.2656121497889139,0.8624511534608452,0.8582805638086091,4,2,2,4,3,2
33,42334,1.0,0.706349598163031,0.3319809200065793,0.6554794885024096,1.0,4,2,3,3,4,1
34,43000,0.8170060000000001,0.8144236509758898,0.0,0.05682278278936011,0.29482908676210196,4,3,0,0,0,1
35,44232,0.948823,1.0,0.23235923022095506,0.5915978168575797,0.8107859908166021,4,4,2,3,2,1
