,profile_code,dominates_count,dominated_by_count,incomparable_with_count,is_pareto_frontier
35,44232,10,0,25,True
26,33434,8,0,27,True
33,42334,7,0,28,True
32,42243,6,0,29,True
21,24434,5,0,30,True
28,34224,5,0,30,True
31,41333,4,0,31,True
25,33324,3,0,32,True
13,13324,2,0,33,True
23,31334,2,0,33,True
29,40441,2,0,33,True
9,11413,1,0,34,True
22,30342,1,0,34,True
27,34201,1,0,34,True
5,02441,0,0,35,True
6,04031,0,0,35,True
7,04144,0,0,35,True
10,11440,0,0,35,True
11,12043,0,0,35,True
12,12413,0,0,35,True
15,20322,0,0,35,True
24,33110,0,0,35,True
16,21211,1,1,33,False
0,00101,0,11,24,False
1,00110,0,14,21,False
2,00112,0,7,28,False
3,00122,0,6,29,False
4,00423,0,1,34,False
8,11200,0,6,29,False
14,14100,0,4,31,False
17,22000,0,1,34,False
18,23002,0,2,33,False
19,23021,0,1,34,False
20,24012,0,1,34,False
30,41000,0,2,33,False
34,43000,0,1,34,False
