,profile_code,Energy_Import_Dependency_level,Public_Debt_pct_GDP_level,R&D_Expenditure_pct_GDP_level,Tertiary_Education_Attainment_level,Gov_Score_level
0,42243,4,2,2,4,3
1,11423,1,1,4,2,3
2,00423,0,0,4,2,3
3,24434,2,4,4,3,4
4,24012,2,4,0,1,2
5,41000,4,1,0,0,0
6,23002,2,3,0,0,2
7,34201,3,4,2,0,1
8,12413,1,2,4,1,3
9,33324,3,3,3,2,4
10,00122,0,0,1,2,2
11,44232,4,4,2,3,2
12,31334,3,1,3,3,4
13,20322,2,0,3,2,2
14,30342,3,0,3,4,2
15,00110,0,0,1,1,0
16,11210,1,1,2,1,0
17,12143,1,2,1,4,3
18,31333,3,1,3,3,3
19,12440,1,2,4,4,0
20,00201,0,0,2,0,1
21,02442,0,2,4,4,2
22,04031,0,4,0,3,1
23,04144,0,4,1,4,4
24,23021,2,3,0,2,1
25,43000,4,3,0,0,0
26,13324,1,3,3,2,4
27,42334,4,2,3,3,4
28,34224,3,4,2,2,4
29,23110,2,3,1,1,0
30,00112,0,0,1,1,2
31,22001,2,2,0,0,1
32,21211,2,1,2,1,1
33,33434,3,3,4,3,4
34,14100,1,4,1,0,0
35,40441,4,0,4,4,1
