shock_id,baseline_year,dominating_profile,dominated_profile,dominating_node_id,dominated_node_id,dominating_digit_sum,dominated_digit_sum,digit_sum_difference
2007,2007,4-5-5-4-5,3-5-4-4-4,2007__4-5-5-4-5,2007__3-5-4-4-4,23.0,20.0,3.0
2007,2007,4-5-5-4-5,3-3-5-4-4,2007__4-5-5-4-5,2007__3-3-5-4-4,23.0,19.0,4.0
2007,2007,4-5-5-4-5,2-4-5-3-2,2007__4-5-5-4-5,2007__2-4-5-3-2,23.0,16.0,7.0
2007,2007,4-5-5-4-5,4-3-3-1-5,2007__4-5-5-4-5,2007__4-3-3-1-5,23.0,16.0,7.0
2007,2007,4-5-5-4-5,4-4-2-4-1,2007__4-5-5-4-5,2007__4-4-2-4-1,23.0,15.0,8.0
2007,2007,4-5-5-4-5,2-2-4-3-3,2007__4-5-5-4-5,2007__2-2-4-3-3,23.0,14.0,9.0
2007,2007,4-5-5-4-5,1-2-4-4-1,2007__4-5-5-4-5,2007__1-2-4-4-1,23.0,12.0,11.0
2007,2007,4-5-5-4-5,2-1-4-2-3,2007__4-5-5-4-5,2007__2-1-4-2-3,23.0,12.0,11.0
2007,2007,4-5-5-4-5,4-1-3-3-1,2007__4-5-5-4-5,2007__4-1-3-3-1,23.0,12.0,11.0
2007,2007,4-5-5-4-5,3-1-1-2-4,2007__4-5-5-4-5,2007__3-1-1-2-4,23.0,11.0,12.0
2007,2007,4-5-5-4-5,2-2-2-1-3,2007__4-5-5-4-5,2007__2-2-2-1-3,23.0,10.0,13.0
2007,2007,4-5-5-4-5,1-3-2-1-2,2007__4-5-5-4-5,2007__1-3-2-1-2,23.0,9.0,14.0
2007,2007,4-5-5-4-5,4-1-1-1-2,2007__4-5-5-4-5,2007__4-1-1-1-2,23.0,9.0,14.0
2007,2007,4-5-5-4-5,1-1-1-2-2,2007__4-5-5-4-5,2007__1-1-1-2-2,23.0,7.0,16.0
2007,2007,4-5-5-4-5,1-2-2-1-1,2007__4-5-5-4-5,2007__1-2-2-1-1,23.0,7.0,16.0
2007,2007,5-5-2-5-5,5-5-1-3-3,2007__5-5-2-5-5,2007__5-5-1-3-3,22.0,17.0,5.0
2007,2007,5-5-2-5-5,4-4-2-4-1,2007__5-5-2-5-5,2007__4-4-2-4-1,22.0,15.0,7.0
2007,2007,5-5-2-5-5,5-3-1-2-2,2007__5-5-2-5-5,2007__5-3-1-2-2,22.0,13.0,9.0
2007,2007,5-5-2-5-5,3-1-1-2-4,2007__5-5-2-5-5,2007__3-1-1-2-4,22.0,11.0,11.0
2007,2007,5-5-2-5-5,2-2-2-1-3,2007__5-5-2-5-5,2007__2-2-2-1-3,22.0,10.0,12.0
2007,2007,5-5-2-5-5,1-3-2-1-2,2007__5-5-2-5-5,2007__1-3-2-1-2,22.0,9.0,13.0
2007,2007,5-5-2-5-5,4-1-1-1-2,2007__5-5-2-5-5,2007__4-1-1-1-2,22.0,9.0,13.0
2007,2007,5-5-2-5-5,1-1-1-2-2,2007__5-5-2-5-5,2007__1-1-1-2-2,22.0,7.0,15.0
2007,2007,5-5-2-5-5,1-2-2-1-1,2007__5-5-2-5-5,2007__1-2-2-1-1,22.0,7.0,15.0
2007,2007,2-4-5-5-4,2-4-5-3-2,2007__2-4-5-5-4,2007__2-4-5-3-2,20.0,16.0,4.0
2007,2007,2-4-5-5-4,2-2-4-3-3,2007__2-4-5-5-4,2007__2-2-4-3-3,20.0,14.0,6.0
2007,2007,2-4-5-5-4,1-2-4-4-1,2007__2-4-5-5-4,2007__1-2-4-4-1,20.0,12.0,8.0
2007,2007,2-4-5-5-4,2-1-4-2-3,2007__2-4-5-5-4,2007__2-1-4-2-3,20.0,12.0,8.0
2007,2007,2-4-5-5-4,2-2-2-1-3,2007__2-4-5-5-4,2007__2-2-2-1-3,20.0,10.0,10.0
