profile_code,layer,layer_interpretation,shock_id,baseline_year
1-4-3-5-5,1,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
2-4-5-5-4,1,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
3-2-5-5-3,1,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
3-3-4-5-5,1,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
4-5-5-4-5,1,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
5-4-3-2-4,1,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
5-5-2-5-5,1,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
5-5-3-3-1,1,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
2-4-5-3-2,2,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
3-3-5-4-4,2,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
3-5-4-4-4,2,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
4-1-3-3-1,2,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
4-3-3-1-5,2,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
4-4-2-4-1,2,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
5-5-1-3-3,2,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
1-2-4-4-1,3,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
1-3-2-1-2,3,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
2-2-4-3-3,3,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
3-1-1-2-4,3,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
5-3-1-2-2,3,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
2-1-4-2-3,4,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
2-2-2-1-3,4,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
4-1-1-1-2,4,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
1-1-1-2-2,5,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
1-2-2-1-1,5,Layer 1 is the undominated frontier within the remaining profiles.,2007,2007
1-5-5-5-5,1,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
3-3-3-5-5,1,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
3-4-2-5-2,1,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
3-5-5-2-2,1,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
4-2-5-4-4,1,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
4-3-4-3-4,1,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
4-5-2-2-3,1,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
4-5-5-5-1,1,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
5-3-2-5-1,1,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
5-4-3-4-5,1,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
5-4-5-4-3,1,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
5-5-4-1-4,1,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
1-3-5-4-1,2,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
1-5-4-5-4,2,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
2-2-4-4-4,2,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
2-3-4-3-3,2,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
2-3-5-3-2,2,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
2-5-3-2-2,2,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
3-4-4-4-2,2,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
4-2-1-4-2,2,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
4-4-1-1-5,2,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
5-4-3-3-4,2,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
1-1-4-3-3,3,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
1-2-3-2-1,3,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
2-1-2-3-1,3,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
2-2-2-1-3,3,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
3-1-1-1-5,3,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
4-2-1-3-3,3,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
5-1-2-1-2,3,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
5-4-1-2-4,3,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
1-1-2-2-1,4,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
1-1-3-1-1,4,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
2-1-1-1-5,4,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
3-2-1-2-3,4,Layer 1 is the undominated frontier within the remaining profiles.,2019,2019
