,AUT,BEL,CAN,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HUN,IRL,ITA,LTU,LUX,LVA,NLD,POL,PRT,SVK,SVN,SWE,USA
AUT,0.0,0.3,0.4,0.5,0.3,0.35,0.4,0.6,0.3,0.2,0.4,0.45,0.4,0.35,0.35,0.45,0.35,0.45,0.3,0.55,0.45,0.55,0.4,0.25,0.2
BEL,0.3,0.0,0.4,0.6,0.3,0.55,0.3,0.7,0.3,0.2,0.4,0.35,0.4,0.35,0.35,0.65,0.45,0.55,0.4,0.55,0.25,0.55,0.6,0.35,0.4
CAN,0.4,0.4,0.0,0.3,0.4,0.25,0.5,0.3,0.2,0.3,0.2,0.65,0.5,0.45,0.55,0.55,0.55,0.55,0.2,0.45,0.65,0.65,0.4,0.15,0.2
CZE,0.5,0.6,0.3,0.0,0.4,0.35,0.4,0.4,0.5,0.4,0.4,0.55,0.3,0.45,0.35,0.45,0.45,0.35,0.4,0.35,0.45,0.35,0.2,0.35,0.5
DEU,0.3,0.3,0.4,0.4,0.0,0.55,0.3,0.7,0.3,0.1,0.5,0.25,0.2,0.55,0.35,0.55,0.55,0.45,0.4,0.25,0.35,0.35,0.4,0.35,0.4
DNK,0.35,0.55,0.25,0.35,0.55,0.0,0.55,0.25,0.35,0.45,0.35,0.8,0.65,0.4,0.7,0.4,0.4,0.6,0.15,0.6,0.8,0.7,0.35,0.2,0.25
ESP,0.4,0.3,0.5,0.4,0.3,0.55,0.0,0.6,0.4,0.3,0.6,0.35,0.4,0.25,0.45,0.45,0.25,0.35,0.5,0.35,0.35,0.25,0.4,0.45,0.6
EST,0.6,0.7,0.3,0.4,0.7,0.25,0.6,0.0,0.5,0.6,0.3,0.75,0.6,0.35,0.65,0.25,0.35,0.45,0.3,0.55,0.75,0.65,0.3,0.45,0.4
FIN,0.3,0.3,0.2,0.5,0.3,0.35,0.4,0.5,0.0,0.2,0.4,0.55,0.4,0.45,0.55,0.55,0.55,0.55,0.3,0.45,0.55,0.55,0.5,0.15,0.2
FRA,0.2,0.2,0.3,0.4,0.1,0.45,0.3,0.6,0.2,0.0,0.4,0.35,0.2,0.45,0.35,0.45,0.45,0.45,0.3,0.35,0.35,0.45,0.4,0.25,0.3
GBR,0.4,0.4,0.2,0.4,0.5,0.35,0.6,0.3,0.4,0.4,0.0,0.55,0.5,0.45,0.45,0.55,0.55,0.65,0.3,0.55,0.55,0.75,0.4,0.35,0.2
GRC,0.45,0.35,0.65,0.55,0.25,0.8,0.35,0.75,0.55,0.35,0.55,0.0,0.25,0.5,0.2,0.5,0.6,0.3,0.65,0.2,0.2,0.2,0.55,0.6,0.65
HUN,0.4,0.4,0.5,0.3,0.2,0.65,0.4,0.6,0.4,0.2,0.5,0.25,0.0,0.45,0.15,0.45,0.55,0.35,0.5,0.25,0.15,0.25,0.4,0.45,0.5
IRL,0.35,0.35,0.45,0.45,0.55,0.4,0.25,0.35,0.45,0.45,0.45,0.5,0.45,0.0,0.4,0.3,0.2,0.3,0.35,0.5,0.4,0.4,0.35,0.4,0.45
ITA,0.35,0.35,0.55,0.35,0.35,0.7,0.45,0.65,0.55,0.35,0.45,0.2,0.15,0.4,0.0,0.5,0.5,0.3,0.55,0.4,0.1,0.3,0.45,0.5,0.55
LTU,0.45,0.65,0.55,0.45,0.55,0.4,0.45,0.25,0.55,0.45,0.55,0.5,0.45,0.3,0.5,0.0,0.2,0.2,0.35,0.4,0.6,0.4,0.25,0.5,0.55
LUX,0.35,0.45,0.55,0.45,0.55,0.4,0.25,0.35,0.55,0.45,0.55,0.6,0.55,0.2,0.5,0.2,0.0,0.3,0.35,0.6,0.5,0.5,0.25,0.5,0.55
LVA,0.45,0.55,0.55,0.35,0.45,0.6,0.35,0.45,0.55,0.45,0.65,0.3,0.35,0.3,0.3,0.2,0.3,0.0,0.55,0.3,0.4,0.2,0.25,0.5,0.65
NLD,0.3,0.4,0.2,0.4,0.4,0.15,0.5,0.3,0.3,0.3,0.3,0.65,0.5,0.35,0.55,0.35,0.35,0.55,0.0,0.45,0.65,0.65,0.3,0.15,0.2
POL,0.55,0.55,0.45,0.35,0.25,0.6,0.35,0.55,0.45,0.35,0.55,0.2,0.25,0.5,0.4,0.4,0.6,0.3,0.45,0.0,0.4,0.2,0.35,0.4,0.55
PRT,0.45,0.25,0.65,0.45,0.35,0.8,0.35,0.75,0.55,0.35,0.55,0.2,0.15,0.4,0.1,0.6,0.5,0.4,0.65,0.4,0.0,0.3,0.55,0.6,0.65
SVK,0.55,0.55,0.65,0.35,0.35,0.7,0.25,0.65,0.55,0.45,0.75,0.2,0.25,0.4,0.3,0.4,0.5,0.2,0.65,0.2,0.3,0.0,0.45,0.6,0.75
SVN,0.4,0.6,0.4,0.2,0.4,0.35,0.4,0.3,0.5,0.4,0.4,0.55,0.4,0.35,0.45,0.25,0.25,0.25,0.3,0.35,0.55,0.45,0.0,0.35,0.4
SWE,0.25,0.35,0.15,0.35,0.35,0.2,0.45,0.45,0.15,0.25,0.35,0.6,0.45,0.4,0.5,0.5,0.5,0.5,0.15,0.4,0.6,0.6,0.35,0.0,0.15
USA,0.2,0.4,0.2,0.5,0.4,0.25,0.6,0.4,0.2,0.3,0.2,0.65,0.5,0.45,0.55,0.55,0.55,0.65,0.2,0.55,0.65,0.75,0.4,0.15,0.0
