shock_id,country_a,country_b,country_pair,ordinal_manhattan_distance_raw,ordinal_manhattan_distance_0_1,ordinal_similarity_0_1,ordinal_euclidean_distance,dimensions_different_count,dimensions_same_count,abs_diff_Debt capacity,abs_diff_Employment strength,abs_diff_R&D intensity,abs_diff_Tertiary human capital,abs_diff_Energy security,continuous_score_euclidean_distance_0_1,continuous_score_similarity_0_1,pair_type
2007,ITA,PRT,ITA-PRT,2.0,0.1,0.9,1.4142135623730951,2,3,0.0,1.0,0.0,0.0,1.0,0.17577516776959717,0.8242248322304029,most_similar
2007,DEU,FRA,DEU-FRA,2.0,0.1,0.9,1.4142135623730951,2,3,0.0,1.0,0.0,1.0,0.0,0.08141582489846597,0.918584175101534,most_similar
2007,SWE,USA,SWE-USA,3.0,0.15,0.85,1.7320508075688772,3,2,1.0,1.0,0.0,1.0,0.0,0.1911965688236451,0.8088034311763549,most_similar
2007,FIN,SWE,FIN-SWE,3.0,0.15,0.85,1.7320508075688772,3,2,0.0,1.0,0.0,1.0,1.0,0.09113808801774524,0.9088619119822547,most_similar
2007,HUN,ITA,HUN-ITA,3.0,0.15,0.85,1.7320508075688772,3,2,1.0,1.0,0.0,0.0,1.0,0.20785611532846401,0.792143884671536,most_similar
2007,DNK,NLD,DNK-NLD,3.0,0.15,0.85,1.7320508075688772,3,2,1.0,0.0,1.0,0.0,1.0,0.2543788454333846,0.7456211545666154,most_similar
2007,HUN,PRT,HUN-PRT,3.0,0.15,0.85,2.23606797749979,2,3,1.0,0.0,0.0,0.0,2.0,0.10363320891746249,0.8963667910825375,most_similar
2007,NLD,SWE,NLD-SWE,3.0,0.15,0.85,2.23606797749979,2,3,0.0,2.0,1.0,0.0,0.0,0.2726225899161012,0.7273774100838988,most_similar
2007,CAN,SWE,CAN-SWE,3.0,0.15,0.85,1.7320508075688772,3,2,0.0,0.0,1.0,1.0,1.0,0.39585868941650815,0.6041413105834919,most_similar
2007,CAN,NLD,CAN-NLD,4.0,0.2,0.8,2.449489742783178,3,2,0.0,2.0,0.0,1.0,1.0,0.38110388737957857,0.6188961126204214,most_similar
2007,DNK,GRC,DNK-GRC,16.0,0.8,0.19999999999999996,7.3484692283495345,5,0,3.0,4.0,4.0,2.0,3.0,0.6209690072818961,0.3790309927181039,most_distant
2007,DNK,PRT,DNK-PRT,16.0,0.8,0.19999999999999996,7.211102550927978,5,0,3.0,3.0,3.0,3.0,4.0,0.5492974790886573,0.45070252091134266,most_distant
2007,EST,GRC,EST-GRC,15.0,0.75,0.25,7.14142842854285,5,0,4.0,4.0,1.0,3.0,3.0,0.5440368194444394,0.4559631805555606,most_distant
2007,SVK,USA,SVK-USA,15.0,0.75,0.25,7.0,5,0,2.0,3.0,4.0,4.0,2.0,0.6231364117005228,0.3768635882994772,most_distant
2007,EST,PRT,EST-PRT,15.0,0.75,0.25,7.54983443527075,4,1,4.0,3.0,0.0,4.0,4.0,0.47288259991139264,0.5271174000886074,most_distant
2007,GBR,SVK,GBR-SVK,15.0,0.75,0.25,6.855654600401044,5,0,3.0,3.0,2.0,4.0,3.0,0.5654868283910751,0.4345131716089249,most_distant
2007,DEU,EST,DEU-EST,14.0,0.7,0.30000000000000004,6.48074069840786,5,0,3.0,4.0,2.0,3.0,2.0,0.4400188996566216,0.5599811003433783,most_distant
2007,DNK,SVK,DNK-SVK,14.0,0.7,0.30000000000000004,7.0710678118654755,4,1,0.0,4.0,4.0,3.0,3.0,0.6464378221131594,0.35356217788684063,most_distant
2007,BEL,EST,BEL-EST,14.0,0.7,0.30000000000000004,6.782329983125268,5,0,4.0,3.0,2.0,1.0,4.0,0.4629660105721012,0.5370339894278988,most_distant
2007,DNK,ITA,DNK-ITA,14.0,0.7,0.30000000000000004,6.324555320336759,5,0,3.0,2.0,3.0,3.0,3.0,0.5712082215462614,0.4287917784537386,most_distant
2019,AUS,CAN,AUS-CAN,0.0,0.0,1.0,0.0,0,5,0.0,0.0,0.0,0.0,0.0,0.23863483617622983,0.7613651638237702,most_similar
2019,COL,ZAF,COL-ZAF,1.0,0.05,0.95,1.0,1,4,1.0,0.0,0.0,0.0,0.0,0.3816845119867969,0.6183154880132031,most_similar
2019,LTU,LVA,LTU-LVA,2.0,0.1,0.9,1.4142135623730951,2,3,0.0,0.0,0.0,1.0,1.0,0.0943364825818606,0.9056635174181394,most_similar
2019,GRC,PRT,GRC-PRT,2.0,0.1,0.9,1.4142135623730951,2,3,0.0,1.0,1.0,0.0,0.0,0.2568655929509574,0.7431344070490427,most_similar
2019,ITA,PRT,ITA-PRT,2.0,0.1,0.9,1.4142135623730951,2,3,0.0,1.0,0.0,1.0,0.0,0.10016773413128885,0.8998322658687111,most_similar
2019,EST,NZL,EST-NZL,2.0,0.1,0.9,1.4142135623730951,2,3,0.0,0.0,0.0,1.0,1.0,0.07583569882104972,0.9241643011789503,most_similar
2019,ESP,GRC,ESP-GRC,2.0,0.1,0.9,1.4142135623730951,2,3,1.0,0.0,0.0,1.0,0.0,0.23660233738057085,0.7633976626194292,most_similar
2019,LVA,SVK,LVA-SVK,2.0,0.1,0.9,1.4142135623730951,2,3,1.0,0.0,0.0,1.0,0.0,0.11127548609037759,0.8887245139096224,most_similar
2019,GRC,ITA,GRC-ITA,2.0,0.1,0.9,1.4142135623730951,2,3,0.0,0.0,1.0,1.0,0.0,0.21963629520775915,0.7803637047922408,most_similar
2019,GBR,USA,GBR-USA,2.0,0.1,0.9,1.4142135623730951,2,3,0.0,0.0,1.0,0.0,1.0,0.1663070322483398,0.8336929677516602,most_similar
2019,COL,KOR,COL-KOR,18.0,0.9,0.09999999999999998,8.246211251235321,5,0,2.0,4.0,4.0,4.0,4.0,0.6491496363512621,0.3508503636487379,most_distant
2019,TUR,USA,TUR-USA,18.0,0.9,0.09999999999999998,8.12403840463596,5,0,4.0,4.0,3.0,4.0,3.0,0.4297242645541071,0.5702757354458929,most_distant
2019,KOR,ZAF,KOR-ZAF,17.0,0.85,0.15000000000000002,8.06225774829855,5,0,1.0,4.0,4.0,4.0,4.0,0.7032341338877496,0.2967658661122504,most_distant
2019,GBR,TUR,GBR-TUR,16.0,0.8,0.19999999999999996,7.483314773547883,5,0,4.0,4.0,2.0,4.0,2.0,0.47614438448642044,0.5238556155135796,most_distant
2019,BEL,ROU,BEL-ROU,15.0,0.75,0.25,7.14142842854285,5,0,3.0,1.0,4.0,3.0,4.0,0.41601131561848864,0.5839886843815114,most_distant
2019,BEL,ZAF,BEL-ZAF,15.0,0.75,0.25,7.0,5,0,2.0,2.0,4.0,3.0,4.0,0.5689681007848205,0.4310318992151795,most_distant
2019,CHE,COL,CHE-COL,15.0,0.75,0.25,6.855654600401044,5,0,3.0,3.0,4.0,3.0,2.0,0.5164248483537573,0.48357515164624265,most_distant
2019,CHE,GRC,CHE-GRC,14.0,0.7,0.30000000000000004,6.48074069840786,5,0,4.0,3.0,3.0,2.0,2.0,0.53370474960762,0.46629525039237996,most_distant
2019,CHE,ZAF,CHE-ZAF,14.0,0.7,0.30000000000000004,6.48074069840786,5,0,2.0,3.0,4.0,3.0,2.0,0.5916267067484282,0.4083732932515718,most_distant
2019,GBR,ZAF,GBR-ZAF,14.0,0.7,0.30000000000000004,6.782329983125268,5,0,2.0,4.0,3.0,4.0,1.0,0.6283856118078865,0.37161438819211345,most_distant
