file_name,title,description,rows,columns,processed_path,diagnostics_path,table_path,created_at
variable_coverage_summary.csv,Variable coverage summary,Coverage summary by standardized variable.,10,12,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Raw_Files_Coverage_Diagnostics\variable_coverage_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\02_Raw_Files_Coverage_Diagnostics\variable_coverage_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Raw_Files_Coverage_Diagnostics\variable_coverage_summary.csv,2026-06-24 18:15:29
country_coverage_summary.csv,Country coverage summary,Country-level variable presence summary for final 5 ordering and validation variables.,177,16,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Raw_Files_Coverage_Diagnostics\country_coverage_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\02_Raw_Files_Coverage_Diagnostics\country_coverage_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Raw_Files_Coverage_Diagnostics\country_coverage_summary.csv,2026-06-24 18:15:29
country_year_coverage_summary.csv,Country-year coverage summary,Country-year coverage across final 5 ordering variables and validation variables.,3499,15,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Raw_Files_Coverage_Diagnostics\country_year_coverage_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\02_Raw_Files_Coverage_Diagnostics\country_year_coverage_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Raw_Files_Coverage_Diagnostics\country_year_coverage_summary.csv,2026-06-24 18:15:29
baseline_year_coverage_final5_2007_2019.csv,Final 5 baseline-year coverage,Country-level complete-case check for final 5 ordering variables in 2007 and 2019.,313,10,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Raw_Files_Coverage_Diagnostics\baseline_year_coverage_final5_2007_2019.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\02_Raw_Files_Coverage_Diagnostics\baseline_year_coverage_final5_2007_2019.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Raw_Files_Coverage_Diagnostics\baseline_year_coverage_final5_2007_2019.csv,2026-06-24 18:15:29
baseline_year_coverage_final5_summary.csv,Final 5 baseline-year coverage summary,Summary of complete countries for final 5 ordering variables in 2007 and 2019.,2,5,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Raw_Files_Coverage_Diagnostics\baseline_year_coverage_final5_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\02_Raw_Files_Coverage_Diagnostics\baseline_year_coverage_final5_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Raw_Files_Coverage_Diagnostics\baseline_year_coverage_final5_summary.csv,2026-06-24 18:15:29
baseline_year_coverage_validation_2007_2019.csv,Validation baseline-year coverage,Country-level check for validation variable availability in 2007 and 2019.,176,9,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Raw_Files_Coverage_Diagnostics\baseline_year_coverage_validation_2007_2019.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\02_Raw_Files_Coverage_Diagnostics\baseline_year_coverage_validation_2007_2019.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Raw_Files_Coverage_Diagnostics\baseline_year_coverage_validation_2007_2019.csv,2026-06-24 18:15:29
baseline_year_coverage_validation_summary.csv,Validation baseline-year coverage summary,Summary of validation variable availability in 2007 and 2019.,2,4,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Raw_Files_Coverage_Diagnostics\baseline_year_coverage_validation_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\02_Raw_Files_Coverage_Diagnostics\baseline_year_coverage_validation_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Raw_Files_Coverage_Diagnostics\baseline_year_coverage_validation_summary.csv,2026-06-24 18:15:29
pre_shock_window_coverage.csv,Pre-shock window coverage,Coverage by country-variable in 2002–2007 and 2012–2019 diagnostic windows.,1000,10,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Raw_Files_Coverage_Diagnostics\pre_shock_window_coverage.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\02_Raw_Files_Coverage_Diagnostics\pre_shock_window_coverage.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Raw_Files_Coverage_Diagnostics\pre_shock_window_coverage.csv,2026-06-24 18:15:29
pre_shock_window_coverage_summary.csv,Pre-shock window coverage summary,Variable-level coverage summaries for diagnostic pre-shock windows.,16,6,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Raw_Files_Coverage_Diagnostics\pre_shock_window_coverage_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\02_Raw_Files_Coverage_Diagnostics\pre_shock_window_coverage_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Raw_Files_Coverage_Diagnostics\pre_shock_window_coverage_summary.csv,2026-06-24 18:15:29
recommended_country_keep_drop_review_list.csv,Recommended country keep/drop/review list,Coverage-based recommendation for final 5-variable POSet baseline years.,169,5,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Raw_Files_Coverage_Diagnostics\recommended_country_keep_drop_review_list.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\02_Raw_Files_Coverage_Diagnostics\recommended_country_keep_drop_review_list.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Raw_Files_Coverage_Diagnostics\recommended_country_keep_drop_review_list.csv,2026-06-24 18:15:29
