Country,variable,years_available,min_year,max_year,shock_id,window_start,window_end,expected_year_count,coverage_rate_in_window
AGO,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
ALB,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
ARB,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
ARE,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
ARG,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
ARG,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
ARG,tertiary_education_25_64,3,2004,2006,2007,2002,2007,6,0.5
ARM,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
AUS,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
AUS,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
AUS,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
AUS,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
AUS,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
AUS,rd_gdp,3,2002,2006,2007,2002,2007,6,0.5
AUS,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
AUS,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
AUT,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
AUT,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
AUT,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
AUT,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
AUT,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
AUT,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
AUT,tertiary_education_25_64,4,2004,2007,2007,2002,2007,6,0.6666666666666666
AUT,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
AZE,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
BEL,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
BEL,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
BEL,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
BEL,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
BEL,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
BEL,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
BEL,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
BEL,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
BEN,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
BGD,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
BGD,public_debt_gdp_canonical,2,2002,2003,2007,2002,2007,6,0.3333333333333333
BGR,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
BGR,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
BGR,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
BGR,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
BGR,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
BGR,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
BHR,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
BHR,public_debt_gdp_canonical,5,2002,2007,2007,2002,2007,6,0.8333333333333334
BHS,public_debt_gdp_canonical,2,2006,2007,2007,2002,2007,6,0.3333333333333333
BIH,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
BLR,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
BLR,public_debt_gdp_canonical,4,2002,2007,2007,2002,2007,6,0.6666666666666666
BLZ,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
BOL,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
BRA,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
BRA,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
BRA,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
BRA,tertiary_education_25_64,1,2007,2007,2007,2002,2007,6,0.16666666666666666
BRA,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
BRB,public_debt_gdp_canonical,3,2005,2007,2007,2002,2007,6,0.5
BRN,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
BTN,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
BWA,public_debt_gdp_canonical,2,2006,2007,2007,2002,2007,6,0.3333333333333333
CAN,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
CAN,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
CAN,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
CAN,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
CAN,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
CAN,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
CAN,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
CAN,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
CHE,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
CHE,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
CHE,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
CHE,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
CHE,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
CHE,rd_gdp,1,2004,2004,2007,2002,2007,6,0.16666666666666666
CHE,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
CHE,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
CHL,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
CHL,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
CHL,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
CHL,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
CHL,rd_gdp,1,2007,2007,2007,2002,2007,6,0.16666666666666666
CHL,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
CHN,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
CHN,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
CHN,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
CHN,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
CIV,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
CMR,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
COD,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
COG,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
