Country,years_available,min_year,max_year,mean_gdp_growth_pre_shock,median_gdp_growth_pre_shock,gdp_growth_volatility_sd,gdp_growth_min_pre_shock,gdp_growth_max_pre_shock,shock_id,shock_label,baseline_year,window_start,window_end,expected_year_count,min_required_years,coverage_rate,sufficient_window_coverage,gdp_growth_stability_score_0_100,volatility_feature_role
AUS,6,2002,2007,3.4416808661187197,3.38973312444401,0.5315881443971093,2.77092617374751,4.21894147547516,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,97.94551798603955,diagnostic_or_sensitivity_only_not_final_ordering
AUT,6,2002,2007,2.42601914964943,2.442810198226465,1.0098134149258917,1.14156509806083,3.77522447023948,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,80.57680954963733,diagnostic_or_sensitivity_only_not_final_ordering
BEL,6,2002,2007,2.477843272007042,2.4370394011714804,1.0325500971058534,1.03795518162204,3.67692462515804,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,79.75103385786294,diagnostic_or_sensitivity_only_not_final_ordering
BRA,6,2002,2007,3.86470781636361,3.5820600664649147,1.8428700300124703,1.14082914539322,6.06987034640399,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,50.32094824298541,diagnostic_or_sensitivity_only_not_final_ordering
CAN,6,2002,2007,2.63271784423983,2.818599544390545,0.5834257445189897,1.80638513352183,3.21045438879788,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,96.06282332717258,diagnostic_or_sensitivity_only_not_final_ordering
CHE,6,2002,2007,2.292119655016484,2.7695069217931154,1.8475974407505253,-0.28422245452564,4.13432259341526,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,50.14925296917103,diagnostic_or_sensitivity_only_not_final_ordering
CHL,6,2002,2007,5.275927683686815,5.502638352245725,1.2234592403731435,3.20279913517554,6.67425416820226,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,72.8173867848287,diagnostic_or_sensitivity_only_not_final_ordering
CHN,6,2002,2007,11.271958829653018,10.75411765093015,1.9134446317744227,9.13363757923851,14.2308380208728,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,47.75774266486284,diagnostic_or_sensitivity_only_not_final_ordering
COL,6,2002,2007,4.986155771129968,5.01975031369514,1.6471242777963313,2.50386317968852,6.73819469090975,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,57.43025656988975,diagnostic_or_sensitivity_only_not_final_ordering
CRI,6,2002,2007,5.279524939531222,4.37088973153232,1.9815449123693893,3.4168763903673,8.21513198346369,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,45.284402189184306,diagnostic_or_sensitivity_only_not_final_ordering
CZE,6,2002,2007,4.672943970855815,5.112582824239775,1.9613866934507993,1.51345949139996,6.62317299177447,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,46.0165304320248,diagnostic_or_sensitivity_only_not_final_ordering
DEU,6,2002,2007,1.340885809428998,1.0237860688121745,1.7307630707543553,-0.529801394291293,3.86668241523208,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,54.392571406882254,diagnostic_or_sensitivity_only_not_final_ordering
DNK,6,2002,2007,1.8062071962996262,1.673391322935209,1.3888591006617539,0.441091006625111,3.81648769908172,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,66.810213751923,diagnostic_or_sensitivity_only_not_final_ordering
ESP,6,2002,2007,3.3229063438646502,3.324015805787905,0.4750205981964045,2.75545611564099,4.043435156051,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,100.0,diagnostic_or_sensitivity_only_not_final_ordering
EST,6,2002,2007,8.031091464355633,7.583612233833345,1.2918542641989685,6.80069937322594,9.76257170103406,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,70.33334150211493,diagnostic_or_sensitivity_only_not_final_ordering
FIN,6,2002,2007,3.302364956582455,3.391344379297485,1.3856453698886169,1.68732630464511,5.31280178224827,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,66.92693354117628,diagnostic_or_sensitivity_only_not_final_ordering
FRA,6,2002,2007,2.0061566984031165,2.209523862301745,0.8356815805452749,0.967827182558349,2.86825052501031,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,86.90111996825789,diagnostic_or_sensitivity_only_not_final_ordering
GBR,6,2002,2007,2.527491559340327,2.5583366424502048,0.5538977306561953,1.70902736769612,3.21851608218613,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,97.1352540310579,diagnostic_or_sensitivity_only_not_final_ordering
