Country,Year,wgi_va_score,wgi_pv_score,wgi_ge_score,wgi_rq_score,wgi_rl_score,wgi_cc_score
ABW,2004,0.4432463,0.6292149,0.8951416999999999,0.7433115,0.6070244,0.9662856
ABW,2005,1.0540705,1.3614598,1.2500658999999998,1.1126306,0.7886266,1.3271197
ABW,2006,1.064766,1.3644361,1.2471197,1.1088431,0.7859951,1.3353033
ABW,2007,1.0616691,1.3693511,1.2515751,1.1154374,0.7911827,1.3294413
ABW,2008,1.0591373,1.3687458,1.2550503,1.1125128,0.7863873,1.3309995
ABW,2009,1.389796,1.3267766,1.3983691,1.4683748,1.4164209,1.0315021
ABW,2010,1.3885303999999998,1.2560673,1.0023954,1.4684441,1.4158901,1.0319006
ABW,2011,1.3908076,1.251139,1.0015699,1.4689355,1.3475874,1.0309026
ABW,2012,1.3889093,1.3159088,1.0017778,1.4635658,1.3458678,1.0288289
ABW,2013,1.3861135999999998,1.3143193,1.0020099999999998,1.4627698999999998,1.3420242999999998,1.0289865
ABW,2014,1.3891228999999998,1.2105482,0.6967705,1.2441605,1.0095673,0.8949794
ABW,2015,1.3898855,1.209329,0.6950388,1.3576467,1.2928771,1.1609441
ABW,2016,1.3889356,1.2062931,0.6956408,1.3588318,1.2931593,1.1622716
ABW,2017,1.3881097999999998,1.2066651,0.6958363,1.2660605,1.2924687,1.1613217999999998
ABW,2018,1.4179056,1.3341522,0.9066629,0.9845005,1.2931496,1.1629372
ABW,2019,1.4172559,1.3349373999999998,0.9077089,0.9858983,1.2930625,1.1651628
ABW,2020,1.4163396,1.3345061,0.9047216,0.9835183,1.2938144,1.165722
ABW,2021,0.9629543,1.3328137,0.9064944,0.9825611,1.2183341,0.8692192
ABW,2022,0.9608656,1.3357267,1.0084741,0.9800098,1.2205245,0.8688452
ABW,2023,0.9587989,1.3362003,0.6576185999999999,0.9802816,1.2201246,0.8675607
ABW,2024,0.9576687,1.3302095,0.6567856,0.9808972,1.22006,0.8687982
AFG,2002,-1.36406459999999,-2.43357069999999,-2.0988761,-2.13018459999999,-1.9838064,-1.5434271
AFG,2003,-1.2674537,-2.387388,-2.1081208,-1.9591576,-1.9844041,-1.5453868
AFG,2004,-1.23101369999999,-2.1912579,-1.156126,-1.6058112,-1.7462939,-1.50732
AFG,2005,-1.1629637,-2.133959,-1.39070159999999,-1.6164082,-1.7624734,-1.57150029999999
AFG,2006,-1.0452799,-2.1468441,-1.62596609999999,-1.491989,-1.8397413,-1.52211379999999
AFG,2007,-0.990981399999999,-2.3604939,-1.59296859999999,-1.5097036,-1.8394814,-1.5697208
AFG,2008,-1.1039311,-2.53508629999999,-1.66803179999999,-1.5659451,-1.95002069999999,-1.6125664
AFG,2009,-1.33515229999999,-2.4492355,-1.5587942,-1.5140426,-1.84793489999999,-1.5631034
AFG,2010,-1.3979576,-2.53097419999999,-1.5857412,-1.4285697,-1.8493765,-1.65416719999999
AFG,2011,-1.2883533,-2.5512555,-1.6043337,-1.4373007,-1.92548149999999,-1.5926582
AFG,2012,-1.2510408,-2.5040196,-1.4997935,-1.2540947,-1.8835503,-1.635471
AFG,2013,-1.2481171,-2.699732,-1.50099379999999,-1.282454,-1.70220409999999,-1.5860489
AFG,2014,-1.2039387,-2.3186705,-1.52460319999999,-1.1832846,-1.63760859999999,-1.5607981
AFG,2015,-1.20990209999999,-2.48125299999999,-1.4711716,-1.06718849999999,-1.6427748,-1.5195275
AFG,2016,-1.2164992,-2.4834928,-1.41773019999999,-1.36089939999999,-1.580107,-1.56501159999999
AFG,2017,-1.2397194,-2.61393089999999,-1.4421872,-1.4164481,-1.59509909999999,-1.54351939999999
AFG,2018,-1.1858104,-2.5824048,-1.6312498,-1.3029823,-1.66687379999999,-1.5398439
AFG,2019,-1.1404758,-2.5893714,-1.65408049999999,-1.2762178,-1.65715489999999,-1.5013636
AFG,2020,-1.081484,-2.5896897,-1.7167282,-1.3026506,-1.65566449999999,-1.40089
AFG,2021,-1.42797209999999,-2.4506389,-1.7059035,-1.40994469999999,-1.7202682,-1.22202489999999
AFG,2022,-1.8416443,-2.4492487,-1.9646115,-1.4229756,-1.8586889,-1.1719937
AFG,2023,-2.0370816,-2.3922828,-2.0924592,-1.43056079999999,-1.89680499999999,-1.1987543
AFG,2024,-2.1483748,-2.2052112,-1.9339966,-1.538435,-1.93548869999999,-1.3087183
AGO,2002,-1.38465209999999,-1.8157925,-1.2300935,-1.6064493,-1.4961635,-1.3041443
AGO,2003,-1.30974899999999,-1.25069229999999,-1.45820439999999,-1.64379189999999,-1.6751143,-1.3231498
AGO,2004,-1.31670469999999,-1.1591344,-1.5316839,-1.42910619999999,-1.4539069,-1.2228664
AGO,2005,-1.20880569999999,-0.9717695,-1.5412074,-1.4091843,-1.3592364,-1.2940835
AGO,2006,-1.2631594,-0.6714135,-1.4924701,-1.0973468,-1.326343,-1.2967958
AGO,2007,-1.2351851,-0.7470711,-1.41301869999999,-1.072509,-1.3309729,-1.2804167
AGO,2008,-1.0776636,-0.4713481,-1.3238188,-1.0819619,-1.2534243,-1.2699259
AGO,2009,-1.0942699,-0.526828899999999,-1.0974384,-1.0724612,-1.2297726,-1.27248349999999
AGO,2010,-1.1285907,-0.2720682,-0.9515013,-1.08506299999999,-1.23819369999999,-1.32703029999999
AGO,2011,-1.108214,-0.494662599999999,-1.0097747,-1.1090351,-1.3083456,-1.3687643
AGO,2012,-1.0591925,-0.4414594,-1.0191994,-1.0374151,-1.34388359999999,-1.4394482
AGO,2013,-1.0947921,-0.6100776,-1.0286328,-1.0979742,-1.3625741,-1.46090079999999
AGO,2014,-1.1303739,-0.5090269,-0.940011399999999,-1.02714519999999,-1.3052002,-1.48643939999999
AGO,2015,-1.1542998,-0.5591026,-0.937823699999999,-1.0904945,-1.3086297,-1.4857649
AGO,2016,-1.19498,-0.434627999999999,-0.9493847,-1.18042349999999,-1.3287764,-1.4881942
AGO,2017,-1.131561,-0.537214499999999,-0.968115699999999,-1.17998849999999,-1.3317055,-1.4208093
AGO,2018,-1.005668,-0.4058117,-0.9784602,-1.06243929999999,-1.11055219999999,-1.18178199999999
AGO,2019,-0.9382176,-0.420703899999999,-0.911696499999999,-0.9960854,-1.0519682,-0.9647988
AGO,2020,-0.937689799999999,-0.6427634,-1.0163604,-1.0388818,-0.9475038,-0.891832299999999
AGO,2021,-0.998508499999999,-0.7936068,-0.9347008,-0.8486184,-1.0980135,-0.6416506
AGO,2022,-1.0480912,-0.5414068,-0.8325718,-0.8618821,-1.1625439,-0.6031537
AGO,2023,-1.02093599999999,-0.3131654,-0.8287026,-0.904342,-1.1944432,-0.6242518
AGO,2024,-1.0588932,-0.5735964,-0.785190899999999,-0.773019999999999,-1.1697408,-0.6225793
AIA,2004,0.5331914,0.4534984999999999,0.5613671,0.8150678,0.7925669999999999,0.7015384
AIA,2005,0.8314560999999999,1.1812157,1.7663734,1.2902266999999998,1.5539904999999998,1.3271197
AIA,2006,1.064766,1.184192,1.7634272,1.4640353,1.551359,1.3353033
AIA,2007,1.0616691,1.1891071,1.7678826,1.4706297,1.5565466,1.3294413
AIA,2008,1.0591373,1.1885017,1.7713578,1.4677051,1.5517512,1.3309995
AIA,2009,1.0596387,1.1956297,1.7834921,1.4637871,1.290841,1.3309446
AIA,2010,1.056728,1.5491647,1.7857949,1.4639385,1.2891313,1.3318853
AIA,2011,1.0619652,1.5428413,1.7844401,1.4650118,1.3036701,1.3295291
AIA,2012,1.0575993,1.5421738,1.7847814,1.4532839,1.2981311,1.3246331
AIA,2013,1.0511693,1.5401342999999998,1.7851624,1.4515456,1.28575,1.3250051
AIA,2014,1.0580907,1.2267455,1.4563681,0.6188909,-0.0402989,1.1646295
AIA,2015,1.0598446,1.2251811,1.4535264,0.6299601,-0.0347847,1.1685187
AIA,2016,1.0576599,1.221286,1.4545142,0.8693432999999999,-0.0338758,1.1716528
AIA,2017,1.0557605,1.2217632,0.7664249,0.8720819,-0.0361000999999999,1.1694105
AIA,2018,,1.2251203,0.7681859,0.8732078999999999,-0.0339069,1.1732244
AIA,2019,,1.2261279,0.7699022999999999,0.8762608,0.4193614,1.1784788
AIA,2020,,1.3857910999999998,0.7650002,0.8710627999999999,0.4217835,0.5557527999999999
AIA,2021,,1.3836197,0.7679093,0.868972,0.4132015,0.5531818
AIA,2022,,1.3873573,1.1116761,0.8633997999999999,0.4079249,1.1763452
AIA,2023,,1.387965,1.1132177,0.8639935,0.6332641,1.1733125
AIA,2024,,1.3802784,1.1115868,0.8653379999999999,0.6330323,1.1762344
ALB,2002,-0.2153127,-0.6545571,-0.6571054,-0.4325555,-0.7542805,-1.0003421
ALB,2003,-0.1267372,-0.43559,-0.6637265,-0.4162418,-0.757626799999999,-1.0079715
ALB,2004,-0.0105244,-0.6084853,-0.449955899999999,-0.287862,-0.5144925,-0.7554331
ALB,2005,0.1006314,-0.6100173,-0.697942699999999,-0.355651799999999,-0.6642115,-0.883028399999999
ALB,2006,0.1202025999999999,-0.549163,-0.6153929,-0.1313664,-0.611922899999999,-0.6947376
ALB,2007,0.0980996,-0.188559199999999,-0.5171955,-0.0069108999999999,-0.5254485,-0.6751999
ALB,2008,0.1726,-0.0276847,-0.4824716,0.0382242,-0.472655599999999,-0.6438129
ALB,2009,0.1550401,-0.0272379,-0.290001399999999,0.1276639,-0.4057361,-0.574472099999999
ALB,2010,0.1270914,-0.1725061,-0.2964483,0.1073455,-0.3178041,-0.503922299999999
ALB,2011,-0.0048785,-0.348045,-0.249067699999999,0.053824,-0.299265399999999,-0.6894267
ALB,2012,-0.0572675,-0.3697641,-0.3393566,-0.0835796999999999,-0.402225799999999,-0.8226266
ALB,2013,-0.0615944,-0.1931708,-0.356418399999999,-0.0639441999999999,-0.4812225,-0.815531999999999
ALB,2014,0.0984136999999999,0.2608816,0.0801175,0.0565349999999999,-0.276422499999999,-0.6758626
ALB,2015,0.0763576,0.1252711,0.1835584999999999,0.0444083,-0.2267931,-0.5865235
ALB,2016,0.0737892,0.1659700999999999,0.1974460999999999,0.0642829999999999,-0.2061558,-0.5061985
ALB,2017,0.1067553,0.1638298,0.2560489999999999,0.1105236999999999,-0.2057486,-0.5663593
ALB,2018,0.1354782,0.1502031999999999,0.2684643,0.1139598,-0.1743527,-0.587108899999999
ALB,2019,0.0967645999999999,0.0043749999999999,0.0266494,0.0917374,-0.291428099999999,-0.5384935
ALB,2020,0.0554688,-0.0049854,0.0187103,-0.0195592999999999,-0.256738199999999,-0.6594306
ALB,2021,-0.0004042999999999,0.0239536,0.1116368,-0.0049463,-0.2015586,-0.60203
ALB,2022,0.024176,0.0115424999999999,0.1929668,0.0155769,-0.1309656,-0.500456
ALB,2023,-0.0363936,0.0246567,0.293429,0.0632513,-0.153011099999999,-0.464044399999999
ALB,2024,-0.0124167999999999,0.0204668,0.3123437,0.1357346999999999,-0.1185025,-0.420760099999999
AND,2002,1.4549379,1.2512043,0.7534943,1.6467614,0.9839612,1.3358417
AND,2003,1.3762606,1.3177029999999998,0.7406421999999999,1.6468435,0.7855065999999999,1.332687
AND,2004,1.2974308,1.0449339,0.8951416999999999,1.2599548,0.731683,0.9284646
AND,2005,1.4511701,1.3245166,0.7337585,1.6454186,1.0263124,1.3271197
AND,2006,1.4602898,1.3279824,1.2471197,1.6416309999999998,1.0247978,1.3353033
AND,2007,1.4589572,1.3337059,1.2515751,1.6482253999999998,1.3123172,1.3294413
AND,2008,1.4578677999999998,1.333001,1.2550503,1.6453008,1.3095571,1.3309995
AND,2009,1.4580835,1.3413014,1.2671846,1.6413829,1.3062251,1.3309446
AND,2010,1.4568310999999998,1.3332046,1.2694874,1.6415342,1.305241,1.3318853
AND,2011,1.4590846,1.3258412,1.2681327,1.8202037,1.4604526999999998,1.3295291
AND,2012,1.5094509,1.3250639,1.2684739,1.8084758,1.4572645,1.3246331
AND,2013,1.5070081,1.3226889,1.2688549999999998,1.8067375,1.4501381,1.3250051
AND,2014,1.3785606,1.3308928,1.8005729,1.0924802,1.6005796,1.1646295
AND,2015,1.3792269,1.3290711,1.7977313,1.1035494,1.6037534999999998,1.1685187
AND,2016,1.3368503,1.3245352,1.7987191,1.1061377,1.6042767,1.1716528
AND,2017,1.3522661,1.3250909,1.7990398,1.3456712,1.6029964,1.1694105
AND,2018,0.9863455,1.3290002,1.8008008,1.3467972,1.6178207999999998,1.1732244
AND,2019,1.0039275,1.5488693999999998,1.8025173,1.3498500999999998,1.6176246,1.1784788
AND,2020,0.9786021,1.5484064,1.7976151,1.1078572,1.6193172,1.1797991
AND,2021,0.8695155999999999,1.5465903,1.8005243,1.1057664,1.61332,1.1772281
AND,2022,0.9489464,1.5497162999999998,1.1591046,1.1001942,1.4108315,1.1763452
AND,2023,0.7696602,1.5502246,1.1602754,1.100788,1.4100336,1.1733125
AND,2024,0.7892366,1.5437957,1.1590368,1.1021324,1.4099047999999998,1.1762344
ANT,2004,0.263356,0.3656404,0.7699764,0.6572045,0.6070244,0.5124335999999999
ANT,2005,0.6088416,0.8207276,0.7337585,1.1126306,0.7886266,1.3271197
ANT,2006,0.6195371,1.184192,0.7308121999999999,0.9312473,0.7859951,1.3353033
ANT,2007,0.6164402,1.1891071,0.7352677,0.9378417,0.7911827,1.3294413
ANT,2008,0.6139085,1.1885017,0.7387427999999999,0.9349171,0.7863873,1.3309995
ANT,2009,0.3917952999999999,1.1956297,0.7508771999999999,0.9309992,0.7805983999999999,0.8629097
ANT,2010,0.3888845999999999,1.1886766,0.7531799,0.9311505,0.7788885999999999,0.8638503
ANT,2011,0.3941218999999999,1.1823532,0.7518252,0.9322238,0.7934275,0.8614942
ANT,2012,0.389756,1.1816856999999998,0.7521664,0.9204959,0.7878883999999999,0.8565980999999999
ANT,2013,0.383326,1.1796462,0.7525474999999999,0.9187576,0.7755074,0.8569702
ANT,2014,0.3902473999999999,1.1866913,0.7679579999999999,0.9148845,0.7817586999999999,0.8526062999999999
ANT,2015,0.3920013,1.1851269,0.7651163,0.9259537,0.787273,0.8564955
ANT,2016,0.3898164999999999,1.1812317,0.7661041,0.928542,0.7881817999999999,0.8596296
ANT,2017,0.3879170999999999,0.7119725,0.7664249,0.9312807,0.7859575,0.8573873
ARE,2002,-0.8678207,1.0774647,0.8507317999999999,1.1822947,0.5176634999999999,0.7708579999999999
ARE,2003,-0.868113599999999,0.9511885,0.8458791,1.1073628,0.5160344,0.8866525
ARE,2004,-0.969697799999999,0.5785838999999999,0.5800974999999999,0.6760347999999999,0.1643897,0.7749326999999999
ARE,2005,-0.888207099999999,0.7985671999999999,0.6201962,0.5730067999999999,0.0848625,0.7573962
ARE,2006,-0.651509,0.9097486,0.87732,0.7108515999999999,0.0492929,0.7816632
ARE,2007,-0.616451,1.0198691,0.9034445,0.7403079,0.0361401,0.7779631
ARE,2008,-0.5499529,0.7281536,0.8286182999999999,0.8400373,0.0890333,0.9123012
ARE,2009,-0.5201403,1.0855231,0.8843205,0.8210812,0.1273933,0.8451487999999999
ARE,2010,-0.584170699999999,0.8134966,0.8322560999999999,0.7402639999999999,0.0791468,0.9100894
ARE,2011,-0.4408451,0.8143482,0.9928203,0.8903941999999999,0.4251627,1.1319379
ARE,2012,-0.564203799999999,0.8029803,1.1560960999999998,0.8455589,0.3671791,1.0894762999999998
ARE,2013,-0.646031199999999,0.7738837,1.1923106,0.9903687,0.4141499999999999,1.1513193
ARE,2014,-0.6378608,0.8984846999999999,1.4160016,1.0740463999999998,0.3502594,0.9856797
ARE,2015,-0.6721912,0.8382508999999999,1.4040254,1.1787876,0.3509974999999999,0.9199437
ARE,2016,-0.651368,0.6925969,1.4113666,1.0781755,0.4205050999999999,1.1064348
ARE,2017,-0.6844466,0.7192871,1.3782191,1.1113817,0.3834886999999999,1.0762151
ARE,2018,-0.830863999999999,0.8336610999999999,1.4114572,1.079234,0.3893195,1.0948106
ARE,2019,-0.8093064,0.8295526,1.3982082999999998,1.1457173,0.4262682,1.0878297
ARE,2020,-0.814912,0.826942,1.0036502,1.0663205999999998,0.3974987,1.0614313
ARE,2021,-0.835888499999999,0.8395809999999999,1.0744083,1.0613347,0.3385039999999999,1.0349829
ARE,2022,-0.8265908,0.883216,1.133184,1.0576162,0.4099029999999999,1.0223468
ARE,2023,-0.9077037,0.7829522999999999,1.3100836,1.105352,0.4492886,0.9918577
ARE,2024,-0.853748699999999,0.7886704,1.2599659,1.1257177,0.4968448,1.1702182
ARG,2002,0.3330067,-0.6587134,-0.225255899999999,-0.9549711,-0.804874299999999,-0.56214
ARG,2003,0.4198369999999999,-0.2505519,-0.1358752,-0.846393899999999,-0.783139599999999,-0.548223799999999
ARG,2004,0.4802196999999999,-0.328465399999999,-0.0238339999999999,-0.6710565,-0.6604823,-0.4054833
ARG,2005,0.510876,0.0832070999999999,0.0133479999999999,-0.5984456,-0.4127937,-0.3890799
ARG,2006,0.5096456,0.0814603,0.0518902,-0.6421161,-0.4448966,-0.320851799999999
ARG,2007,0.5040718,0.2041085,0.0008548999999999,-0.6471966,-0.4644969,-0.4042866
ARG,2008,0.4084075,0.0112562,-0.0710406,-0.6633654,-0.678214099999999,-0.4137763
ARG,2009,0.3882056,-0.1847801,-0.0584798999999999,-0.779930999999999,-0.6305261,-0.3970066
ARG,2010,0.4439986999999999,-0.0975562,0.0072362999999999,-0.7577834,-0.5170484,-0.3672971
ARG,2011,0.3421553,0.1203533,0.0717304,-0.7069559,-0.4685103,-0.3396354
ARG,2012,0.3112012,0.0804879,0.0013935,-0.841032599999999,-0.5151067,-0.5168142
