year,country,R&D_Expenditure_pct_GDP,Gov_Score,Public_Debt_pct_GDP,Energy_Import_Dependency,Tertiary_Education_Attainment
2000,AUS,1.4698,82.0517,29.4708,0.0,27.4757
2000,AUT,1.8967,81.1755,66.6,66.9003,24.7834
2000,BEL,1.9362,82.1186,109.7,87.22,27.085
2000,CAN,1.8585,85.1962,58.738,0.0,40.1058
2000,CHE,2.2389,84.1568,25.7779,56.6946,24.1773
2000,CHL,0.3114,75.1836,13.1456,70.494,17.1207
2000,COL,0.1401,46.4838,17.709,0.0,16.9651
2000,CRI,0.5562,75.8556,38.5018,61.4181,16.4487
2000,CZE,1.1038,69.4788,16.9,22.7799,10.9632
2000,DEU,2.3865,84.7484,59.2,61.104,23.4988
2000,DNK,2.3234,86.0778,53.6,0.0,25.7776
2000,ESP,0.8831,79.1183,57.8,82.1407,22.7049
2000,EST,0.6,75.5105,5.1,34.7493,28.6692
2000,FIN,3.2427,86.3089,45.1,57.1166,32.6144
2000,FRA,2.1007,78.3023,59.7,52.6597,21.5848
2000,GBR,1.6038,81.1379,87.2844,0.0,25.6831
2000,GRC,0.5775,78.3414,108.9,80.2239,17.6723
2000,HUN,0.79,76.8838,55.6,55.4771,14.0419
2000,IRL,1.0838,81.1374,36.4,89.2588,21.613
2000,ISL,2.5398,82.6259,57.5282,20.4889,27.8619
2000,ISR,3.816,65.2663,60.1539,99.6369,42.0904
2000,ITA,1.001,73.2475,108.7,88.8679,9.377
2000,JPN,2.8584,75.1682,60.1539,82.8158,33.6155
2000,LTU,0.5842,70.5586,23.5,59.1157,41.8014
2000,LUX,1.5831,82.9275,7.5,100.0,18.2842
2000,LVA,0.4459,67.1383,12.4,61.5337,18.218
2000,MEX,0.292,59.7258,18.1919,0.0,14.635
2000,NLD,1.7891,86.3911,52.2,46.482,23.3751
2000,NOR,1.5602,85.6627,60.1539,0.0,32.6928
2000,NZL,1.1003,83.7458,32.7764,19.548,35.6289
2000,POL,0.6381,78.0827,36.2,10.7816,11.362
2000,PRT,0.7216,80.9542,54.2,89.6907,8.8429
2000,SVK,0.6387,71.3721,50.6,65.0047,10.3733
2000,SVN,1.3686,75.601,26.1,51.7833,15.7265
2000,SWE,3.8722,86.0697,50.4,40.5019,30.123
2000,TUR,0.4648,47.6431,41.0319,66.4119,8.3462
2000,USA,2.6198,79.2441,33.2677,26.6791,36.4948
2000,ZAF,0.6422,65.823,39.6391,0.0,6.8607
2002,AUS,1.6423,82.2534,25.8412,0.0,30.7598
2002,AUT,2.0811,81.5922,67.4,69.181,24.7834
2002,BEL,1.9032,83.2818,105.6,88.5769,28.1348
2002,CAN,1.9717,85.3729,54.1491,0.0,42.8732
2002,CHE,2.4073,85.1303,29.743,58.521,25.3858
2002,CHL,0.3114,77.376,13.1456,69.084,17.1207
2002,COL,0.1639,48.378,40.9266,0.0,16.9651
2002,CRI,0.5562,76.5935,39.3351,64.2445,18.3628
2002,CZE,1.0927,72.3867,25.7,26.3359,11.9414
2002,DEU,2.4086,83.805,59.8,61.7995,23.4274
2002,DNK,2.4394,87.0867,50.3,0.0,29.6108
2002,ESP,0.9595,79.4626,51.2,84.2968,24.9211
2002,EST,0.7114,74.195,5.7,32.8597,29.3587
2002,FIN,3.2541,87.2647,42.6,53.7324,32.9898
2002,FRA,2.1876,78.4911,61.3,51.9902,23.9801
2002,GBR,1.6095,82.5242,86.1686,0.0,26.8405
2002,GRC,0.5696,76.6197,107.9,81.0855,18.7934
2002,HUN,0.9831,75.3859,55.6,57.3271,14.2117
2002,IRL,1.0558,80.7612,30.9,94.3753,24.8143
2002,ISL,2.7919,83.8666,55.7146,20.4889,27.8619
2002,ISR,3.9957,65.9259,60.1539,100.0,42.0904
2002,ITA,1.077,73.7092,105.9,87.9149,10.368
2002,JPN,2.9651,75.2402,60.1539,82.9889,36.5755
2002,LTU,0.6565,68.0745,22.1,41.6814,35.7
2002,LUX,1.61,82.4802,7.4,100.0,21.5902
2002,LVA,0.422,67.1254,13.4,62.1902,18.8698
2002,MEX,0.3374,61.9995,20.6272,0.0,15.3647
2002,NLD,1.7393,86.0817,48.8,42.7494,25.0209
2002,NOR,1.6264,86.1028,60.1539,0.0,32.6928
2002,NZL,1.1246,83.772,32.7764,21.6065,35.6289
2002,POL,0.555,73.9232,41.6,11.4915,12.5851
2002,PRT,0.7218,81.5606,60.0,87.5938,9.4179
2002,SVK,0.564,70.1715,45.6,64.1995,10.9589
2002,SVN,1.4604,74.7984,27.7,49.6914,15.2574
2002,SWE,3.7272,86.7042,49.8,38.3978,32.5651
2002,TUR,0.5079,51.8231,41.0319,68.8098,9.1409
2002,USA,2.5475,81.4068,54.0472,27.8963,38.133
2002,ZAF,0.6594,65.8193,41.374,0.0,6.8607
2003,AUS,1.6825,82.3347,25.0321,0.0,31.3142
2003,AUT,2.187,81.1125,66.4,72.0729,24.7834
2003,BEL,1.8412,83.7351,101.8,91.4405,29.0318
2003,CAN,1.9678,85.3155,51.2713,0.0,44.1238
2003,CHE,2.4915,85.3937,28.8029,57.1443,26.8759
2003,CHL,0.3114,76.5771,13.1456,71.3338,17.1207
2003,COL,0.1791,48.4318,52.5354,0.0,16.9651
2003,CRI,0.5562,75.7827,39.3351,62.6698,19.1836
2003,CZE,1.1382,73.2182,28.1,25.0623,12.0057
2003,DEU,2.4423,82.8235,63.3,62.2699,23.982
2003,DNK,2.5071,87.5624,48.2,0.0,31.8473
2003,ESP,1.0232,77.7688,47.7,82.2261,25.6256
2003,EST,0.7644,75.1218,5.6,30.1426,29.6496
2003,FIN,3.299,86.7084,45.2,60.628,33.1776
2003,FRA,2.1309,78.4371,65.4,51.9019,23.9174
2003,GBR,1.5761,82.5184,86.4073,0.0,27.9982
2003,GRC,0.5616,77.518,104.3,76.4058,19.2999
2003,HUN,0.9199,76.2019,58.2,62.5385,15.416
2003,IRL,1.1244,81.9056,29.8,95.119,26.3083
2003,ISL,2.6738,84.3183,53.8074,20.4889,27.8619
2003,ISR,3.7652,66.9395,60.1539,100.0,42.8949
2003,ITA,1.0554,73.2773,105.1,85.3649,10.4601
2003,JPN,2.9932,75.8499,60.1539,85.4789,37.4221
2003,LTU,0.6632,70.0827,20.4,43.708,32.6493
2003,LUX,1.6235,83.0203,7.4,100.0,23.2433
2003,LVA,0.3762,68.3918,14.8,66.6422,17.9204
2003,MEX,0.3745,62.7902,21.8448,0.0,15.5543
2003,NLD,1.7767,86.1603,49.9,46.5189,27.545
2003,NOR,1.6757,85.9235,60.1539,0.0,32.6928
2003,NZL,1.1489,84.028,48.2453,26.1116,35.6289
2003,POL,0.5363,74.019,46.4,13.3597,14.1706
2003,PRT,0.698,81.9154,63.9,89.5751,10.959
2003,SVK,0.5651,71.9246,43.6,64.6311,11.7848
2003,SVN,1.2596,74.6632,27.0,52.398,17.7444
2003,SWE,3.5823,86.8959,49.5,44.9098,33.4197
2003,TUR,0.4641,55.6603,41.0319,71.8015,9.7045
2003,USA,2.5502,80.1606,56.4293,29.2686,38.422
2003,ZAF,0.6765,67.1724,42.2415,0.0,6.8607
2004,AUS,1.7227,81.3567,22.8246,0.0,30.8231
2004,AUT,2.1824,80.7442,65.9,72.736,24.7834
2004,BEL,1.8205,82.2754,97.2,91.7686,30.4009
2004,CAN,1.9973,84.3937,46.801,0.0,44.549
2004,CHE,2.5757,84.9039,29.3654,58.548,28.0888
2004,CHL,0.3114,77.1221,13.1456,75.2968,17.1207
2004,COL,0.1737,52.5017,55.0774,0.0,16.9651
2004,CRI,0.5562,75.2066,39.3351,52.0362,19.8124
2004,CZE,1.1362,71.499,28.3,25.5575,12.3457
2004,DEU,2.4028,82.7066,65.0,62.8651,24.9317
2004,DNK,2.4133,87.2407,46.2,0.0,32.8481
2004,ESP,1.0401,78.4131,45.3,83.2978,26.7487
2004,EST,0.8457,75.0547,5.2,31.0893,30.7121
2004,FIN,3.3094,86.9487,44.9,56.0538,34.1846
2004,FRA,2.1044,79.1034,66.9,52.2402,24.3837
2004,GBR,1.5257,82.0252,90.2046,4.7746,29.3385
2004,GRC,0.5407,76.915,105.5,82.0243,21.2867
2004,HUN,0.8608,74.5321,58.9,61.5801,16.7487
2004,IRL,1.1778,80.3431,28.0,95.6973,27.8201
2004,ISL,2.6538,83.1775,47.8004,20.4889,27.9436
2004,ISR,3.7503,66.6389,60.1539,98.4168,42.9714
2004,ITA,1.0466,73.5031,104.7,86.7924,11.5932
2004,JPN,2.9812,74.3857,60.1539,83.7746,38.6934
2004,LTU,0.7476,69.6701,18.6,46.6147,29.5986
2004,LUX,1.5882,83.6514,7.8,100.0,24.8963
2004,LVA,0.4159,65.7567,15.2,73.367,19.7855
2004,MEX,0.3705,64.4013,23.0625,0.0,16.5683
2004,NLD,1.7813,85.6411,50.2,39.0613,29.5376
2004,NOR,1.5398,84.1365,60.1539,0.0,32.6928
