year,country,Inflation_Rate,Unemployment_Variation,Gov_score,Productivity_Variation,GDP_Growth
2000,AGO,,,27.4712574,,
2000,ALB,,,47.6615336,,
2000,ARE,,,42.0815546,,
2000,ARG,34.27723,7.561,64.5902122,,-0.788998924
2000,ARM,,,46.7813404,,
2000,AUS,4.457435,6.288,82.0517314,52.46407557607455,3.359670121
2000,AUT,2.344868,3.502,81.175534,47.09114560867785,3.189521999
2000,AZE,,,35.6333768,,
2000,BEL,2.544518,7.009,82.1186084,53.9798228269594,3.71670617
2000,BEN,,,60.1338912,,
2000,BGD,,,49.108751399999996,,
2000,BGR,10.31626,16.919,62.642855499999996,11.54934929702058,
2000,BHR,,,35.7871117,,
2000,BIH,,,54.3473671,,
2000,BLR,,,32.1353259,,
2000,BOL,,,60.5220037,,
2000,BRA,7.044141,9.358,61.899754099999996,,4.387949444
2000,BRN,,,41.0662072,,
2000,CAN,2.71944,6.821,85.1962023,45.87295973021485,5.138539163
2000,CHE,1.558529,2.657,84.1567697,61.589522687260846,3.633216862
2000,CHL,3.843273,10.481,75.1836479,3061.758840998448,4.971621488
2000,CHN,0.4,3.576,28.9626585,,8.6
2000,CMR,,,30.271270599999998,,
2000,COL,9.225347,15.04,46.4837911,5211.454993848045,6.716868698
2000,CRI,10.96155,5.082,75.8555597,1659.6055121711454,3.802072418
2000,CYP,,4.967,73.2251142,,
2000,CZE,3.775388,8.764,69.4788009,176.2618563747996,4.01066962
2000,DEU,1.440268,7.748,84.74835739999999,47.861444961415074,2.879663143
2000,DNK,2.903277,4.429,86.0777677,225.93733293718603,3.724008397
2000,DZA,,,35.4940693,,
2000,ECU,,,50.7264207,,
2000,ESP,3.433517,13.863,79.1183265,33.984208668358,5.200754392
2000,EST,4.018489,14.535,75.5104509,14.177795619509874,10.087636844
2000,FIN,3.042096,9.732,86.3089265,45.8138319530237,5.753634552
2000,FRA,1.67596,8.557,78.3023254,49.28520618309493,4.141053492
2000,GAB,,,40.3433491,,
2000,GBR,1.2,5.383,81.13789489999999,41.3473672945137,4.524380763
2000,GEO,,,46.6580319,,
2000,GHA,,,53.857680699999996,,
2000,GNQ,,,24.5182042,,
2000,GRC,3.151178,11.35,78.34142949999999,24.3711942383186,4.137827139
2000,GTM,,,46.4185191,,
2000,HND,,,48.590837,,
2000,HRV,4.616667,14.708,61.254923899999994,16.97970187107393,
2000,HUN,9.803608,6.401,76.88376269999999,1426.7678005083635,4.409375564
2000,IDN,3.688618,6.078,44.5807857,,4.920041386
2000,IND,4.009434,4.317,61.448867199999995,,9.39265
2000,IRL,5.577633,4.885,81.13736279999999,42.564092819458104,9.403524545
2000,IRQ,,,19.323708699999997,,
2000,ISL,5.136475,2.31,82.6258673,2475.9915695736727,4.905182106
2000,ISR,1.032636,11.042,65.2663491,76.35060106460948,8.688871206
2000,ITA,2.537687,10.518,73.2475103,44.143599481840425,3.882092354
2000,JAM,,,63.8799612,,
2000,JOR,,,48.1161082,,
2000,JPN,-0.7,4.774,75.168167,2167.0168117462463,2.978305696
2000,KAZ,,,34.6097158,,
2000,KEN,,,35.0758806,,
2000,KGZ,,,34.252476,,
2000,KWT,,,51.8812279,,
2000,LBY,,,24.327563599999998,,
2000,LKA,,,49.4748965,,
2000,LTU,0.9816155,16.404,70.5585802,12.791925613515373,3.418620227
2000,LUX,3.150768,2.345,82.92753139999999,78.54098382908415,6.938091314
2000,LVA,2.654253,14.259,67.13825779999999,10.69810933656212,5.841012751
2000,MAR,,,44.5389425,,
2000,MDG,,,54.5243068,,
2000,MEX,9.49156,2.564,59.7257822,84.04385117647857,5.029284006
2000,MKD,,36.025,46.0054026,,
2000,MLT,,6.324,75.5659443,,
2000,MMR,,,17.5915171,,
2000,MNG,,,60.7486452,,
2000,MOZ,,,50.8864197,,
2000,MYS,,,41.668466099999996,,
2000,NAM,,,59.7898378,,
2000,NGA,,,41.625737199999996,,
2000,NIC,,,52.182519199999994,,
2000,NLD,2.360522,3.047,86.3911305,50.48609569203542,4.227832184
2000,NOR,3.085506,3.331,85.6626541,339.4301771330547,3.443430782
2000,NPL,,,46.799872,,
