Country,Year,Value
AGO,2000,0.0
AGO,2001,0.0
AGO,2002,0.0
AGO,2003,0.0
AGO,2004,0.0
AGO,2005,0.0
AGO,2006,0.0
AGO,2007,0.0
AGO,2008,0.0
AGO,2009,0.0
AGO,2010,0.0
AGO,2011,0.0
AGO,2012,0.0
AGO,2013,0.0
AGO,2014,0.0
AGO,2015,0.0
AGO,2016,0.0
AGO,2017,0.0
AGO,2018,0.0
AGO,2019,0.0
AGO,2020,0.0
AGO,2021,0.0
AGO,2022,0.0
ALB,2000,46.5181540098418
ALB,2001,53.1827729721972
ALB,2002,54.0254111851842
ALB,2003,51.5567710161061
ALB,2004,48.3698345059957
ALB,2005,50.5736000967914
ALB,2006,41.2400076668958
ALB,2007,49.3498671390608
ALB,2008,50.0620058023779
ALB,2009,46.4105898436196
ALB,2010,28.9622144211035
ALB,2011,35.8947695672217
ALB,2012,15.7172869864158
ALB,2013,25.2004229154476
ALB,2014,28.9119530198608
ALB,2015,12.696461784444
ALB,2016,20.2723546315076
ALB,2017,38.8336005323813
ALB,2018,21.2694877505569
ALB,2019,32.2318027280548
ALB,2020,36.4699774665314
ALB,2021,24.1177519322935
ALB,2022,32.276396797251
ALB,2023,22.7015590200443
ARE,2000,0.0
ARE,2001,0.0
ARE,2002,0.0
ARE,2003,0.0
ARE,2004,0.0
ARE,2005,0.0
ARE,2006,0.0
ARE,2007,0.0
ARE,2008,0.0
ARE,2009,0.0
ARE,2010,0.0
ARE,2011,0.0
ARE,2012,0.0
ARE,2013,0.0
ARE,2014,0.0
ARE,2015,0.0
ARE,2016,0.0
ARE,2017,0.0
ARE,2018,0.0
ARE,2019,0.0
ARE,2020,0.0
ARE,2021,0.0
ARE,2022,0.0
ARG,2000,0.0
ARG,2001,0.0
ARG,2002,0.0
ARG,2003,0.0
ARG,2004,0.0
ARG,2005,0.0
ARG,2006,0.0
ARG,2007,0.0
ARG,2008,0.0
ARG,2009,0.0
ARG,2010,0.0
ARG,2011,7.23741684026606
ARG,2012,8.11439908863806
ARG,2013,13.9862181852131
ARG,2014,14.0678103429199
ARG,2015,13.5477809878759
ARG,2016,11.9993689573056
ARG,2017,13.2189146873857
ARG,2018,8.60875532272658
ARG,2019,2.49167707965442
ARG,2020,1.22800616932178
ARG,2021,5.96636808897159
ARG,2022,1.95855821220972
ARG,2023,0.41571453028353
ARM,2000,71.191142301674
ARM,2001,72.5653390486394
ARM,2002,62.9847896646093
ARM,2003,65.8698587202855
ARM,2004,65.6861739120524
ARM,2005,67.2370359807973
ARM,2006,68.0247916141616
ARM,2007,72.8092351995716
ARM,2008,75.1401155903935
ARM,2009,69.2562497712381
ARM,2010,69.6401092559821
ARM,2011,69.0180110458366
ARM,2012,74.3403810595709
ARM,2013,73.6822602294154
ARM,2014,71.6592288400781
ARM,2015,67.6293163476974
ARM,2016,68.2448098805489
ARM,2017,68.960568280661
ARM,2018,72.731773920089
ARM,2019,74.1707853018448
ARM,2020,74.1472665445986
ARM,2021,78.9045161126683
ARM,2022,76.8721086405015
AUS,2000,0.0
AUS,2001,0.0
AUS,2002,0.0
AUS,2003,0.0
AUS,2004,0.0
