Country,Year,Value
ALB,2011,69.1921886031503
ALB,2012,64.0504160397904
ALB,2013,70.4662619818776
ALB,2014,72.9442880579616
ALB,2015,79.2842872907886
ALB,2016,79.8771647108445
ALB,2017,74.5233409273812
ALB,2018,63.6337689521087
ALB,2019,74.8082518103115
ALB,2020,83.4542023899143
ALB,2021,81.9202285507536
ALB,2022,58.5241429999966
ALB,2023,53.0292543715132
ALB,2024,49.9643490499689
AND,2018,39.5661427058603
AND,2019,38.83800907991
AND,2020,52.4833906656816
AND,2021,58.756056270967
AND,2022,48.115804536322
AND,2023,42.5637250641322
AND,2024,40.0274935542564
ARE,2013,1.80326774795663
ARM,2019,50.0284206863703
ARM,2020,63.4012140067668
ARM,2021,60.080359768226
ARM,2022,46.5518225541677
ARM,2023,48.0562986764141
ARM,2024,47.8813384886388
AUS,2000,29.4708236736698
AUS,2001,27.6400889435694
AUS,2002,25.8412136969849
AUS,2003,25.0320718409237
AUS,2004,22.8245660455405
AUS,2005,22.3700818832059
AUS,2006,21.4023842789788
AUS,2007,20.0582738191257
AUS,2008,18.1404251935735
AUS,2009,23.7918159800555
AUS,2010,28.5706752868622
AUS,2011,30.0025299553744
AUS,2012,39.3096720165071
AUS,2013,37.4031396926122
AUS,2014,41.5409287207942
AUS,2015,46.293292747612
AUS,2016,54.463570652249
AUS,2017,53.1037976577229
AUS,2018,54.3001380799371
AUS,2019,59.9837867004913
AUS,2020,69.0656538994855
AUS,2021,69.836773674895
AUS,2022,57.8834285733848
AUS,2023,54.006
AUS,2024,56.137
AUT,2007,70.344
AUT,2008,75.631
AUT,2009,87.914
AUT,2010,92.261
AUT,2011,93.257
AUT,2012,100.813
AUT,2013,98.05
AUT,2014,105.613
AUT,2015,103.842
AUT,2016,103.555
AUT,2017,97.494
AUT,2018,92.153
AUT,2019,90.442
AUT,2020,107.945
AUT,2021,101.618
AUT,2022,80.241
AUT,2023,81.667
AUT,2024,83.521
AZE,2008,4.57653797474662
AZE,2009,6.29501240116287
AZE,2010,6.38557579182856
BEL,2007,94.929
BEL,2008,102.712
BEL,2009,110.733
BEL,2010,109.089
BEL,2011,111.361
BEL,2012,120.994
BEL,2013,118.727
BEL,2014,130.739
BEL,2015,127.426
BEL,2016,129.017
BEL,2017,122.963
BEL,2018,119.771
BEL,2019,121.441
BEL,2020,139.142
BEL,2021,129.195
BEL,2022,102.799
BEL,2023,104.118
BEL,2024,103.599
BFA,2018,45.5738610534927
BFA,2019,47.0623633717549
BFA,2020,73.3851925518101
BFA,2021,55.5822235545459
BFA,2022,63.1897248087734
BFA,2023,61.9320439111455
BGD,2001,31.4618431575804
BGD,2002,31.863991518402
BGD,2003,31.2044521104432
BGR,2007,48.474
BGR,2008,36.754
BGR,2009,42.712
BGR,2010,44.294
BGR,2011,42.089
BGR,2012,46.741
BGR,2013,47.963
BGR,2014,67.873
BGR,2015,63.503
BGR,2016,73.292
BGR,2017,66.658
BGR,2018,60.139
BGR,2019,56.976
BGR,2020,67.402
BGR,2021,68.068
BGR,2022,62.32
BGR,2023,62.726
BGR,2024,63.835
BHR,2000,25.7450148929614
BHR,2001,27.1047836328351
BHR,2002,28.3796671065326
BHR,2003,32.4533576041094
BHR,2004,29.3985591955441
BHR,2006,20.2540605565848
BHR,2007,7.54545632569935
BHR,2008,7.2926256555605
BHR,2009,15.6294022913075
BHR,2010,29.0713708137176
BHR,2011,34.5689325404164
BHR,2012,35.6065986264045
BHR,2013,42.2700248553772
BHR,2014,43.5275770260668
BHR,2015,60.7584088656577
BHR,2016,70.5694533398636
BHR,2017,77.5251429515026
BHR,2018,84.3014580347853
BHR,2019,91.3598106259863
BHR,2020,111.598089477141
BHS,2000,18.7520042790972
BHS,2006,22.7774542844919
BHS,2007,22.9908535609144
BHS,2008,25.45550066502
BHS,2009,30.908208407968
BHS,2010,33.6922817103418
BHS,2011,35.306429206242
BHS,2012,36.4498330286183
BHS,2013,44.7663646864529
BHS,2014,46.3248467111347
BHS,2015,47.6225079407988
BHS,2016,50.2046646297839
BHS,2017,52.624565152769
BHS,2018,56.5027068771842
BHS,2019,56.6924606462303
BHS,2020,79.0414158203086
BHS,2021,82.5398306524293
BHS,2022,77.6639776530748
BHS,2023,73.7303208143
BHS,2024,71.4578214596313
BIH,2011,45.8346942869169
BIH,2012,49.0902635279898
BIH,2013,49.6097495387668
BIH,2014,53.5008593062732
BIH,2016,52.2381270463661
BIH,2017,47.3715635812666
BIH,2018,44.8932316814539
BIH,2019,44.0235714265967
BIH,2020,45.4216327901094
BIH,2021,46.974819377832
BIH,2022,41.7435105198961
BIH,2023,40.3101186314933
BIH,2024,39.9087988103405
BLR,2000,15.0144518163306
BLR,2001,11.440616774975
BLR,2002,12.3366860124798
BLR,2005,6.57022058767027
BLR,2006,6.64440183178372
BLR,2007,8.9092608163614
BLR,2008,10.6566343685377
BLR,2009,18.5574619808712
BLR,2010,18.905245726907
BLR,2011,39.4168108447656
BLR,2012,24.4293134230567
BLR,2013,23.8372955552391
BLR,2014,24.5487262642116
BLR,2015,37.5981780556757
BLR,2016,38.9240984107258
BLR,2017,39.8801045313301
BLR,2018,37.0957369908527
BLR,2019,33.2442039424903
BLZ,2002,50.4310172089739
BLZ,2003,66.6155817914396
BLZ,2004,78.5645928230355
BLZ,2005,69.6837899301797
BLZ,2006,67.1012109617633
BLZ,2007,64.0974458625061
BLZ,2008,62.033292116626
BLZ,2009,64.9499537251718
BLZ,2010,64.0391039757611
BLZ,2011,62.4120191090005
BLZ,2012,61.1385471733495
BLZ,2013,61.1342977094366
BLZ,2014,61.0308317738748
BOL,2000,60.1091977404058
BOL,2001,68.3398527645303
BRA,2009,87.124
BRA,2010,61.3187804637225
BRA,2011,59.3416583034432
BRA,2012,59.8494900003683
BRA,2013,57.2284093842608
BRA,2014,58.4572711057739
BRA,2015,67.5375540307946
BRA,2016,73.4188038019563
BRA,2017,83.6692026491606
BRA,2018,86.6078841212333
BRA,2019,92.5652531951269
BRA,2020,98.7098819471851
BRA,2021,85.011503676948
BRA,2022,79.1023218880378
BRA,2023,83.0317498523499
BRA,2024,81.8554431189056
BRB,2005,63.7916238643802
BRB,2006,62.3690591999655
BRB,2007,66.8016267359889
BRB,2008,71.0883224744168
BRB,2009,86.8542626598636
BRB,2010,76.4393226392145
BRB,2011,82.4489816884745
BRB,2012,90.2372160393651
BRB,2013,99.4343885869565
BRB,2014,108.313205218304
BRB,2015,117.275144046752
BRB,2016,125.131136441335
BTN,2000,37.2923933577388
BTN,2001,67.1679909951713
BTN,2002,54.1217805841119
BTN,2003,65.6287612724923
BTN,2004,71.8993384935838
BTN,2005,75.6957100342792
BTN,2006,71.297555656776
