Country,Year,Value
AUS,2000-01-01,53.8947528879612
AUS,2001-01-01,55.9628084497333
AUS,2002-01-01,56.451117540579
AUS,2003-01-01,58.0215846031521
AUS,2004-01-01,58.2209049756107
AUS,2005-01-01,58.6695438287431
AUS,2006-01-01,59.1252169372207
AUS,2007-01-01,59.3923292763002
AUS,2008-01-01,59.9113673017542
AUS,2009-01-01,61.2341993655344
AUS,2010-01-01,61.0268314048541
AUS,2011-01-01,62.6219832084402
AUS,2012-01-01,63.8491837950429
AUS,2013-01-01,65.1315130763989
AUS,2014-01-01,65.9820941224408
AUS,2015-01-01,66.6276420106326
AUS,2016-01-01,67.1107700210519
AUS,2017-01-01,67.3316449827884
AUS,2018-01-01,67.3922145978436
AUS,2019-01-01,68.4392838733405
AUS,2020-01-01,69.7132000303643
AUS,2021-01-01,70.7547998324159
AUS,2022-01-01,68.1022481020544
AUS,2023-01-01,68.165761842534
AUT,2000-01-01,67.619342672674
AUT,2001-01-01,68.4757286704652
AUT,2002-01-01,69.6851215184024
AUT,2003-01-01,70.3462559248839
AUT,2004-01-01,71.4937550137757
AUT,2005-01-01,73.1975453469749
AUT,2006-01-01,75.0015413270462
AUT,2007-01-01,76.8400778001229
AUT,2008-01-01,76.7530505808636
AUT,2009-01-01,76.4593648159336
AUT,2010-01-01,77.4342800385513
AUT,2011-01-01,77.9865395807036
AUT,2012-01-01,78.5899306990941
AUT,2013-01-01,78.4572858142604
AUT,2014-01-01,78.3634440744509
AUT,2015-01-01,79.7046992996006
AUT,2016-01-01,79.697427942038
AUT,2017-01-01,80.6164664051292
AUT,2018-01-01,80.8468093907365
AUT,2019-01-01,80.7901806860852
AUT,2020-01-01,83.2201184302116
AUT,2021-01-01,82.9907512281334
AUT,2022-01-01,85.0801438104704
AUT,2023-01-01,83.3832357040562
AUT,2024-01-01,83.4260174235068
BEL,2000-01-01,77.5237705287032
BEL,2001-01-01,77.7013223156304
BEL,2002-01-01,78.2341747032393
BEL,2003-01-01,78.8936579045809
BEL,2004-01-01,81.4428473508001
BEL,2005-01-01,82.6831584844655
BEL,2006-01-01,83.1122661291929
BEL,2007-01-01,84.6486740483391
BEL,2008-01-01,84.1287406042398
