Country,Year,Value
AUS,2014,38.063
AUS,2015,39.844
AUS,2016,41.415
AUS,2017,43.022
AUS,2018,42.983
AUS,2019,46.633
AUS,2020,62.221
AUS,2007,12.765
AUS,2008,15.469
AUS,2009,21.004
AUS,2021,59.155
AUS,2022,52.674
AUS,2023,54.006
AUS,2024,56.137
AUS,2010,23.552
AUS,2011,28.319
AUS,2012,32.608
AUT,2020,107.945
AUT,2011,93.257
AUT,2012,100.813
AUT,2013,98.05
AUT,2014,105.613
AUT,2015,103.842
AUT,2009,87.914
AUT,2010,92.261
AUT,2008,75.631
AUT,2007,70.344
AUT,2021,101.618
AUT,2022,80.241
AUT,2023,81.667
AUT,2024,83.521
AUT,2016,103.555
AUT,2017,97.494
AUT,2018,92.153
BEL,2014,130.739
BEL,2015,127.426
BEL,2016,129.017
BEL,2017,122.963
BEL,2018,119.771
BEL,2019,121.441
BEL,2020,139.142
BEL,2007,94.929
BEL,2008,102.712
BEL,2009,110.733
BEL,2021,129.195
BEL,2022,102.799
BEL,2023,104.118
BEL,2024,103.599
BEL,2010,109.089
BEL,2011,111.361
BEL,2012,120.994
CAN,2019,96.69
CAN,2021,117.811
CAN,2011,92.573
CAN,2012,95.197
CAN,2013,92.194
CAN,2014,93.158
CAN,2009,86.592
CAN,2010,89.554
CAN,2008,74.235
CAN,2007,71.325
CAN,2022,98.127
CAN,2023,101.388
CAN,2024,106.554
CAN,2020,128.578
CAN,2015,99.652
CAN,2016,99.449
CAN,2017,96.142
CHL,2023,43.15
CHL,2024,45.832
CHL,2011,17.994
CHL,2012,18.453
CHL,2013,19.032
CHL,2014,22.375
CHL,2009,13.449
CHL,2010,15.403
CHL,2008,12.516
CHL,2007,11.376
CHL,2015,24.293
CHL,2016,28.39
CHL,2017,29.364
CHL,2018,32.205
CHL,2019,38.768
CHL,2020,44.23
CHL,2021,42.267
COL,2017,56.11
COL,2018,60.175
COL,2019,63.109
COL,2015,49.574
CZE,2021,46.722
CZE,2022,45.886
CZE,2011,46.908
CZE,2012,56.177
CZE,2013,55.984
CZE,2014,54.819
CZE,2009,39.998
CZE,2010,43.897
CZE,2008,33.221
CZE,2007,30.775
CZE,2023,48.412
CZE,2024,48.961
CZE,2015,51.955
CZE,2016,47.529
CZE,2017,43.217
CZE,2018,39.717
CZE,2019,37.236
DNK,2014,63.791
DNK,2015,58.068
DNK,2016,56.946
DNK,2017,54.103
DNK,2018,52.673
DNK,2019,54.298
DNK,2020,62.65
DNK,2007,37.457
DNK,2008,43.527
DNK,2009,52.878
DNK,2021,54.313
DNK,2022,39.062
DNK,2023,39.901
DNK,2024,37.848
DNK,2010,56.257
DNK,2011,64.907
DNK,2012,64.889
EST,2016,13.781
EST,2017,13.286
EST,2018,13.089
EST,2019,13.831
EST,2020,25.172
EST,2007,7.301
EST,2008,8.583
EST,2009,13.4
EST,2012,14.369
EST,2014,14.689
EST,2021,25.084
EST,2022,26.31
EST,2023,28.847
EST,2024,33.012
EST,2010,13.182
EST,2011,10.866
EST,2013,14.732
FIN,2019,75.626
FIN,2020,87.225
FIN,2011,61.005
FIN,2012,68.257
FIN,2013,69.126
FIN,2014,76.284
FIN,2009,51.636
FIN,2010,58.016
FIN,2008,40.325
FIN,2007,41.088
FIN,2021,82.097
FIN,2022,74.64
FIN,2023,80.116
FIN,2024,85.319
FIN,2015,80.375
FIN,2016,81.128
FIN,2017,78.47
FRA,2015,121.554
FRA,2016,124.916
FRA,2017,124.781
FRA,2018,122.765
FRA,2019,122.844
FRA,2020,144.473
FRA,2007,77.26
FRA,2008,83.411
FRA,2009,97.951
FRA,2012,111.394
FRA,2021,136.655
FRA,2022,115.382
FRA,2023,116.269
FRA,2024,116.683
FRA,2010,101.194
FRA,2011,103.391
FRA,2013,112.727
DEU,2014,83.445
DEU,2015,79.215
DEU,2016,76.533
DEU,2017,71.905
DEU,2018,68.835
DEU,2019,67.703
DEU,2020,80.803
DEU,2008,70.835
DEU,2009,77.437
DEU,2007,66.353
DEU,2021,78.389
DEU,2022,63.954
DEU,2023,63.331
DEU,2024,62.863
DEU,2010,86.568
DEU,2011,85.513
DEU,2012,88.189
GRC,2017,192.507
GRC,2018,198.238
GRC,2011,113.482
GRC,2012,169.329
GRC,2013,183.198
GRC,2014,184.325
GRC,2009,137.374
GRC,2010,130.668
GRC,2008,119.247
GRC,2007,114.683
GRC,2021,220.349
GRC,2022,192.4
GRC,2023,180.337
GRC,2024,169.93
GRC,2019,198.326
GRC,2020,233.197
GRC,2015,185.291
HUN,2019,83.599
HUN,2021,88.295
HUN,2011,95.295
HUN,2012,98.682
HUN,2013,97.229
HUN,2014,100.559
HUN,2009,85.076
HUN,2010,86.243
HUN,2008,75.793
HUN,2007,71.895
HUN,2022,77.583
HUN,2023,81.726
HUN,2024,82.007
HUN,2020,96.496
HUN,2015,98.798
HUN,2016,98.424
HUN,2017,93.105
ISL,2014,121.717
ISL,2015,102.085
ISL,2016,87.488
ISL,2017,76.909
ISL,2018,68.137
ISL,2019,70.929
ISL,2020,83.183
ISL,2007,72.434
ISL,2008,115.448
ISL,2009,134.4
ISL,2021,80.414
ISL,2022,73.248
ISL,2023,68.57
ISL,2024,66.558
ISL,2010,138.176
ISL,2011,143.627
ISL,2012,139.096
IRL,2014,122.619
IRL,2015,89.383
IRL,2016,87.289
IRL,2017,76.644
IRL,2018,74.397
IRL,2019,68.778
IRL,2020,71.433
IRL,2009,67.47
IRL,2008,47.291
IRL,2007,27.475
IRL,2021,62.867
IRL,2022,45.103
IRL,2023,44.639
IRL,2024,38.486
IRL,2010,83.449
IRL,2011,109.933
IRL,2012,128.334
ISR,2014,77.72
ISR,2015,78.503
ISR,2016,77.112
ISR,2017,73.879
ISR,2018,72.05
ISR,2019,74.651
ISR,2007,78.682
ISR,2008,79.667
ISR,2009,82.616
ISR,2020,86.799
ISR,2021,82.853
ISR,2022,68.458
ISR,2024,68.16
ISR,2010,79.469
ISR,2011,77.705
ISR,2012,78.844
ITA,2014,154.841
ITA,2015,155.859
ITA,2016,153.176
ITA,2017,150.633
ITA,2018,145.844
ITA,2019,152.884
ITA,2008,112.129
ITA,2009,125.046
ITA,2007,109.755
ITA,2020,181.381
ITA,2021,169.047
ITA,2022,145.096
ITA,2023,147.473
ITA,2024,147.979
ITA,2010,123.832
ITA,2011,116.961
ITA,2012,135.133
JPN,2014,217.044
JPN,2015,220.698
JPN,2016,220.111
JPN,2017,219.866
JPN,2018,223.899
JPN,2019,225.311
JPN,2007,153.206
JPN,2008,158.574
JPN,2009,178.947
JPN,2020,246.677
JPN,2021,243.816
JPN,2022,242.438
JPN,2023,227.994
JPN,2024,212.291
JPN,2010,183.025
JPN,2011,198.697
JPN,2012,207.247
KOR,2021,47.593
KOR,2022,46.188
KOR,2011,33.073
KOR,2012,35.513
KOR,2013,37.091
KOR,2014,39.89
KOR,2009,28.771
KOR,2010,30.574
KOR,2007,25.423
KOR,2008,26.282
KOR,2024,48.542
KOR,2015,41.298
KOR,2016,40.634
KOR,2017,38.644
KOR,2018,39.589
KOR,2019,41.69
LVA,2020,57.144
LVA,2021,60.504
LVA,2011,52.79
LVA,2012,50.691
LVA,2013,47.49
LVA,2014,52.737
LVA,2009,43.338
LVA,2010,54.634
LVA,2007,14.003
LVA,2008,24.833
LVA,2022,54.352
LVA,2023,54.228
LVA,2024,57.58
LVA,2015,47.809
LVA,2016,51.645
LVA,2017,49.137
LVA,2018,48.25
LTU,2019,44.154
LTU,2020,54.671
LTU,2011,46.095
LTU,2012,51.513
LTU,2013,48.234
LTU,2014,52.906
LTU,2008,17.125
LTU,2009,34.082
LTU,2010,46.104
LTU,2007,19.388
LTU,2021,50.186
LTU,2022,37.818
LTU,2023,38.559
LTU,2024,40.387
LTU,2015,53.196
LTU,2016,50.986
LTU,2017,47.104
LUX,2019,30.845
LUX,2016,27.064
LUX,2007,17.207
LUX,2008,24.694
LUX,2011,26.794
LUX,2012,27.621
LUX,2014,29.055
LUX,2009,22.501
LUX,2010,27.458
LUX,2020,32.988
LUX,2021,31.152
LUX,2022,29.779
LUX,2023,30.44
LUX,2024,31.704
LUX,2013,28.172
LUX,2015,29.134
LUX,2017,28.761
MEX,2020,62.041
MEX,2021,57.258
MEX,2011,42.656
MEX,2012,46.05
MEX,2013,49.366
MEX,2014,50.074
MEX,2008,42.326
MEX,2009,37.464
MEX,2010,38.602
MEX,2007,41.202
MEX,2022,55.053
MEX,2023,55.981
MEX,2024,62.292
MEX,2015,52.464
MEX,2016,50.99
MEX,2017,48.943
MEX,2018,48.053
NLD,2014,82.802
NLD,2015,78.844
NLD,2016,76.405
NLD,2017,69.822
NLD,2018,65.142
NLD,2019,61.286
NLD,2007,50.366
NLD,2008,62.481
NLD,2009,64.965
NLD,2020,68.778
NLD,2021,64.322
NLD,2022,52.718
NLD,2023,50.841
NLD,2024,48.176
NLD,2010,69.184
NLD,2011,73.451
NLD,2012,79.053
NZL,2021,53.132
NZL,2022,55.966
NZL,2011,42.319
NZL,2012,45.514
NZL,2013,42.339
NZL,2014,42.138
NZL,2008,27.61
NZL,2009,30.163
NZL,2010,33.523
NZL,2007,25.729
NZL,2024,53.356
NZL,2015,41.788
NZL,2016,40.751
NZL,2017,39.468
NZL,2018,37.41
NZL,2019,34.138
NOR,2021,47.741
NOR,2023,50.155
NOR,2011,34.507
NOR,2012,35.646
NOR,2013,36.236
NOR,2014,34.49
NOR,2008,54.462
NOR,2009,48.612
NOR,2010,48.97
NOR,2007,55.846
NOR,2022,41.289
NOR,2024,61.338
NOR,2017,44.235
NOR,2015,39.977
