Country,Year,Value
AUS,2021,38.0
AUS,2023,38.1
AUT,2021,25.8
BEL,2021,31.8
BEL,2023,36.3
CAN,2021,37.5
CAN,2023,34.6
CHE,2023,23.6
CHL,2023,53.7
COL,2021,20.5
COL,2023,49.8
CRI,2023,42.9
CZE,2023,71.1
DEU,2023,48.7
DNK,2021,11.1
DNK,2023,41.8
ESP,2023,37.4
EST,2021,13.9
EST,2023,48.7
FIN,2021,61.5
FIN,2023,39.6
FRA,2021,53.0
FRA,2023,50.7
GBR,2021,34.8
GBR,2023,56.9
GRC,2023,53.4
IRL,2021,0.2
IRL,2023,41.6
ISL,2021,50.4
ISL,2023,49.1
ITA,2023,46.7
JPN,2021,23.5
KOR,2021,3.0
KOR,2023,44.3
LUX,2021,55.9
LUX,2023,26.0
LVA,2021,62.3
LVA,2023,53.8
MEX,2023,26.6
NLD,2021,33.1
NLD,2023,39.6
NOR,2021,63.8
NOR,2023,38.8
NZL,2023,35.5
OECD_REP,2021,14.8
OECD_REP,2023,44.2
PRT,2021,2.0
PRT,2023,45.5
SVK,2023,51.3
SVN,2023,57.9
SWE,2021,12.3
SWE,2023,42.4
