Country,Year,Value
AFE,2000,-36.0068077390275
AFE,2001,-36.6439410966545
AFE,2002,-43.3554638687428
AFE,2003,-38.5168322687859
AFE,2004,-37.8772386107313
AFE,2005,-46.0776653717923
AFE,2006,-48.6127651528268
AFE,2007,-51.481341557416
AFE,2008,-48.5908188685954
AFE,2009,-41.8729717003225
AFE,2010,-47.6306550618306
AFE,2011,-34.4587420521863
AFE,2012,-30.6939357165572
AFE,2013,-30.9381740811701
AFE,2014,-26.7678529638023
AFE,2015,-29.0932128746545
AFE,2016,-26.5308116082362
AFE,2017,-26.2180905463239
AFE,2018,-24.1880344780285
AFE,2019,-20.2538516134308
AFE,2020,-21.1770497566242
AFE,2021,-15.6231822077422
AFE,2022,-15.1947949493802
AFE,2023,22.5559165278294
AFW,2000,-226.602650202688
AFW,2001,-226.293824804376
AFW,2002,-194.638178890744
AFW,2003,-213.322416230615
AFW,2004,-232.209498707588
AFW,2005,-214.805959763554
AFW,2006,-216.803408888279
AFW,2007,-210.330197327463
AFW,2008,-190.53180139221
AFW,2009,-190.499830357127
AFW,2010,-174.229230520199
AFW,2011,-160.360116638306
AFW,2012,-161.080126658059
AFW,2013,-136.885091141494
AFW,2014,-135.52155747166
AFW,2015,-144.428389776344
AFW,2016,-114.575324375496
AFW,2017,-122.080649437011
AFW,2018,-128.012127197655
AFW,2019,-114.97798412685
AFW,2020,-93.7072976717298
AFW,2021,-71.2969748944733
AFW,2022,-60.8465886513954
AGO,2000,-546.644969089562
AGO,2001,-487.014261851045
AGO,2002,-575.454279908967
AGO,2003,-520.181044616697
AGO,2004,-590.353277770867
AGO,2005,-812.883915448714
AGO,2006,-818.589834028409
AGO,2007,-905.051352241387
AGO,2008,-910.835918394143
AGO,2009,-775.821353502783
AGO,2010,-745.524556600854
AGO,2011,-646.021743098799
AGO,2012,-604.183229225818
AGO,2013,-608.406709679259
AGO,2014,-637.730286963911
AGO,2015,-568.890997777471
AGO,2016,-599.543341860681
AGO,2017,-564.384879106892
AGO,2018,-558.350771386648
AGO,2019,-488.932842686293
AGO,2020,-474.846560770552
AGO,2021,-373.796632306382
AGO,2022,-353.971819384273
ALB,2000,46.5181540098418
ALB,2001,53.1827729721972
ALB,2002,54.0254111851842
ALB,2003,51.5567710161061
ALB,2004,48.3698345059957
ALB,2005,50.5736000967914
ALB,2006,41.2400076668958
ALB,2007,49.3498671390608
ALB,2008,50.0620058023779
ALB,2009,46.4105898436196
ALB,2010,28.9622144211035
ALB,2011,35.8947695672217
ALB,2012,15.7172869864158
ALB,2013,25.2004229154476
ALB,2014,28.9119530198608
ALB,2015,12.696461784444
ALB,2016,20.2723546315076
ALB,2017,38.8336005323813
ALB,2018,21.2694877505569
ALB,2019,32.2318027280548
ALB,2020,36.4699774665314
ALB,2021,24.1177519322935
ALB,2022,32.276396797251
ALB,2023,22.7015590200443
ARB,2000,-287.096316360872
ARB,2001,-255.840690660292
ARB,2002,-228.636925491539
ARB,2003,-236.281721695946
ARB,2004,-255.748959103389
ARB,2005,-231.852307982609
ARB,2006,-216.736345655801
ARB,2007,-202.636453892051
ARB,2008,-196.292845743707
ARB,2009,-180.178448496933
ARB,2010,-177.255132368831
ARB,2011,-181.507226366315
ARB,2012,-184.982223811802
ARB,2013,-174.149075179052
ARB,2014,-157.46363693439
ARB,2015,-158.688222538078
ARB,2016,-166.709839520834
ARB,2017,-155.761471186741
ARB,2018,-161.58000274827
ARB,2019,-158.313720421706
ARB,2020,-149.302631545499
ARB,2021,-145.156494225722
ARB,2022,-150.383121563667
ARE,2000,-362.474926037534
ARE,2001,-237.173477911049
ARE,2002,-227.237770609243
ARE,2003,-262.635909408767
ARE,2004,-282.902083582046
ARE,2005,-271.877260330466
ARE,2006,-275.297889831981
ARE,2007,-239.143526278874
ARE,2008,-189.037429177801
ARE,2009,-151.936703989788
ARE,2010,-174.858852041957
ARE,2011,-203.925954383789
ARE,2012,-204.392627312405
ARE,2013,-197.723542414887
ARE,2014,-153.250707324208
ARE,2015,-144.956335243698
ARE,2016,-138.130060398239
ARE,2017,-163.562735811068
ARE,2018,-159.725700134966
ARE,2019,-157.251588097578
ARE,2020,-166.676304495143
ARE,2021,-148.779300357276
ARE,2022,-171.482371329992
ARG,2000,-33.8428334748467
ARG,2001,-44.4626056000365
ARG,2002,-44.6310234240684
ARG,2003,-40.163476366035
ARG,2004,-28.0318418904938
ARG,2005,-24.0369585420304
ARG,2006,-18.716216878307
ARG,2007,-8.75840895532529
ARG,2008,-6.2618363216528
