Country,Year,Value
AL,2000,45.781
AL,2001,52.21
AL,2002,53.36
AL,2003,50.757
AL,2004,47.764
AL,2005,49.71
AL,2006,40.387
AL,2007,49.179
AL,2008,49.78
AL,2009,46.388
AL,2010,28.897
AL,2011,35.658
AL,2012,15.626
AL,2013,25.3
AL,2014,28.716
AL,2015,12.593
AL,2016,20.128
AL,2017,38.126
AL,2018,20.967
AL,2019,31.546
AL,2020,35.822
AL,2021,23.765
AL,2022,31.467
AL,2023,21.845
AL,2024,27.138
AT,2000,65.543
AT,2001,65.044
AT,2002,68.022
AT,2003,70.993
AT,2004,71.451
AT,2005,71.76
AT,2006,72.248
AT,2007,68.475
AT,2008,68.738
AT,2009,65.122
AT,2010,62.782
AT,2011,69.981
AT,2012,63.785
AT,2013,61.26
AT,2014,65.625
AT,2015,60.379
AT,2016,62.102
AT,2017,63.93
AT,2018,64.223
AT,2019,71.601
AT,2020,58.281
AT,2021,51.952
AT,2022,73.986
AT,2023,60.317
AT,2024,53.325
BA,2014,28.209
BA,2015,33.693
BA,2016,31.518
BA,2017,34.031
BA,2018,24.263
BA,2019,27.377
BA,2020,25.398
BA,2021,27.151
BA,2022,26.281
BA,2023,24.836
BA,2024,27.796
BE,2000,78.164
BE,2001,80.693
BE,2002,77.667
BE,2003,79.704
BE,2004,79.774
BE,2005,79.912
BE,2006,79.486
BE,2007,76.882
BE,2008,80.846
BE,2009,75.921
BE,2010,78.656
BE,2011,76.588
BE,2012,76.673
BE,2013,77.858
BE,2014,80.19
BE,2015,84.227
BE,2016,75.982
BE,2017,75.318
BE,2018,83.043
BE,2019,77.668
BE,2020,78.133
BE,2021,70.773
BE,2022,73.697
BE,2023,75.763
BE,2024,75.448
BG,2000,46.409
BG,2001,46.199
BG,2002,46.917
BG,2003,46.65
BG,2004,48.34
BG,2005,47.343
BG,2006,46.223
BG,2007,51.233
BG,2008,52.154
BG,2009,45.393
BG,2010,40.146
BG,2011,36.732
BG,2012,36.859
BG,2013,38.313
BG,2014,35.171
BG,2015,36.446
BG,2016,38.472
BG,2017,39.362
BG,2018,36.596
BG,2019,38.457
BG,2020,38.171
BG,2021,36.178
BG,2022,37.11
BG,2023,39.512
BG,2024,41.936
CY,2000,98.632
CY,2001,96.075
CY,2002,100.557
CY,2003,96.074
CY,2004,95.457
CY,2005,100.703
CY,2006,102.508
CY,2007,95.894
CY,2008,97.427
CY,2009,96.13
CY,2010,100.636
CY,2011,92.263
CY,2012,96.748
CY,2013,96.071
CY,2014,93.086
CY,2015,97.319
CY,2016,95.841
CY,2017,95.927
CY,2018,92.491
CY,2019,92.792
CY,2020,93.179
CY,2021,89.524
CY,2022,92.018
CY,2023,92.205
CY,2024,87.706
CZ,2000,22.704
CZ,2001,25.012
CZ,2002,26.204
CZ,2003,24.929
CZ,2004,25.338
CZ,2005,27.846
CZ,2006,27.498
CZ,2007,24.989
CZ,2008,27.737
CZ,2009,26.867
CZ,2010,25.38
CZ,2011,28.832
CZ,2012,25.413
CZ,2013,27.58
CZ,2014,30.227
CZ,2015,32.089
CZ,2016,32.8
CZ,2017,37.162
CZ,2018,36.879
CZ,2019,40.81
CZ,2020,38.768
CZ,2021,39.958
CZ,2022,41.772
CZ,2023,41.679
CZ,2024,39.32
DE,2000,59.441
DE,2001,60.891
DE,2002,60.126
DE,2003,60.54
DE,2004,61.158
DE,2005,60.74
DE,2006,60.981
DE,2007,58.516
DE,2008,60.769
DE,2009,61.103
DE,2010,59.992
DE,2011,61.801
DE,2012,61.215
DE,2013,62.411
DE,2014,61.779
DE,2015,62.132
DE,2016,63.752
DE,2017,63.959
DE,2018,63.478
DE,2019,67.055
DE,2020,63.676
DE,2021,63.395
DE,2022,68.652
DE,2023,66.831
DE,2024,66.812
DK,2000,-35.918
DK,2001,-28.63
DK,2002,-42.287
DK,2003,-31.541
DK,2004,-47.12
DK,2005,-50.618
DK,2006,-35.492
DK,2007,-24.247
DK,2008,-21.129
DK,2009,-18.8
DK,2010,-16.235
DK,2011,-6.315
DK,2012,-3.175
DK,2013,12.312
DK,2014,12.225
DK,2015,13.078
DK,2016,13.57
DK,2017,11.344
DK,2018,22.704
DK,2019,38.882
DK,2020,44.89
DK,2021,32.225
DK,2022,43.142
DK,2023,39.705
DK,2024,38.229
EE,2000,33.989
EE,2001,33.742
EE,2002,32.107
EE,2003,29.764
EE,2004,30.11
EE,2005,26.878
EE,2006,30.03
EE,2007,24.288
EE,2008,27.215
EE,2009,27.175
EE,2010,14.68
EE,2011,13.646
EE,2012,20.648
EE,2013,14.522
EE,2014,11.562
EE,2015,11.182
EE,2016,8.069
EE,2017,4.584
EE,2018,1.229
EE,2019,4.724
EE,2020,10.528
EE,2021,1.412
EE,2022,6.159
EE,2023,3.471
EE,2024,4.622
EL,2000,69.055
EL,2001,68.495
EL,2002,71.063
EL,2003,67.088
EL,2004,72.259
EL,2005,68.204
EL,2006,71.419
EL,2007,70.858
EL,2008,72.915
EL,2009,67.341
EL,2010,68.584
EL,2011,64.677
EL,2012,65.889
EL,2013,61.75
EL,2014,65.455
EL,2015,71.047
EL,2016,72.911
EL,2017,71.282
EL,2018,70.681
EL,2019,74.103
EL,2020,81.415
EL,2021,73.819
EL,2022,79.506
EL,2023,75.447
EL,2024,77.714
ES,2000,76.797
ES,2001,74.797
ES,2002,78.642
ES,2003,76.738
ES,2004,77.652
ES,2005,81.534
ES,2006,81.304
ES,2007,79.56
ES,2008,81.605
ES,2009,79.549
ES,2010,77.003
ES,2011,76.012
ES,2012,72.798
ES,2013,69.997
ES,2014,72.557
ES,2015,72.741
ES,2016,71.486
ES,2017,73.886
ES,2018,73.613
ES,2019,75.034
ES,2020,67.892
ES,2021,69.38
ES,2022,74.202
ES,2023,68.261
ES,2024,68.871
FI,2000,55.475
FI,2001,55.337
FI,2002,52.36
FI,2003,59.095
FI,2004,54.731
FI,2005,54.459
FI,2006,54.073
FI,2007,53.32
FI,2008,54.483
FI,2009,54.795
FI,2010,48.852
FI,2011,53.897
FI,2012,47.103
FI,2013,49.64
FI,2014,49.89
FI,2015,47.901
FI,2016,46.104
FI,2017,43.868
FI,2018,45.23
FI,2019,42.894
FI,2020,43.031
FI,2021,37.933
FI,2022,40.919
FI,2023,29.709
FI,2024,32.973
FR,2000,51.275
FR,2001,50.429
FR,2002,50.817
FR,2003,50.665
FR,2004,50.86
FR,2005,51.698
FR,2006,51.518
FR,2007,50.42
FR,2008,50.748
FR,2009,50.652
FR,2010,48.668
FR,2011,49.012
FR,2012,48.133
FR,2013,47.934
FR,2014,46.215
FR,2015,45.895
FR,2016,47.327
FR,2017,48.703
FR,2018,46.735
FR,2019,47.584
FR,2020,44.424
FR,2021,44.036
FR,2022,51.819
FR,2023,44.773
FR,2024,41.672
GE,2013,66.473
GE,2014,69.722
GE,2015,72.736
GE,2016,72.014
GE,2017,72.953
GE,2018,75.666
GE,2019,79.08
GE,2020,79.653
GE,2021,76.706
GE,2022,77.696
GE,2023,78.022
GE,2024,78.461
HR,2000,48.345
HR,2001,46.556
HR,2002,54.45
HR,2003,50.697
HR,2004,51.876
HR,2005,52.595
HR,2006,49.17
HR,2007,51.805
HR,2008,54.755
HR,2009,46.044
HR,2010,46.696
HR,2011,49.641
HR,2012,49.847
HR,2013,47.436
HR,2014,44.206
HR,2015,48.791
HR,2016,48.43
HR,2017,53.157
HR,2018,52.695
HR,2019,56.216
HR,2020,53.564
HR,2021,54.539
HR,2022,60.303
HR,2023,55.721
HR,2024,59.929
HU,2000,54.978
HU,2001,53.411
HU,2002,56.885
HU,2003,62.057
HU,2004,60.955
HU,2005,62.254
HU,2006,61.819
HU,2007,60.362
HU,2008,62.589
HU,2009,57.574
HU,2010,56.93
HU,2011,50.273
HU,2012,50.146
HU,2013,50.122
HU,2014,59.845
HU,2015,53.875
HU,2016,55.823
HU,2017,62.645
HU,2018,58.123
HU,2019,69.712
HU,2020,56.618
HU,2021,54.121
HU,2022,64.206
HU,2023,62.087
HU,2024,48.943
IE,2000,85.432
IE,2001,89.603
IE,2002,88.084
IE,2003,90.261
IE,2004,91.608
IE,2005,89.647
IE,2006,90.745
IE,2007,87.548
IE,2008,89.991
IE,2009,87.797
IE,2010,87.462
IE,2011,90.312
IE,2012,83.677
IE,2013,91.506
IE,2014,86.012
IE,2015,88.653
IE,2016,68.951
IE,2017,66.021
IE,2018,67.576
IE,2019,68.673
IE,2020,71.125
IE,2021,76.997
IE,2022,79.086
IE,2023,77.761
IE,2024,79.533
IS,2000,30.567
IS,2001,29.083
IS,2002,28.813
IS,2003,27.848
IS,2004,31.955
IS,2005,31.224
IS,2006,25.98
IS,2007,22.832
IS,2008,21.2
IS,2009,20.106
IS,2010,13.864
IS,2011,13.39
IS,2012,13.694
IS,2013,13.505
IS,2014,13.955
IS,2015,16.418
IS,2016,18.941
IS,2017,18.37
IS,2018,19.143
IS,2019,16.106
IS,2020,11.966
IS,2021,15.132
IS,2022,17.336
IS,2023,16.978
IS,2024,16.807
IT,2000,86.523
IT,2001,83.244
IT,2002,85.589
IT,2003,82.995
IT,2004,84.36
IT,2005,83.348
IT,2006,85.867
IT,2007,83.002
IT,2008,82.804
IT,2009,80.777
IT,2010,82.571
IT,2011,81.353
IT,2012,79.109
IT,2013,76.736
IT,2014,75.811
IT,2015,77.03
IT,2016,77.653
IT,2017,76.979
IT,2018,76.338
IT,2019,77.484
IT,2020,73.454
IT,2021,73.416
IT,2022,79.49
IT,2023,75.356
IT,2024,73.884
LT,2000,57.776
LT,2001,45.539
LT,2002,40.61
LT,2003,42.663
LT,2004,45.521
LT,2005,55.332
LT,2006,60.351
LT,2007,59.111
LT,2008,56.016
LT,2009,48.045
LT,2010,79.045
LT,2011,78.604
LT,2012,77.534
LT,2013,75.556
LT,2014,74.935
LT,2015,75.452
LT,2016,74.784
LT,2017,71.965
LT,2018,73.897
LT,2019,75.202
LT,2020,74.909
LT,2021,73.272
LT,2022,72.434
LT,2023,69.498
LT,2024,66.014
LU,2000,99.598
LU,2001,97.374
LU,2002,98.61
LU,2003,98.378
LU,2004,97.892
LU,2005,97.376
LU,2006,98.232
LU,2007,96.668
LU,2008,97.446
LU,2009,97.514
LU,2010,97.069
LU,2011,97.293
LU,2012,97.51
LU,2013,97.1
LU,2014,96.626
LU,2015,95.958
LU,2016,96.28
LU,2017,95.558
LU,2018,95.156
LU,2019,95.009
LU,2020,92.342
LU,2021,92.374
LU,2022,91.483
LU,2023,91.448
LU,2024,91.034
LV,2000,61.01
LV,2001,59.372
LV,2002,58.76
LV,2003,63.235
LV,2004,69.422
LV,2005,63.841
LV,2006,66.707
LV,2007,62.478
LV,2008,58.825
LV,2009,60.411
LV,2010,45.545
LV,2011,59.863
LV,2012,56.388
LV,2013,55.883
LV,2014,40.592
LV,2015,51.179
LV,2016,47.152
LV,2017,44.055
LV,2018,44.316
LV,2019,43.917
LV,2020,45.485
LV,2021,38.335
LV,2022,38.213
LV,2023,32.716
LV,2024,29.26
MD,2010,77.475
MD,2011,79.091
MD,2012,76.133
MD,2013,76.802
MD,2014,74.185
MD,2015,74.932
MD,2016,73.996
MD,2017,73.19
MD,2018,74.252
MD,2019,76.561
MD,2020,77.476
MD,2021,76.636
MD,2022,81.0
MD,2023,75.553
MD,2024,79.287
ME,2005,42.477
ME,2006,44.975
ME,2007,54.291
ME,2008,46.208
ME,2009,43.066
ME,2010,26.397
ME,2011,36.219
ME,2012,34.27
ME,2013,23.482
ME,2014,29.917
ME,2015,30.08
ME,2016,34.59
ME,2017,40.486
ME,2018,31.06
ME,2019,32.857
ME,2020,27.422
ME,2021,31.098
ME,2022,29.089
ME,2023,23.742
ME,2024,32.622
MK,2000,40.758
MK,2001,38.793
MK,2002,46.368
MK,2003,39.189
MK,2004,41.804
MK,2005,42.761
MK,2006,44.683
MK,2007,47.116
MK,2008,46.304
MK,2009,45.221
MK,2010,44.005
MK,2011,45.62
MK,2012,48.187
MK,2013,46.729
MK,2014,51.55
MK,2015,52.432
MK,2016,58.754
MK,2017,56.186
MK,2018,58.388
MK,2019,58.146
MK,2020,63.487
MK,2021,68.073
MK,2022,63.329
MK,2023,62.79
MK,2024,64.791
MT,2000,100.246
MT,2001,99.822
MT,2002,99.802
MT,2003,99.826
MT,2004,99.829
MT,2005,99.967
MT,2006,99.962
MT,2007,99.956
MT,2008,99.952
MT,2009,99.926
MT,2010,99.036
MT,2011,101.3
MT,2012,100.973
MT,2013,104.139
MT,2014,97.657
MT,2015,97.296
MT,2016,101.076
MT,2017,103.052
MT,2018,97.527
MT,2019,97.274
MT,2020,97.555
MT,2021,97.042
MT,2022,98.965
MT,2023,97.553
MT,2024,98.388
NL,2000,38.267
NL,2001,34.403
NL,2002,35.084
NL,2003,38.717
NL,2004,32.149
NL,2005,37.784
NL,2006,38.561
NL,2007,37.407
NL,2008,33.555
NL,2009,34.059
NL,2010,28.279
NL,2011,29.357
NL,2012,30.635
NL,2013,23.738
NL,2014,30.948
NL,2015,48.372
NL,2016,45.874
NL,2017,51.699
NL,2018,59.517
NL,2019,64.304
NL,2020,68.023
NL,2021,58.451
NL,2022,80.242
NL,2023,70.411
NL,2024,70.564
NO,2000,-723.443
NO,2001,-716.791
NO,2002,-801.071
NO,2003,-739.13
NO,2004,-702.544
