Country,Year,Value
AUT,2000,66.6
AUT,2001,67.2
AUT,2002,67.4
AUT,2003,66.4
AUT,2004,65.9
AUT,2005,69.4
AUT,2006,68.2
AUT,2007,65.8
AUT,2008,69.5
AUT,2009,80.8
AUT,2010,83.7
AUT,2011,83.4
AUT,2012,82.9
AUT,2013,82.4
AUT,2014,85.2
AUT,2015,85.6
AUT,2016,83.4
AUT,2017,79.1
AUT,2018,74.6
AUT,2019,71.0
AUT,2020,83.2
AUT,2021,82.4
AUT,2022,78.1
AUT,2023,77.8
AUT,2024,80.0
BEL,2000,109.7
BEL,2001,108.5
BEL,2002,105.6
BEL,2003,101.8
BEL,2004,97.2
BEL,2005,95.2
BEL,2006,91.5
BEL,2007,87.5
BEL,2008,93.2
BEL,2009,99.9
BEL,2010,100.3
BEL,2011,102.8
BEL,2012,104.4
BEL,2013,105.1
BEL,2014,106.6
BEL,2015,105.7
BEL,2016,105.8
BEL,2017,102.6
BEL,2018,100.2
BEL,2019,97.7
BEL,2020,111.4
BEL,2021,108.7
BEL,2022,103.3
BEL,2023,102.5
BEL,2024,103.9
BGR,2000,70.7
BGR,2001,64.5
BGR,2002,51.0
BGR,2003,43.4
BGR,2004,35.7
BGR,2005,26.6
BGR,2006,20.9
BGR,2007,16.3
BGR,2008,13.0
BGR,2009,13.7
BGR,2010,15.3
BGR,2011,15.2
BGR,2012,16.6
BGR,2013,17.0
BGR,2014,27.0
BGR,2015,25.9
BGR,2016,29.1
BGR,2017,25.1
BGR,2018,22.2
BGR,2019,20.1
BGR,2020,24.5
BGR,2021,23.8
BGR,2022,22.5
BGR,2023,22.9
BGR,2024,23.8
CYP,2000,56.5
CYP,2001,58.1
CYP,2002,61.3
CYP,2003,64.6
CYP,2004,65.5
CYP,2005,64.1
CYP,2006,60.0
CYP,2007,55.7
CYP,2008,47.1
CYP,2009,57.6
CYP,2010,60.1
CYP,2011,69.9
CYP,2012,84.4
CYP,2013,108.3
CYP,2014,113.5
CYP,2015,111.6
CYP,2016,106.9
CYP,2017,96.5
CYP,2018,100.7
CYP,2019,92.3
CYP,2020,113.6
CYP,2021,96.5
CYP,2022,80.1
CYP,2023,71.1
CYP,2024,62.7
CZE,2000,16.9
CZE,2001,22.6
CZE,2002,25.7
CZE,2003,28.1
CZE,2004,28.3
CZE,2005,27.7
CZE,2006,27.6
CZE,2007,27.3
CZE,2008,28.2
CZE,2009,33.4
CZE,2010,36.7
CZE,2011,39.4
CZE,2012,43.8
CZE,2013,44.1
CZE,2014,41.5
CZE,2015,39.5
CZE,2016,36.2
CZE,2017,33.8
CZE,2018,31.7
CZE,2019,29.6
CZE,2020,36.9
CZE,2021,40.7
CZE,2022,42.5
CZE,2023,42.2
CZE,2024,43.3
DEU,2000,59.2
DEU,2001,58.1
DEU,2002,59.8
DEU,2003,63.3
DEU,2004,65.0
DEU,2005,67.1
DEU,2006,66.4
DEU,2007,63.7
DEU,2008,65.2
DEU,2009,72.4
DEU,2010,81.0
DEU,2011,78.5
DEU,2012,79.8
DEU,2013,77.5
DEU,2014,74.5
DEU,2015,71.2
DEU,2016,68.3
DEU,2017,64.0
DEU,2018,60.8
DEU,2019,58.7
DEU,2020,68.0
DEU,2021,67.9
DEU,2022,64.4
DEU,2023,62.3
DEU,2024,62.2
DNK,2000,53.6
DNK,2001,50.1
DNK,2002,50.3
DNK,2003,48.2
DNK,2004,46.2
DNK,2005,39.4
DNK,2006,33.2
DNK,2007,29.5
DNK,2008,35.5
DNK,2009,43.0
DNK,2010,46.1
DNK,2011,50.0
DNK,2012,48.7
DNK,2013,47.8
DNK,2014,48.7
DNK,2015,44.6
DNK,2016,41.7
DNK,2017,40.2
DNK,2018,38.5
DNK,2019,38.3
DNK,2020,45.2
DNK,2021,39.6
DNK,2022,33.3
DNK,2023,33.0
DNK,2024,30.5
EA19,2000,69.3
EA19,2001,68.3
EA19,2002,68.3
EA19,2003,69.5
EA19,2004,69.8
EA19,2005,70.5
EA19,2006,68.4
EA19,2007,66.1
EA19,2008,69.7
EA19,2009,80.2
EA19,2010,85.6
EA19,2011,87.4
EA19,2012,90.9
EA19,2013,92.8
EA19,2014,93.0
EA19,2015,91.1
EA19,2016,90.0
EA19,2017,87.5
EA19,2018,85.6
EA19,2019,83.7
EA19,2020,96.6
EA19,2021,93.9
EA19,2022,89.4
EA19,2023,87.1
EA19,2024,87.2
EA20,2000,69.2
EA20,2001,68.2
EA20,2002,68.1
EA20,2003,69.4
EA20,2004,69.7
EA20,2005,70.3
EA20,2006,68.3
EA20,2007,65.9
EA20,2008,69.6
EA20,2009,80.0
EA20,2010,85.4
EA20,2011,87.3
EA20,2012,90.8
EA20,2013,92.8
EA20,2014,92.9
EA20,2015,91.0
EA20,2016,89.9
EA20,2017,87.5
EA20,2018,85.5
EA20,2019,83.6
EA20,2020,96.5
EA20,2021,93.8
EA20,2022,89.3
EA20,2023,86.9
EA20,2024,87.0
EA21,2000,69.2
EA21,2001,68.2
EA21,2002,68.1
EA21,2003,69.4
EA21,2004,69.6
EA21,2005,70.2
EA21,2006,68.2
EA21,2007,65.8
EA21,2008,69.4
EA21,2009,79.8
EA21,2010,85.2
EA21,2011,87.0
EA21,2012,90.5
EA21,2013,92.4
EA21,2014,92.7
EA21,2015,90.7
EA21,2016,89.7
EA21,2017,87.2
EA21,2018,85.2
EA21,2019,83.3
EA21,2020,96.1
EA21,2021,93.4
EA21,2022,88.9
EA21,2023,86.5
EA21,2024,86.6
ESP,2000,57.8
ESP,2001,54.1
ESP,2002,51.2
ESP,2003,47.7
ESP,2004,45.3
ESP,2005,42.4
ESP,2006,39.0
ESP,2007,35.7
ESP,2008,39.6
ESP,2009,53.1
ESP,2010,60.3
ESP,2011,69.5
ESP,2012,89.6
ESP,2013,100.0
ESP,2014,104.4
ESP,2015,102.5
ESP,2016,102.0
ESP,2017,101.2
ESP,2018,99.8
ESP,2019,97.7
ESP,2020,119.3
ESP,2021,115.7
ESP,2022,109.3
ESP,2023,105.2
ESP,2024,101.6
EST,2000,5.1
EST,2001,4.9
EST,2002,5.7
EST,2003,5.6
EST,2004,5.2
EST,2005,4.7
EST,2006,4.7
EST,2007,3.9
EST,2008,4.7
EST,2009,8.0
EST,2010,8.0
EST,2011,7.6
EST,2012,11.1
EST,2013,11.4
EST,2014,11.6
EST,2015,10.8
EST,2016,10.2
EST,2017,9.4
EST,2018,8.5
EST,2019,9.0
EST,2020,19.1
EST,2021,18.4
EST,2022,19.2
EST,2023,20.2
EST,2024,23.5
EU27_2020,2000,66.6
EU27_2020,2001,65.8
EU27_2020,2002,65.6
EU27_2020,2003,66.8
EU27_2020,2004,67.1
EU27_2020,2005,67.2
EU27_2020,2006,65.0
EU27_2020,2007,62.4
EU27_2020,2008,65.1
EU27_2020,2009,75.7
EU27_2020,2010,80.4
EU27_2020,2011,81.7
EU27_2020,2012,85.0
EU27_2020,2013,86.8
EU27_2020,2014,86.9
EU27_2020,2015,85.1
EU27_2020,2016,84.1
EU27_2020,2017,81.5
EU27_2020,2018,79.5
EU27_2020,2019,77.5
EU27_2020,2020,89.5
EU27_2020,2021,86.7
EU27_2020,2022,82.4
EU27_2020,2023,80.5
EU27_2020,2024,80.7
FIN,2000,45.1
FIN,2001,43.4
FIN,2002,42.6
FIN,2003,45.2
FIN,2004,44.9
FIN,2005,42.1
FIN,2006,40.2
FIN,2007,36.0
FIN,2008,34.7
FIN,2009,44.1
FIN,2010,50.1
FIN,2011,52.0
FIN,2012,57.9
FIN,2013,60.8
FIN,2014,64.8
FIN,2015,68.8
FIN,2016,68.6
FIN,2017,66.6
FIN,2018,65.4
FIN,2019,65.3
FIN,2020,75.3
FIN,2021,73.1
FIN,2022,74.0
FIN,2023,77.0
FIN,2024,82.4
FRA,2000,59.7
FRA,2001,59.3
FRA,2002,61.3
FRA,2003,65.4
FRA,2004,66.9
FRA,2005,68.2
FRA,2006,65.4
FRA,2007,65.5
FRA,2008,69.8
FRA,2009,84.1
FRA,2010,86.3
FRA,2011,88.7
FRA,2012,91.7
FRA,2013,94.6
FRA,2014,96.2
FRA,2015,97.0
FRA,2016,98.1
FRA,2017,98.8
FRA,2018,98.5
FRA,2019,98.2
FRA,2020,114.9
FRA,2021,112.8
FRA,2022,111.4
FRA,2023,109.5
FRA,2024,112.6
GRC,2000,108.9
GRC,2001,110.5
GRC,2002,107.9
GRC,2003,104.3
GRC,2004,105.5
GRC,2005,109.9
GRC,2006,105.3
GRC,2007,104.6
GRC,2008,110.9
GRC,2009,128.5
GRC,2010,147.8
GRC,2011,175.1
GRC,2012,164.1
GRC,2013,180.4
GRC,2014,182.7
GRC,2015,179.6
GRC,2016,183.1
GRC,2017,182.1
GRC,2018,189.0
GRC,2019,183.2
GRC,2020,209.4
GRC,2021,197.3
GRC,2022,177.8
GRC,2023,164.3
GRC,2024,154.2
HRV,2000,35.4
HRV,2001,36.6
HRV,2002,36.5
HRV,2003,37.8
HRV,2004,40.0
HRV,2005,40.9
HRV,2006,38.4
HRV,2007,37.1
HRV,2008,38.9
HRV,2009,47.9
HRV,2010,56.8
HRV,2011,63.1
HRV,2012,68.9
HRV,2013,79.5
HRV,2014,83.2
HRV,2015,82.8
HRV,2016,79.3
HRV,2017,76.2
HRV,2018,72.8
HRV,2019,70.9
HRV,2020,86.5
HRV,2021,78.2
HRV,2022,68.5
HRV,2023,60.9
HRV,2024,57.4
HUN,2000,55.6
HUN,2001,52.2
HUN,2002,55.6
HUN,2003,58.2
HUN,2004,58.9
HUN,2005,60.6
HUN,2006,64.5
HUN,2007,65.6
HUN,2008,71.8
HUN,2009,78.2
HUN,2010,80.2
HUN,2011,80.5
HUN,2012,78.4
HUN,2013,77.2
HUN,2014,76.5
HUN,2015,75.7
HUN,2016,74.6
HUN,2017,72.0
HUN,2018,68.8
HUN,2019,65.0
HUN,2020,78.7
HUN,2021,76.2
HUN,2022,74.1
HUN,2023,73.3
HUN,2024,73.5
IRL,2000,36.4
IRL,2001,33.6
IRL,2002,30.9
IRL,2003,29.8
IRL,2004,28.0
IRL,2005,26.1
IRL,2006,23.7
IRL,2007,23.9
IRL,2008,42.5
IRL,2009,61.8
IRL,2010,86.2
IRL,2011,109.6
IRL,2012,118.9
IRL,2013,117.7
IRL,2014,101.4
IRL,2015,74.0
IRL,2016,72.7
IRL,2017,65.2
IRL,2018,61.3
IRL,2019,55.8
IRL,2020,56.9
IRL,2021,52.4
IRL,2022,43.0
IRL,2023,41.8
IRL,2024,38.3
ITA,2000,108.7
ITA,2001,108.5
ITA,2002,105.9
ITA,2003,105.1
ITA,2004,104.7
ITA,2005,106.2
ITA,2006,106.3
ITA,2007,103.5
ITA,2008,105.8
ITA,2009,116.1
ITA,2010,118.8
ITA,2011,119.1
ITA,2012,125.9
ITA,2013,131.9
ITA,2014,134.8
ITA,2015,134.8
ITA,2016,134.2
ITA,2017,133.7
ITA,2018,134.2
ITA,2019,133.9
ITA,2020,154.4
ITA,2021,145.8
ITA,2022,138.4
ITA,2023,133.9
ITA,2024,134.7
LTU,2000,23.5
LTU,2001,22.9
LTU,2002,22.1
LTU,2003,20.4
LTU,2004,18.6
LTU,2005,17.6
LTU,2006,17.3
LTU,2007,15.9
LTU,2008,14.6
LTU,2009,27.9
LTU,2010,36.7
LTU,2011,37.4
LTU,2012,39.9
