Country,Year,Value
AUS,2000,28383.758256
AUT,2000,29220.983881
BEL,2000,27794.178511
CAN,2000,29348.004024
CHL,2000,9440.112246
CZE,2000,16304.563506
DNK,2000,28653.864179
EST,2000,9395.48695
FIN,2000,26782.894928
FRA,2000,26081.366244
DEU,2000,27728.148898
GRC,2000,18819.878374
HUN,2000,11871.671162
IRL,2000,30223.250283
ISR,2000,25153.665092
ITA,2000,27152.142319
KOR,2000,19236.954257
LVA,2000,7848.693931
LTU,2000,8474.593896
NLD,2000,31893.686152
NZL,2000,21457.502218
POL,2000,10721.956286
PRT,2000,18883.102682
SVK,2000,11344.767001
SVN,2000,17887.367002
ESP,2000,21589.390536
SWE,2000,29638.924158
GBR,2000,26635.052661
BGR,2000,6429.347478
HRV,2000,10683.153151
ROU,2000,5856.838445
AUS,2001,29598.855133
AUT,2001,29553.244532
BEL,2001,28793.44226
CAN,2001,30241.254292
CHL,2001,9845.92769
CZE,2001,17696.310327
DNK,2001,29467.225097
EST,2001,10274.968228
FIN,2001,27798.106073
FRA,2001,27427.457992
DEU,2001,28967.139925
GRC,2001,20303.892883
HUN,2001,13222.729827
IRL,2001,32594.090766
ISR,2001,25173.740225
ITA,2001,28132.672248
KOR,2001,20442.285063
LVA,2001,8805.752026
LTU,2001,9399.334097
NLD,2001,33259.825002
NZL,2001,22401.407165
POL,2001,11174.490417
PRT,2001,19528.594721
SVN,2001,18764.485952
ESP,2001,22999.867726
SWE,2001,29943.192415
GBR,2001,28023.048238
BGR,2001,7002.51422
ROU,2001,6401.011569
CHL,2002,10205.207319
LVA,2002,9567.946862
LTU,2002,10295.504195
BGR,2002,7605.95026
HRV,2002,12519.616333
ROU,2002,7042.377116
AUS,2003,32455.802496
AUT,2003,31971.249619
BEL,2003,30930.733412
CAN,2003,32350.022187
CHL,2003,10779.177226
CZE,2003,19589.385627
DNK,2003,30870.142351
EST,2003,13092.26399
FIN,2003,29042.780808
FRA,2003,28113.007406
DEU,2003,30667.456929
GRC,2003,23252.561477
HUN,2003,15459.963014
IRL,2003,36276.193559
ISR,2003,24244.022525
ITA,2003,29249.176509
KOR,2003,22919.89965
LVA,2003,10192.653944
LTU,2003,11659.867608
LUX,2003,60108.074713
NLD,2003,34287.036685
NZL,2003,23891.10889
POL,2003,12331.931909
PRT,2003,20849.585699
SVK,2003,14072.666427
SVN,2003,20909.853117
ESP,2003,25052.235115
SWE,2003,31789.075554
GBR,2003,30419.484628
EU15,2003,29192.289186
BGR,2003,8070.625966
HRV,2003,13203.875632
ROU,2003,7293.793948
AUS,2004,34073.725779
AUT,2004,33528.78191
BEL,2004,32059.811471
CAN,2004,33929.459134
CHL,2004,11682.636318
CZE,2004,20967.923167
DNK,2004,33024.614235
EST,2004,14498.118861
FIN,2004,31194.947331
FRA,2004,29016.842034
DEU,2004,32166.474119
GRC,2004,24825.525981
HUN,2004,16250.652436
IRL,2004,38757.029959
ISR,2004,25628.949233
ITA,2004,29580.815906
KOR,2004,24657.929438
LVA,2004,11319.752429
LTU,2004,12605.026757
LUX,2004,64626.905821
NLD,2004,35960.227474
NZL,2004,25039.217361
POL,2004,13413.750494
PRT,2004,21475.564242
SVK,2004,15137.471944
SVN,2004,22584.844416
ESP,2004,26198.072929
SWE,2004,33804.81695
GBR,2004,32180.71564
EU15,2004,30436.701067
BGR,2004,8782.621573
HRV,2004,14123.790966
ROU,2004,8652.499556
LVA,2005,12826.166561
LTU,2005,13951.33535
BGR,2005,9788.52975
HRV,2005,14845.810703
ROU,2005,9229.417319
AUS,2006,38017.435478
AUT,2006,37391.103461
BEL,2006,35251.307931
CAN,2006,38123.399534
CZE,2006,23849.56878
DNK,2006,37395.870616
EST,2006,19288.534694
FIN,2006,34440.160351
FRA,2006,32540.301896
DEU,2006,35256.416836
GRC,2006,28076.03072
HUN,2006,18361.996359
IRL,2006,44261.687182
ISR,2006,25911.442347
ITA,2006,32453.612053
KOR,2006,27972.553371
LVA,2006,14178.056827
LTU,2006,15522.374208
MEX,2006,14663.955224
NLD,2006,41208.323426
NZL,2006,27652.229909
POL,2006,15208.463176
PRT,2006,24677.296374
SVK,2006,18843.08013
SVN,2006,25558.568581
ESP,2006,30774.252891
SWE,2006,37660.109595
GBR,2006,34881.323244
BGR,2006,10629.658239
HRV,2006,16634.085263
ROU,2006,10906.878945
AUS,2007,39775.93811
AUT,2007,39193.789618
BEL,2007,36798.208635
CAN,2007,39572.940444
CZE,2007,26206.889497
DNK,2007,39117.535909
EST,2007,22163.860924
FIN,2007,37843.065611
FRA,2007,34195.447103
DEU,2007,37494.809238
GRC,2007,28895.806984
HUN,2007,19089.293727
IRL,2007,46769.181188
ISR,2007,27736.439916
ITA,2007,34107.552548
KOR,2007,30255.166055
LVA,2007,16240.358189
LTU,2007,17968.627117
LUX,2007,85000.92636
MEX,2007,15163.743825
NLD,2007,44202.597716
NZL,2007,29251.732888
POL,2007,16835.266362
PRT,2007,25738.014326
SVK,2007,21145.908679
SVN,2007,27457.925697
ESP,2007,32529.56037
SWE,2007,40821.942458
GBR,2007,35687.101533
EU15,2007,35599.472493
BGR,2007,11873.913775
HRV,2007,18384.925416
ROU,2007,12882.145989
LVA,2008,17440.155268
LTU,2008,19409.99501
BGR,2008,13199.171418
HRV,2008,19668.882864
ROU,2008,15709.163963
AUS,2009,41809.667046
AUT,2009,40695.706319
CAN,2009,38863.259385
CZE,2009,27587.624613
DNK,2009,40528.031213
EST,2009,20470.756902
FIN,2009,37988.229444
FRA,2009,34827.880811
DEU,2009,38222.823256
GRC,2009,29963.390193
HUN,2009,20691.448571
IRL,2009,41456.889775
ISR,2009,27563.280653
ITA,2009,34501.666695
KOR,2009,30739.854371
LVA,2009,15542.757727
LTU,2009,17054.640655
LUX,2009,86842.659892
MEX,2009,15348.154321
NLD,2009,44960.23569
NZL,2009,30637.219769
POL,2009,19299.264252
PRT,2009,26471.907074
SVK,2009,22943.837337
SVN,2009,27202.074838
ESP,2009,32215.07231
SWE,2009,40102.527574
GBR,2009,35290.105243
BGR,2009,13065.043781
HRV,2009,19096.093968
ROU,2009,15613.234497
AUS,2010,42957.875627
AUT,2010,41747.191275
BEL,2010,39839.926324
CAN,2010,40103.172318
CZE,2010,28039.179541
DNK,2010,43040.083042
EST,2010,21584.708673
FIN,2010,38945.876126
FRA,2010,36061.853652
DEU,2010,40452.445425
GRC,2010,27838.636676
HUN,2010,21690.986596
IRL,2010,43166.640129
ISR,2010,28897.138096
ITA,2010,34974.091511
KOR,2010,33120.426788
LVA,2010,16375.47549
LTU,2010,18718.908816
LUX,2010,90231.931345
MEX,2010,16087.668108
NLD,2010,45302.347175
NZL,2010,31218.343524
PRT,2010,27292.06746
SVK,2010,25201.516353
SVN,2010,27576.22243
ESP,2010,31814.519318
SWE,2010,41956.291951
GBR,2010,36652.553618
EU15,2010,36953.641935
BGR,2010,13859.526548
HRV,2010,19010.929417
ROU,2010,16385.911008
LVA,2011,17688.095161
LTU,2011,21557.654282
BGR,2011,14953.862978
HRV,2011,20112.134605
ROU,2011,17856.244597
LVA,2012,19422.920563
LTU,2012,23275.262086
BGR,2012,15556.107419
ROU,2012,18764.06262
LVA,2013,20471.833185
LTU,2013,24889.86718
BGR,2013,15829.478212
HRV,2013,21041.541592
ROU,2013,18433.818259
LVA,2014,21548.597233
LTU,2014,26274.77053
BGR,2014,16878.792493
HRV,2014,21337.859526
ROU,2014,19350.437695
AUS,2015,47423.450756
AUT,2015,49625.117401
BEL,2015,46071.876832
CAN,2015,44668.065118
CHL,2015,22563.582179
CZE,2015,34217.975632
DNK,2015,48906.109829
EST,2015,29760.31351
FIN,2015,42250.407743
FRA,2015,41049.660974
DEU,2015,48770.474333
HUN,2015,26937.732143
IRL,2015,71613.752748
ISR,2015,35155.725892
ITA,2015,37384.405169
KOR,2015,39794.154766
LVA,2015,22546.371754
LTU,2015,26948.569623
LUX,2015,107898.304236
MEX,2015,19395.333255
NLD,2015,50956.451344
POL,2015,26991.529004
PRT,2015,29540.258688
SVK,2015,30156.073348
SVN,2015,31339.762298
ESP,2015,35257.434902
SWE,2015,48762.744179
BGR,2015,17653.056807
HRV,2015,22197.656831
ROU,2015,20195.26921
LVA,2016,24065.895822
LTU,2016,28699.003383
BGR,2016,19347.882926
HRV,2016,24113.683622
ROU,2016,22289.61957
LVA,2017,25778.395091
LTU,2017,31305.033169
BGR,2017,20798.264401
