Country,Year,Value
GBR,2000,4.524380763
GBR,2001,2.3910223
GBR,2002,1.709027368
GBR,2003,3.218516082
GBR,2004,2.32601855
GBR,2005,2.790654735
GBR,2006,2.189821288
GBR,2007,2.930911333
GBR,2008,-0.049411655
GBR,2009,-4.587408196
GBR,2010,2.260544618
GBR,2011,0.851437737
GBR,2012,1.528260345
GBR,2013,1.71846962
GBR,2014,3.160173493
GBR,2015,2.140405611
GBR,2016,2.206520216
GBR,2017,3.023222179
GBR,2018,1.551330962
GBR,2019,1.256299012
GBR,2020,-10.047896643
GBR,2021,8.543111844
GBR,2022,5.149703902
GBR,2023,0.271650026
ZAF,2000,4.2
CHL,2000,4.971621488
JPN,2000,2.978305696
LTU,2000,3.418620227
BRA,2000,4.387949444
ESP,2000,5.200754392
FRA,2000,4.141053492
AUT,2000,3.189521999
MEX,2000,5.029284006
CZE,2000,4.01066962
CHE,2000,3.633216862
KOR,2000,9.201858388
EU,2000,3.897462713
SWE,2000,4.63114518
FIN,2000,5.753634552
LUX,2000,6.938091314
USMCA,2000,4.243620577
LVA,2000,5.841012751
ARG,2000,-0.788998924
CRI,2000,3.802072418
IRL,2000,9.403524545
NOR,2000,3.443430782
ITA,2000,3.882092354
G7,2000,3.837317965
NZL,2000,4.212489373
SVK,2000,0.789224478
TUR,2000,6.985286864
DEU,2000,2.879663143
SVN,2000,3.49791671
GRC,2000,4.137827139
NLD,2000,4.227832184
ISL,2000,4.905182106
DNK,2000,3.724008397
PRT,2000,3.816177361
BEL,2000,3.71670617
HUN,2000,4.409375564
CAN,2000,5.138539163
EST,2000,10.087636844
CHN,2000,8.6
AUS,2000,3.359670121
AUS,2001,2.697001148
CHN,2001,8.3
EST,2001,5.880745668
CAN,2001,1.875098122
HUN,2001,4.062025334
BEL,2001,1.099631507
PRT,2001,1.943672332
DNK,2001,0.95003207
ISL,2001,3.840939361
NLD,2001,2.327907192
GRC,2001,4.650414147
SVN,2001,2.828686554
DEU,2001,1.63914425
TUR,2001,-5.459408532
SVK,2001,2.925160772
NZL,2001,2.525066449
G7,2001,1.204682453
ITA,2001,2.006436132
NOR,2001,2.16340048
IRL,2001,5.30582136
CRI,2001,3.491169895
ARG,2001,-4.408839703
LVA,2001,6.460585561
USMCA,2001,0.890904341
LUX,2001,3.074279215
FIN,2001,2.64021733
SWE,2001,1.36082642
EU,2001,2.117974303
KOR,2001,4.72594562
CHE,2001,1.592197718
CZE,2001,2.917219529
MEX,2001,-0.450845264
AUT,2001,1.316993549
FRA,2001,1.899476315
ESP,2001,3.91897705
BRA,2001,1.389896404
LTU,2001,6.484124533
JPN,2001,0.284588573
CHL,2001,3.154034925
ZAF,2001,2.7
ZAF,2002,3.700374403
CHL,2002,3.202799135
JPN,2002,0.085008749
LTU,2002,6.719840348
BRA,2002,3.053461857
ESP,2002,2.755456116
FRA,2002,1.06774458
AUT,2002,1.484368222
