Country,Year,Value
SWE,2015,-0.04678475
SAU,2003,0.6121928
NLD,2000,2.360522
NLD,2001,4.155841
NLD,2002,3.287531
NLD,2003,2.091998
NLD,2004,1.263647
NLD,2005,1.68813
NLD,2006,1.101501
NLD,2007,1.613859
NLD,2008,2.486502
NLD,2009,1.189777
NLD,2010,1.275306
NLD,2011,2.34107
NLD,2012,2.455548
NLD,2013,2.506899
NLD,2014,0.9760351
NLD,2015,0.6002482
NLD,2016,0.3166667
NLD,2017,1.381459
NLD,2018,1.703498
NLD,2019,2.633699
NLD,2020,1.27246
NLD,2021,2.67572
NLD,2022,10.00121
NLD,2023,3.838393
NLD,2024,3.347543
NLD,2025,3.259577
TUR,2000,54.91538
TUR,2001,54.40018
TUR,2002,44.96412
TUR,2003,21.60244
TUR,2004,8.598262
TUR,2005,8.17916
TUR,2006,9.597242
TUR,2007,8.756181
TUR,2008,10.44413
TUR,2009,6.250977
TUR,2010,8.566444
TUR,2011,6.471879
TUR,2012,8.89157
TUR,2013,7.49309
TUR,2014,8.854572
TUR,2015,7.670854
TUR,2016,7.775134
TUR,2017,11.14431
TUR,2018,16.33246
TUR,2019,15.17682
ITA,2001,2.785166
ITA,2002,2.46532
ITA,2003,2.672559
ITA,2004,2.206736
ITA,2005,1.985294
ITA,2006,2.090843
ITA,2007,1.829738
ITA,2008,3.347834
ITA,2009,0.7747682
ITA,2010,1.525516
ITA,2011,2.780573
ITA,2012,3.041363
ITA,2013,1.219992
ITA,2014,0.2410575
ITA,2015,0.03878675
ITA,2016,-0.09406886
ITA,2017,1.226533
ITA,2018,1.137488
LUX,2016,0.2908333
LUX,2017,1.7308
LUX,2018,1.528195
LUX,2019,1.743321
LUX,2020,0.8199573
LUX,2021,2.52692
LUX,2022,6.336008
LUX,2023,3.741404
LUX,2024,2.051133
LUX,2025,2.257238
MEX,2000,9.49156
MEX,2001,6.367737
MEX,2002,5.030733
MEX,2003,4.546898
MEX,2004,4.688407
MEX,2005,3.988061
MEX,2006,3.629463
MEX,2007,3.96685
MEX,2008,5.124982
MEX,2009,5.297357
