Country,Year,Value
AUS,2000,1.4697558
AUS,2002,1.642326874
AUS,2004,1.722729872
AUS,2006,1.995974542
AUS,2008,2.236172625
AUT,2002,2.081103678
AUT,2004,2.182384764
AUT,2006,2.3760013
AUT,2007,2.433598435
AUT,2009,2.612791144
AUT,2011,2.68566517
AUT,2013,2.979928104
AUT,2015,3.069176025
AUT,2017,3.07376468
AUT,2019,3.14405336
AUT,2021,3.25565329
AUT,2023,3.223760924
BEL,2000,1.936195166
BEL,2001,2.032791651
BEL,2002,1.903247913
BEL,2003,1.841195004
BEL,2004,1.820504973
BEL,2005,1.790606402
BEL,2006,1.822692776
BEL,2007,1.849994631
BEL,2008,1.936839386
BEL,2010,2.061295708
BEL,2011,2.157385938
BEL,2012,2.27079028
BEL,2013,2.320470036
BEL,2014,2.358574698
BEL,2015,2.43496383
BEL,2016,2.532907194
BEL,2017,2.676542239
BEL,2018,2.863654803
BEL,2019,3.151540041
BEL,2020,3.368232385
BEL,2021,3.40589277
BEL,2022,3.209599547
BEL,2023,3.238811512
CAN,2000,1.858470207
CAN,2001,2.021156042
CAN,2002,1.971694588
CAN,2003,1.967807056
CAN,2004,1.997333295
CAN,2005,1.971243467
CAN,2006,1.94299895
CAN,2007,1.903577511
CAN,2008,1.855777859
CAN,2009,1.917415394
CAN,2010,1.825037454
CAN,2011,1.787140592
CAN,2013,1.706245298
CAN,2015,1.693594535
CAN,2016,1.729024677
CAN,2017,1.687018047
CAN,2018,1.737193465
CAN,2019,1.755776696
CAN,2020,1.934135455
CAN,2021,1.870638981
CAN,2022,1.844834732
CAN,2023,1.935484306
CHL,2007,0.311431239
CHL,2008,0.374915907
CHL,2010,0.33164827
CHL,2011,0.352878931
CHL,2012,0.362132102
CHL,2013,0.390304812
CHL,2015,0.382960363
CHL,2017,0.356788931
CHL,2022,0.39204771
COL,2005,0.165566684
COL,2006,0.164266293
COL,2007,0.183066503
COL,2008,0.195410507
COL,2009,0.193505311
COL,2010,0.193579082
COL,2011,0.198419817
COL,2012,0.221158538
COL,2013,0.257607233
COL,2014,0.303173607
COL,2015,0.36542298
COL,2016,0.270510535
COL,2017,0.261087768
COL,2018,0.312330762
CRI,2014,0.556213299
CRI,2015,0.485771196
CRI,2016,0.444107685
CRI,2017,0.430539241
CRI,2018,0.371299989
CRI,2020,0.33002157
CRI,2021,0.273848898
CZE,2000,1.103771305
CZE,2001,1.093428164
CZE,2002,1.092718489
CZE,2003,1.138169912
CZE,2004,1.136190825
CZE,2005,1.15997648
CZE,2006,1.225642064
