Country,Year,Value
JPN,2014,48.185074
JPN,2015,49.541573
JPN,2016,50.496956
JPN,2017,51.440529
JPN,2018,51.928062
JPN,2019,52.67799
JPN,2020,54.027344
JPN,2021,55.555557
JPN,2022,56.12512207
JPN,2023,55.98620605
JPN,2024,57.0161018371582
AUS,2000,27.475746
AUS,2001,28.977322
AUS,2002,30.759785
AUS,2003,31.314152
AUS,2004,30.82308
AUS,2005,31.691153
AUS,2006,33.022213
AUS,2007,33.73671
AUS,2008,36.149986
AUS,2009,36.881355
AUS,2010,37.604309
AUS,2011,38.342072
AUS,2012,41.282364
AUS,2013,39.539928
BEL,2000,27.084993
BEL,2001,27.626753
BEL,2002,28.134819
BEL,2003,29.031809
BEL,2004,30.40086
BEL,2005,31.045088
BEL,2006,31.754845
BEL,2007,32.094864
BEL,2008,32.310043
BEL,2009,33.397053
BEL,2010,34.989502
BEL,2011,34.612984
BEL,2012,35.316551
BEL,2013,35.535332
CHL,2009,17.120726
CHL,2011,17.813892
CZE,2000,10.963162
CZE,2001,11.131626
CZE,2002,11.94141
CZE,2003,12.005664
CZE,2004,12.345678
CZE,2005,13.058269
CZE,2006,13.522043
CZE,2007,13.732669
CZE,2008,14.498895
CZE,2009,15.544437
CZE,2010,16.764982
CZE,2011,18.243177
CZE,2012,19.277992
CZE,2013,20.45986
DNK,2000,25.777601
DNK,2001,28.41186
DNK,2002,29.61084
DNK,2003,31.847263
DNK,2004,32.848095
DNK,2005,33.544121
DNK,2006,34.719662
DNK,2007,30.903458
FIN,2016,43.59526443
DEU,2000,23.498837
DEU,2001,23.222008
DEU,2002,23.427382
DEU,2003,23.982014
DEU,2004,24.931704
DEU,2005,24.552816
DEU,2006,23.947578
DEU,2007,24.299988
DEU,2008,25.400061
DEU,2009,26.385326
DEU,2010,26.609148
DEU,2011,27.562323
DEU,2012,28.121572
DEU,2013,28.47327
GRC,2000,17.672335
GRC,2001,18.067701
GRC,2002,18.793383
GRC,2003,19.299871
GRC,2004,21.286716
GRC,2005,21.472097
GRC,2006,22.428827
GRC,2007,22.893152
GRC,2008,23.535585
GRC,2009,23.656685
GRC,2010,24.744848
GRC,2011,26.112072
GRC,2012,26.719267
GRC,2013,27.423178
IRL,2000,21.613003
IRL,2001,23.577002
IRL,2002,24.814322
IRL,2003,26.308289
IRL,2004,27.820133
IRL,2005,29.074234
IRL,2006,31.095585
IRL,2007,32.39011
IRL,2008,33.902611
IRL,2009,35.822323
IRL,2010,37.584061
IRL,2011,38.162312
IRL,2012,39.69788
IRL,2013,41.47068
ISR,2002,42.090389
ISR,2003,42.89489
ISR,2005,43.047825
ISR,2007,43.58707
ISR,2008,43.980537
ISR,2009,44.880913
ISR,2010,45.560074
ISR,2011,46.396889
ISR,2012,46.441711
ISR,2013,47.421043
ITA,2000,9.3770475
ITA,2001,10.04891
ITA,2002,10.367989
